"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2009-03-12",35.24,38.8,34.16,38.45,1843800,32.41
"2009-03-13",38.73,40.86,36.47,39.34,1694200,33.16
"2009-03-16",39.79,41.31,37.89,38.11,1941000,32.12
"2009-03-17",38.07,39.78,37.06,39.76,1934800,33.52
"2009-03-18",39.38,42.12,37.72,41.92,2727000,35.34
"2009-03-19",41.48,42.01,37.61,40.14,2917500,33.84
"2009-03-20",41.13,41.13,38.65,40.27,1915700,33.95
"2009-03-23",41.54,48.75,41.18,48.75,2866300,41.09
"2009-03-24",47.04,47.5,44.49,45.6,2307500,38.44
"2009-03-25",45.54,47.26,43.37,45.55,1700700,38.4
"2009-03-26",47.04,47.8,45.54,47.09,1495100,39.69
"2009-03-27",46.09,48.14,45.73,47.74,1848400,40.24
"2009-03-30",45.82,46.64,43.6,44,1808900,37.09
"2009-03-31",44.54,46.47,43.6,45.24,1410300,38.13
"2009-04-01",44.9,49.58,44.9,48.12,2083200,40.56
"2009-04-02",49.05,50.74,46.14,47,2680800,39.62
"2009-04-03",46.97,48.67,46.11,47.31,2244900,39.88
"2009-04-06",46.68,47.95,45.15,47.42,1824300,39.97
"2009-04-07",46.61,47.98,45.5,46.4,1356900,39.11
"2009-04-08",46.73,47.76,45.9,47.25,1364900,39.83
"2009-04-09",49.87,55,48.08,54.56,3363800,45.99
"2009-04-13",53.58,56.87,53,55.67,2647300,46.93
"2009-04-14",55.44,56.09,51.06,51.49,2058900,43.4
"2009-04-15",52,55.2,50.38,55.1,1776700,46.45
"2009-04-16",55.82,57.88,54.4,56.82,1853500,47.9
"2009-04-17",57.84,61.87,55.36,59.97,3234200,50.55
"2009-04-20",57.93,58.5,52.46,52.51,3043000,44.26
"2009-04-21",49.28,52.42,46.93,51.75,4274300,43.62
"2009-04-22",49.05,52,47.51,49.6,2812200,41.81
"2009-04-23",50.16,52.18,48.89,51.54,1845300,43.44
"2009-04-24",51.53,55.18,50.78,53.56,1949300,45.15
