"","LO.Open","LO.High","LO.Low","LO.Close","LO.Volume","LO.Adjusted"
"2012-07-16",137.83,141.07,137.83,139.08,2142000,42.48
"2012-07-17",139.55,139.68,138.15,138.77,1441800,42.39
"2012-07-18",138.74,139.77,138.46,139.64,1366800,42.65
"2012-07-19",139.29,139.54,137.32,138.13,1894500,42.19
"2012-07-20",137.52,139.52,137.22,137.67,2256300,42.05
"2012-07-23",136.51,137.12,135.77,136.29,2878500,41.63
"2012-07-24",136.13,137,134.91,135.25,3313200,41.31
"2012-07-25",130.7,130.9,125.14,128.79,9806400,39.34
"2012-07-26",128.7,128.78,126.36,127.03,3863700,38.8
"2012-07-27",127.68,128.17,126.2,127.45,3367800,38.93
"2012-07-30",127.07,127.89,126.13,127.65,3055500,38.99
"2012-07-31",127.99,129.16,127.71,128.64,4887300,39.29
"2012-08-01",128.94,128.94,126.77,126.91,6006300,38.76
"2012-08-02",126.94,127.57,125.02,125.43,3325200,38.31
"2012-08-03",127.37,127.71,125.51,126.51,2079900,38.64
"2012-08-06",126.51,127.21,125.91,126.02,2193300,38.49
"2012-08-07",125.86,126.61,122.51,122.74,4933800,37.49
"2012-08-08",122.73,123.44,121.93,123.13,3315600,37.61
"2012-08-09",122.82,123.66,122.77,123.43,2273100,37.7
"2012-08-10",123.38,124.32,122.96,123.8,1662000,37.81
"2012-08-13",123.84,125.15,123.25,124.63,1872300,38.07
"2012-08-14",124.93,125.25,124.29,124.84,1485000,38.13
"2012-08-15",124.45,125.23,124.09,124.95,1660200,38.16
"2012-08-16",125.23,129.26,124.69,129,11703000,39.4
"2012-08-17",129.73,131.71,128.57,131.6,5451900,40.2
"2012-08-20",130.94,131.15,129.61,130.06,2814000,39.72
"2012-08-21",130.79,130.79,127.72,127.88,2699100,39.06
"2012-08-22",128.02,129.17,127.62,128.17,3254400,39.15
"2012-08-23",128,128.64,127.27,128.03,2418600,39.1
"2012-08-24",127.68,128.71,127.25,128.38,2298000,39.21
"2012-08-27",128.93,129.15,127.74,128.22,1662300,39.16
"2012-08-28",128.1,130.28,128.01,129.79,2711400,39.64
"2012-08-29",128.24,128.33,126.49,126.58,2661900,39.13
"2012-08-30",126.51,127.02,125.9,126.51,1490700,39.11
"2012-08-31",126.93,127.93,125.51,125.51,2571000,38.8
"2012-09-04",125.91,127.15,125.01,126.58,1791600,39.13
"2012-09-05",126.57,126.71,124.41,124.81,2166900,38.58
"2012-09-06",125.09,125.77,123.72,124.09,2604600,38.36
"2012-09-07",124.41,125.46,123.35,123.64,1786200,38.22
"2012-09-10",124.08,124.08,123,123.56,1638000,38.2
"2012-09-11",122.89,123.01,119.84,121,4743900,37.4
"2012-09-12",121,121.29,115.56,115.76,9086700,35.78
"2012-09-13",115.37,117.93,115.37,116.56,6574500,36.03
"2012-09-14",117.36,117.5,114.93,115.22,3615900,35.62
"2012-09-17",114.97,117.58,114.97,117.09,6570600,36.2
"2012-09-18",116.93,120.4,116.68,119.14,4532100,36.83
"2012-09-19",119.39,119.45,117.84,118.68,3567900,36.69
"2012-09-20",118.36,121.2,118.18,120.85,4812900,37.36
"2012-09-21",121.45,122.53,121.17,122.44,6441900,37.85
"2012-09-24",121.58,122.19,118.33,118.95,3711300,36.77
"2012-09-25",119.51,119.83,118.01,118.02,4133100,36.48
"2012-09-26",118.25,119.06,117.63,118.72,3457500,36.7
"2012-09-27",119,119.61,117.54,118.56,2517900,36.65
"2012-09-28",118.33,118.65,116.31,116.45,3947100,36
"2012-10-01",117.27,117.78,114.96,115.39,5582400,35.67
"2012-10-02",115.8,117.89,115.47,116.51,3419400,36.02
"2012-10-03",117.47,118.43,116.46,117.87,4164300,36.44
"2012-10-04",117.83,118.87,116.66,117.12,2771700,36.2
"2012-10-05",117.7,118.52,117.04,118.34,2222400,36.58
"2012-10-08",118.29,118.55,116.1,116.2,1951200,35.92
"2012-10-09",116.09,117.46,115.92,116.3,2269200,35.95
"2012-10-10",116.39,116.77,114.75,114.87,2606400,35.51
"2012-10-11",115.34,116,113.58,113.76,1711800,35.17
"2012-10-12",113.84,115.31,113.26,113.74,1686600,35.16
"2012-10-15",113.56,115.58,113.4,115.45,2411400,35.69
"2012-10-16",117.38,117.47,115.7,117.37,2733000,36.28
"2012-10-17",117.84,118.9,117.51,118.65,2790000,36.68
"2012-10-18",117.35,118.4,117.12,118.17,3279000,36.53
"2012-10-19",117.62,117.93,116.23,117.28,4893300,36.25
"2012-10-22",117.3,118.18,116.55,117.62,2038800,36.36
"2012-10-23",116.77,116.85,114.8,115.78,2805600,35.79
"2012-10-24",110.56,113.08,110.1,111.7,9185700,34.53
"2012-10-25",112.28,115.2,111.6,115.04,3740100,35.56
"2012-10-26",114.94,115.46,113.6,114.57,2952900,35.42
"2012-10-31",115.39,116.59,115.36,116.01,3834000,35.86
"2012-11-01",116.15,118.21,115.4,116.45,2835000,36
"2012-11-02",117.05,117.66,115.22,115.35,5774700,35.66
"2012-11-05",115.09,115.61,113.97,115.3,1848900,35.64
"2012-11-06",115.55,116.52,115.38,115.96,2293500,35.85
"2012-11-07",115.14,115.25,112.26,112.49,4435500,34.77
"2012-11-08",112.5,114.05,112.48,112.6,2036700,34.81
"2012-11-09",112.55,113.71,112.17,112.59,2443500,34.8
"2012-11-12",112.84,113.81,112.33,112.59,1256700,34.8
"2012-11-13",112.6,114.85,112.22,114.51,2365200,35.4
"2012-11-14",114.29,114.68,112.25,112.75,2647800,34.85
"2012-11-15",112.5,113.48,112.25,113.13,2274300,34.97
"2012-11-16",113.25,115.67,113.19,115.28,3968100,35.64
"2012-11-19",116.29,119.23,116.29,119.22,2964900,36.85
"2012-11-20",119.11,119.79,118.1,119.73,1981500,37.01
"2012-11-21",120.1,121.49,119.25,121.35,2623800,37.51
"2012-11-23",121.89,123.32,121.27,123.27,957300,38.11
"2012-11-26",122.99,123,121.08,121.81,1932000,37.65
"2012-11-27",122.11,122.71,121.26,121.6,2147700,37.59
"2012-11-28",120.23,121.21,119,120.42,2632200,37.71
"2012-11-29",120.57,122.33,120.28,120.41,2507700,37.7
"2012-11-30",120.5,121.58,120.08,121.16,3215100,37.94
"2012-12-03",121.67,122.43,120.95,121,1690200,37.89
"2012-12-04",121.08,121.66,120.07,120.26,1221300,37.66
"2012-12-05",120.61,121.31,119.86,120.01,2269200,37.58
"2012-12-06",119.91,121,119.44,119.67,1754100,37.47
"2012-12-07",120,121.75,119.84,121.48,1430400,38.04
"2012-12-10",121.67,121.94,120,120.3,1719000,37.67
"2012-12-11",120.87,121.08,119.58,119.94,3799500,37.56
"2012-12-12",120.46,121.04,119.47,119.78,2695800,37.51
