"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume","MON.Adjusted"
"2009-01-15",76.54,78.87,74,78.44,11911500,72.4
"2009-01-16",80.2,80.87,77.15,79.61,8793400,73.48
"2009-01-20",78.98,79.39,75.38,75.85,8322500,70.01
"2009-01-21",76.35,78.63,75.65,78.3,6991700,72.27
"2009-01-22",76.19,80.55,75.77,78.59,8355900,72.54
"2009-01-23",76.41,79.65,76.28,78.91,8044500,72.83
"2009-01-26",79.5,82.27,78.21,79.25,7397600,73.15
"2009-01-27",80.2,80.57,77.17,78.66,5578100,72.6
"2009-01-28",80.2,81.02,77.75,78.56,8625200,72.51
"2009-01-29",77.45,79.42,77.16,78.14,5240000,72.12
"2009-01-30",78.45,78.9,75.5,76.06,7206000,70.2
"2009-02-02",75.43,76.96,74.41,75.85,5064500,70.01
"2009-02-03",76.65,77.3,75.55,76.85,3862200,70.93
"2009-02-04",78.21,81.01,78.09,79.05,6670400,72.96
"2009-02-05",78.72,82.79,78.09,82.33,9836100,75.99
"2009-02-06",83.82,85.02,82.37,83.96,7937600,77.5
"2009-02-09",84.39,85.77,82.39,83.66,6247900,77.22
"2009-02-10",81.56,85.67,80.03,80.85,7935900,74.62
"2009-02-11",82.38,82.65,79.34,80.13,6435200,73.96
"2009-02-12",79.12,80.75,77.5,80.75,8143100,74.53
"2009-02-13",80.03,80.92,78.9,79.41,6196100,73.3
"2009-02-17",77.08,77.34,75.17,76.2,7456200,70.33
"2009-02-18",77.5,77.76,74.95,77.19,6990800,71.25
"2009-02-19",78,80.1,77.95,78.87,8779800,72.8
"2009-02-20",77.57,80.45,77.01,79.68,9859400,73.54
"2009-02-23",80.4,80.85,74.24,74.7,8033900,68.95
"2009-02-24",75.29,77.79,72.81,77.4,7909500,71.44
"2009-02-25",78.2,78.97,73.57,76.16,11974600,70.3
"2009-02-26",77.21,80.69,76.37,76.6,8284200,70.7
"2009-02-27",74.96,78.53,74.66,76.27,7680300,70.4
"2009-03-02",74.6,75.35,71.25,71.75,9023300,66.23
"2009-03-03",72.65,74.58,71.54,72.01,7906800,66.47
"2009-03-04",73.9,75.5,72.41,73.78,9266300,68.1
"2009-03-05",72.01,74.32,71.38,72.03,8011000,66.48
"2009-03-06",72.3,74.29,69.62,71.65,7551000,66.13
"2009-03-09",70.66,74.8,70.26,72.93,6285000,67.31
"2009-03-10",74.58,77.68,74.38,77.66,7857600,71.68
"2009-03-11",78.43,81.99,78.15,81.24,10306600,74.98
"2009-03-12",80.21,82.45,78.17,81.69,8239900,75.4
"2009-03-13",82.27,82.66,77.79,79.11,8985900,73.02
"2009-03-16",80.01,82.9,79.85,82.73,8455700,76.36
"2009-03-17",82.44,83.6,81.06,83.07,6173500,76.67
"2009-03-18",82.67,84.4,81,84.03,6470900,77.56
"2009-03-19",85.14,85.68,81.21,81.98,8177100,75.67
"2009-03-20",82.42,82.97,79.82,80.35,5718800,74.16
"2009-03-23",82.47,85.14,81.11,84.89,5923200,78.35
"2009-03-24",84.08,85.14,82.86,83.44,4979000,77.02
"2009-03-25",84.05,84.66,80.62,83.1,5397400,76.7
"2009-03-26",83.82,87.92,83.21,87.64,7324400,80.89
"2009-03-27",86.44,87.81,85.26,86.24,5087700,79.6
"2009-03-30",84,84,82.01,82.76,5666300,76.39
