"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"2007-08-22",56.38,57.32,56.38,57.24,259500,47.68
"2007-08-23",57.78,57.92,56.05,56.3,475000,46.9
"2007-08-24",56.27,56.93,55.89,56.93,233100,47.43
"2007-08-27",56.7,56.92,56.07,56.52,384500,47.08
"2007-08-28",56.18,56.27,53.78,53.96,426800,44.95
"2007-08-29",54.22,55.56,54.21,55.56,269500,46.28
"2007-08-30",55,56.03,54.94,55.85,419300,46.53
"2007-08-31",56.74,57.17,56.26,56.74,297100,47.27
"2007-09-04",56.74,57.22,56.09,56.88,236300,47.38
"2007-09-05",55.93,56.23,55.11,55.37,289500,46.38
"2007-09-06",55.37,55.84,54.87,55.78,243900,46.72
"2007-09-07",55.1,55.3,53.65,53.78,525800,45.05
"2007-09-10",54.06,54.2,52.52,53.14,481900,44.51
"2007-09-11",53.12,53.67,52.81,53.54,405600,44.85
"2007-09-12",53.44,54.16,53.35,53.62,366100,44.91
"2007-09-13",54,54.46,53.43,54.05,275500,45.27
"2007-09-14",53.85,54.68,53.61,54.61,283400,45.74
"2007-09-17",54.35,54.72,53.74,54.37,285400,45.54
"2007-09-18",54.6,57.11,54.5,57.11,552900,47.84
"2007-09-19",57.27,58.71,57.27,57.99,701700,48.57
"2007-09-20",57.9,57.99,56.84,57.04,317600,47.78
"2007-09-21",57.55,58.29,56.99,57.09,529100,47.82
"2007-09-24",56.91,57.1,55.92,56.23,377600,47.1
"2007-09-25",55.85,55.85,54.37,55,660400,46.07
"2007-09-26",55.42,55.5,54.4,54.54,590900,45.68
"2007-09-27",54.8,56.12,54.76,55.87,739900,46.8
"2007-09-28",55.97,56.68,55.63,56.13,564400,47.02
"2007-10-01",56.1,56.59,55.84,56.3,497000,47.16
"2007-10-02",56.47,56.77,55.86,56.19,561100,47.07
"2007-10-03",56,56.36,55.92,55.95,424700,46.86
"2007-10-04",56,56.13,54.78,55.47,893200,46.46
"2007-10-05",55.47,57.28,55.47,56.9,301000,47.66
"2007-10-08",56.99,57.16,56.64,57.02,294200,47.76
"2007-10-09",57.25,57.36,56.58,57.36,443000,48.05
"2007-10-10",57.2,58.1,57.06,57.94,637200,48.53
"2007-10-11",58.15,58.74,57.22,57.73,613000,48.36
"2007-10-12",57.66,57.78,57.15,57.61,180500,48.26
"2007-10-15",57.4,57.51,55.53,55.76,555000,46.71
"2007-10-16",55.81,56.25,55.48,55.79,331600,46.73
"2007-10-17",55.82,56.18,54.42,55.08,701200,46.14
"2007-10-18",55.01,55.68,54.71,55.52,364900,46.5
"2007-10-19",55.25,55.82,54.95,55.19,701400,46.23
"2007-10-22",54.77,56.32,54.77,56.02,567300,46.92
"2007-10-23",56.14,56.31,55.41,55.83,449500,46.76
"2007-10-24",55.88,58.9,55.88,58.05,1625300,48.62
"2007-10-25",58.75,58.99,56.48,57.43,1264800,48.1
"2007-10-26",58.09,58.39,57.08,57.62,710000,48.26
"2007-10-29",58,58.23,57.45,57.56,414900,48.21
"2007-10-30",57.6,58.18,57.33,57.61,473700,48.26
"2007-10-31",57.75,57.82,56.92,57.55,613600,48.2
"2007-11-01",56.9,56.95,55.41,55.41,604900,46.41
"2007-11-02",55.54,55.78,54.86,55.28,663200,46.3
