"","CERN.Open","CERN.High","CERN.Low","CERN.Close","CERN.Volume","CERN.Adjusted"
"2010-02-02",77.77,79.15,77.39,78.89,2814000,19.72
"2010-02-03",78.24,78.53,76.5,77.16,3334400,19.29
"2010-02-04",76.03,76.55,75.52,75.69,2942000,18.92
"2010-02-05",75.71,76.95,74.52,76.54,4091200,19.14
"2010-02-08",76.5,77.77,75.36,77.35,4582800,19.34
"2010-02-09",78.6,79.37,77.4,78.96,4864400,19.74
"2010-02-10",81.02,82.5,77.24,77.38,12884800,19.34
"2010-02-11",77.06,79.51,75.27,79.24,6288800,19.81
"2010-02-12",78.66,79.09,77.05,78.72,3638800,19.68
"2010-02-16",79.48,80.21,78.34,79.65,2539200,19.91
"2010-02-17",80,80.97,79.64,80.37,2047600,20.09
"2010-02-18",80.48,81.54,80.17,81.26,1937200,20.32
"2010-02-19",81.08,82.1,80.82,81.72,1841600,20.43
"2010-02-22",82.18,82.52,81.08,82.13,2054800,20.53
"2010-02-23",82.08,82.64,80.42,80.9,3282800,20.23
"2010-02-24",81.54,82.99,80.4,82.53,2435200,20.63
"2010-02-25",81.25,82.62,79.72,82.33,2247200,20.58
"2010-02-26",82.73,83.96,82.24,82.95,2931600,20.74
"2010-03-01",83.59,84.9,82.57,84.9,2164800,21.23
"2010-03-02",84.96,85,83.13,83.86,2312800,20.97
"2010-03-03",84.03,84.16,82.44,82.95,2294400,20.74
"2010-03-04",82.91,83.26,82.47,82.89,2061600,20.72
"2010-03-05",83.18,84.95,82.36,84.62,1786000,21.16
"2010-03-08",84.37,84.64,83.59,83.72,1172800,20.93
"2010-03-09",83.36,84.04,83.01,83.92,943200,20.98
"2010-03-10",83.79,84.9,83.79,84.64,1918000,21.16
"2010-03-11",84.01,85.15,82.84,85.15,2417200,21.29
"2010-03-12",85.46,85.49,83.61,85.2,2630400,21.3
"2010-03-15",85.12,85.19,83.94,84.56,1096800,21.14
"2010-03-16",84.57,85.74,84.08,85.61,1474000,21.4
"2010-03-17",85.5,88.29,85.34,87.4,2405600,21.85
"2010-03-18",87.15,87.58,86.63,87.44,1446400,21.86
"2010-03-19",89.57,89.57,86.5,87.19,6374800,21.8
"2010-03-22",86.83,88.87,86.64,88.53,1936800,22.13
"2010-03-23",89,89.07,87.68,89.02,1886800,22.25
"2010-03-24",88.77,89.24,88.27,88.99,1708800,22.25
"2010-03-25",89.34,89.48,87.02,87.03,1886400,21.76
"2010-03-26",87.09,87.73,85.83,86.3,1587200,21.58
"2010-03-29",85.3,86.13,83.84,84.38,3060400,21.09
"2010-03-30",84.25,85.18,84.1,84.94,1990400,21.24
"2010-03-31",84.78,85.99,84.25,84.93,2590400,21.23
"2010-04-01",85.28,86.35,84.92,85.73,1790400,21.43
"2010-04-05",86.28,87.01,85.61,86.33,1448800,21.58
"2010-04-06",85.75,86.9,85.58,86.05,1974400,21.51
"2010-04-07",85.64,85.83,84.56,84.89,2571600,21.22
"2010-04-08",84.3,86.32,83.73,86.12,2333600,21.53
"2010-04-09",86.1,88.25,85.46,88.19,2617200,22.05
"2010-04-12",87.94,88.73,87.47,88.26,1782800,22.07
"2010-04-13",87.93,88.11,86.45,87.18,1294000,21.8
"2010-04-14",87.79,88.53,86.92,88.4,1818800,22.1
