"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2009-09-08",70.7,71.25,70.16,70.95,3055100,68.61
"2009-09-09",71.26,71.3,70.18,70.48,4097000,68.15
"2009-09-10",70.38,72.49,70.27,72.31,4250400,69.92
"2009-09-11",72.5,72.5,71.75,72.29,3848500,69.91
"2009-09-14",71.51,73,71.5,72.87,3274800,70.47
"2009-09-15",73,73.45,72.38,73.2,3837800,70.79
"2009-09-16",73.25,74.6,72.66,74.09,4150400,71.65
"2009-09-17",73.95,74.86,73.3,73.82,3559100,71.38
"2009-09-18",73.92,74.27,73.16,73.79,3802500,71.36
"2009-09-21",73.07,74.3,73.01,73.39,3235100,70.97
"2009-09-22",73.6,74.73,73.32,74.41,3812100,71.96
"2009-09-23",74.41,74.99,73.76,73.92,3744100,71.48
"2009-09-24",73.39,73.91,72.25,73.53,4012600,71.1
"2009-09-25",73.17,73.25,69.23,70.66,12043800,68.33
"2009-09-28",71.1,71.85,70.51,71.14,4592400,68.79
"2009-09-29",71.19,72.14,69.21,69.57,10473100,67.27
"2009-09-30",69.75,70,68.61,69.11,7616800,66.83
"2009-10-01",68.77,70.16,68.77,69.12,7054300,66.84
"2009-10-02",68.44,69.1,66.54,67.79,8854100,65.55
"2009-10-05",67.87,69,67.68,68.16,4975600,65.91
"2009-10-06",68.69,68.7,67.4,68.26,9107800,66.01
"2009-10-07",69.15,71.34,68.91,70.86,12264200,68.52
"2009-10-08",71.1,72.03,70.67,71.73,6026300,69.36
"2009-10-09",71.55,73.29,71.34,72.94,5184200,70.53
"2009-10-12",74.33,74.94,73.35,73.7,4820600,71.27
"2009-10-13",73.74,74.98,73.23,74.67,5901500,72.21
"2009-10-14",74.83,75.25,73.79,74.8,6783200,72.33
"2009-10-15",74.19,75.84,74.02,75.08,5568100,72.6
"2009-10-16",74.73,75.08,74,74.29,3735500,71.84
"2009-10-19",74.27,75,73.19,74.95,3645700,72.48
"2009-10-20",75.45,75.9,74.46,75.05,4125700,72.57
"2009-10-21",74.82,76.99,74.82,75.19,4068900,72.71
"2009-10-22",75.6,75.88,74.26,75.69,5439400,73.19
"2009-10-23",75.93,76.09,73.63,74.12,6374800,71.67
"2009-10-26",74.97,75.83,72.46,72.78,8709100,70.38
"2009-10-27",73.61,74.45,72.51,73.9,10047400,71.46
"2009-10-28",74.94,78.02,74.76,76.57,19482600,74.04
"2009-10-29",77.01,78.2,75.83,77.28,10374600,74.73
"2009-10-30",76.96,77.5,75.16,75.76,6827200,73.26
"2009-11-02",76.09,78.17,75.83,77.29,6330700,74.74
"2009-11-03",76.77,77.67,75.8,77.65,6522700,75.09
"2009-11-04",78.3,79.5,78.12,78.31,6091000,75.73
"2009-11-05",78.52,79.75,78.27,79.59,4087600,76.96
"2009-11-06",79,79.9,78.65,79.67,3940900,77.04
"2009-11-09",79.86,81.64,79.7,81.16,6579700,78.48
"2009-11-10",80.9,81.49,80.56,81.1,4915000,78.42
"2009-11-11",81.62,81.97,80.38,80.82,3665700,78.15
"2009-11-12",80.68,81.09,79.33,79.92,3242300,77.4
"2009-11-13",79.93,80.19,78.75,80,3424400,77.48
"2009-11-16",80.1,80.39,79.22,79.55,5757600,77.04
"2009-11-17",79.56,80.68,79.29,80.55,3933500,78.01
"2009-11-18",80.19,80.87,79.66,80.39,2867700,77.86
"2009-11-19",79.97,81.55,78.23,80.18,9133400,77.66
"2009-11-20",79.72,80.44,79.63,80,3134600,77.48
"2009-11-23",80.78,80.8,79.91,80.44,4365900,77.91
"2009-11-24",80.35,80.64,79.6,80.62,3038300,78.08
"2009-11-25",80.8,81.9,80.37,81.79,2873700,79.21
"2009-11-27",80.08,80.84,79.6,80.33,2323800,77.8
"2009-11-30",80.33,81.38,80.2,81,3926200,78.45
"2009-12-01",81.44,83.4,81,82.97,6102500,80.36
"2009-12-02",83.05,83.4,82.08,82.22,3213200,79.63
"2009-12-03",82.35,82.63,79.93,80.03,4780700,77.51
"2009-12-04",81.09,81.59,78.71,80.27,5466400,77.74
"2009-12-07",80.26,80.64,79.84,79.93,2415200,77.41
"2009-12-08",79.62,80.41,79.55,79.99,2604700,77.47
"2009-12-09",79.62,81.93,79.5,81.75,4185900,79.18
