"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"2008-10-02",66.2,66.78,63.74,64.01,2692500,55.67
"2008-10-03",65.29,66.8,63,63.37,2558500,55.11
"2008-10-06",61.53,62.81,57.69,61.93,2977600,53.86
"2008-10-07",62.02,63.48,59.38,60,3854500,52.18
"2008-10-08",58.69,63.01,58.19,60.22,4407500,52.37
"2008-10-09",61.59,62.01,55,55.06,3004000,47.88
"2008-10-10",52.78,59.35,51.28,55,5039900,47.83
"2008-10-13",57.1,63.23,56.33,63.06,2769800,54.84
"2008-10-14",64.94,65.55,62.25,64,4876400,55.66
"2008-10-15",62.08,62.97,55.95,56.12,2759400,48.81
"2008-10-16",56.19,60.71,54.65,60.28,4183900,52.42
"2008-10-17",59.58,60.97,57.35,58.41,2099300,50.8
"2008-10-20",58.92,62.12,57.58,62.12,1885900,54.02
"2008-10-21",60.16,61,56.46,56.88,2931000,49.47
"2008-10-22",51.5,55.61,50.71,54.98,5163200,47.82
"2008-10-23",55.24,55.85,49.44,52.86,4465600,45.97
"2008-10-24",48.86,52,47.04,50.53,2392500,43.95
"2008-10-27",49.7,51.6,47.3,47.3,2651100,41.14
"2008-10-28",48.37,51.33,46.33,51.09,3275600,44.43
"2008-10-29",50.92,55.54,50.03,53.45,3421900,46.48
"2008-10-30",54.53,56.38,53.1,55.78,2568600,48.51
"2008-10-31",55.41,58.8,54.53,58.13,2419000,50.55
"2008-11-03",57.89,59,56.94,57.47,1603600,49.98
"2008-11-04",58.97,61.42,58.54,61.05,1837500,53.09
"2008-11-05",60.06,61.36,57.65,57.92,2011500,50.37
"2008-11-06",57.42,58.31,54.25,54.46,1970700,47.36
"2008-11-07",55.01,58.01,54.29,57.6,1837200,50.09
"2008-11-10",58.75,60.24,56.88,57.82,1258800,50.29
"2008-11-11",57.03,57.03,53.19,54.37,1664800,47.28
"2008-11-12",52.88,53.75,51.14,51.21,2044400,44.54
"2008-11-13",50.03,55.48,48.83,55.24,3767600,48.04
"2008-11-14",54.57,55.86,52.55,52.78,2033800,45.9
"2008-11-17",52.41,54.38,51.53,51.64,1251600,44.91
"2008-11-18",51.4,52.55,49.7,51.48,1569700,44.77
"2008-11-19",51.68,52.21,46.83,47.01,2410700,40.88
"2008-11-20",46.27,47.99,41.46,41.65,4600200,36.22
"2008-11-21",42.7,44.87,41.5,44.44,4180500,38.65
"2008-11-24",46,47.69,45,46.79,3515500,40.69
"2008-11-25",47.54,48.02,45.51,46.93,3478600,40.81
"2008-11-26",45.59,46.82,44.39,46.5,3321700,40.44
"2008-11-28",46.47,47.83,46.35,47.76,1423000,41.54
"2008-12-01",46.71,47.17,43,43.31,2969400,37.67
"2008-12-02",43.89,45.54,43.24,45.44,2954400,39.52
"2008-12-03",43.19,46.82,43.19,46.48,2573500,40.42
"2008-12-04",45.06,47.29,44.69,45.84,2781100,39.87
"2008-12-05",45.45,47.77,43.43,47.61,2395900,41.41
"2008-12-08",49.22,52.04,48.74,52.01,3128900,45.23
"2008-12-09",51.24,53.77,50.63,52.89,3348600,46
"2008-12-10",53.46,54.48,52.37,53.49,1953000,46.52
"2008-12-11",53.5,53.5,48.68,49.09,2855600,42.69
"2008-12-12",48.53,49.05,47.46,48.59,2560300,42.26
"2008-12-15",49,49.64,47.95,48.54,1710100,42.21
"2008-12-16",49.22,50.9,49.06,50.42,2715900,43.85
"2008-12-17",49.77,50.26,48.96,49.37,3503800,42.94
"2008-12-18",49.72,49.98,47.01,47.47,3730700,41.28
"2008-12-19",47.71,47.92,45.87,46.63,4650200,40.55
"2008-12-22",46.4,46.83,45.05,46.11,2391300,40.1
"2008-12-23",45.52,47.25,45.37,45.5,1895100,39.57
"2008-12-24",45.7,46.32,45.19,45.86,619200,39.88
"2008-12-26",46.26,46.75,45.5,46.61,659300,40.54
"2008-12-29",46.63,48.39,46.63,47.93,2165700,41.68
"2008-12-30",48.16,49.29,47.35,49.18,1762600,43.17
"2008-12-31",48.89,51,48.89,50.27,1886800,44.12
"2009-01-02",50.31,53.54,50.02,53.06,1946500,46.57
"2009-01-05",52.9,55.62,52.04,55.35,3067200,48.58
"2009-01-06",56.04,59.64,56.01,59.32,3345600,52.07
"2009-01-07",58.81,58.81,56.56,56.96,3217200,50
"2009-01-08",56.4,58.88,55.94,58.13,1989300,51.02
"2009-01-09",57.79,58.08,56.31,56.62,1677900,49.7
"2009-01-12",56.36,56.97,55.38,55.8,2841900,48.98
"2009-01-13",55.19,57.17,55.03,56.22,2302600,49.35
"2009-01-14",55.43,55.43,53.7,54.37,1893500,47.72
"2009-01-15",55.01,56.42,53.26,56.07,2254100,49.21
"2009-01-16",56.84,57.61,55.19,57.02,2905700,50.05
"2009-01-20",56.88,57,52.6,52.64,2679200,46.2
"2009-01-21",50.09,54.22,50.08,54.1,3387600,47.49
"2009-01-22",52.42,52.99,50.67,51.92,3176400,45.57
"2009-01-23",51.36,53.5,50.12,52.87,2170100,46.41
"2009-01-26",52.87,55.3,52.79,54.15,3195700,47.53
"2009-01-27",55.08,55.74,54.06,54.75,2789100,48.06
"2009-01-28",55.75,57.23,55.5,56.04,3609900,49.19
"2009-01-29",54,55.07,52.95,53.29,2811800,46.77
"2009-01-30",53.21,53.76,49.9,50.3,3323200,44.15
"2009-02-02",49.24,51.2,49.09,50.18,2440000,44.05
"2009-02-03",50.57,52.2,50.37,51.92,2090800,45.57
"2009-02-04",52.2,54.14,52.16,52.55,2177700,46.13
"2009-02-05",52.87,54.98,51.5,54.13,3040800,47.51
"2009-02-06",54.32,56.14,54.08,55.4,3352100,48.63
"2009-02-09",54.08,56.98,53.8,55.85,2378000,49.02
"2009-02-10",55.69,56.37,52.38,52.8,3191200,46.34
"2009-02-11",52.99,53.32,51.41,52.25,2879900,45.86
"2009-02-12",51.6,54.59,51,54.53,3075100,47.86
"2009-02-13",54.3,55,53.67,54.03,1626800,47.42
"2009-02-17",51.98,52.93,51.51,52.01,1980800,45.65
"2009-02-18",52.33,53.74,52.3,52.84,2211500,46.38
"2009-02-19",53.5,54.53,52.71,53.05,2013500,46.56
"2009-02-20",50.05,52.56,50.01,51.24,3069700,44.98
"2009-02-23",51.72,51.72,47.85,47.93,2564500,42.07
"2009-02-24",47.98,49.42,47.12,49.09,2851100,43.09
"2009-02-25",48.89,49.32,46.83,47.27,2439700,41.49
"2009-02-26",47.81,48.96,46.48,46.71,2185400,41
"2009-02-27",46.01,47.18,45.56,46.25,2395000,40.6
"2009-03-02",45.37,46.15,43.87,44.04,2208100,38.66
"2009-03-03",44.82,45.42,43.44,43.8,2072900,38.45
"2009-03-04",44.67,47.19,44.4,46.59,2875600,40.89
"2009-03-05",45.36,45.89,44.89,45.2,3909100,39.67
"2009-03-06",45.62,47.27,45.25,46.41,4690300,40.74
"2009-03-09",45.76,46.99,45.2,45.54,2888000,39.97
"2009-03-10",46.65,48.93,45.65,48.39,2873500,42.47
"2009-03-11",48.88,50.25,48.46,49.81,2241800,43.72
"2009-03-12",49.66,51.59,48.52,51.39,2362800,45.11
"2009-03-13",51.23,53.14,51.22,52.73,2246200,46.28
"2009-03-16",53.4,54.99,52.84,53.3,2562600,46.78
"2009-03-17",53.28,54.62,52.91,54.62,2434000,47.94
"2009-03-18",54.13,56.38,53.82,56.08,3146000,49.22
"2009-03-19",56.65,57.47,55.68,56.8,2521100,49.86
"2009-03-20",55.59,57.15,54.67,55.2,2773900,48.45
"2009-03-23",56.4,56.69,55.41,55.9,3848600,49.07
"2009-03-24",56.37,57.5,55.68,56.44,1844500,49.54
"2009-03-25",57.04,58.93,56.01,57.63,1590000,50.58
"2009-03-26",58.1,60.2,57.99,59.88,1818100,52.56
"2009-03-27",59.38,59.99,58.61,58.77,2207700,51.58
"2009-03-30",56.97,56.97,54.85,55.41,1834600,49.01
"2009-03-31",55.89,57.15,55.62,56.25,1454400,49.75
"2009-04-01",55.54,58.06,54.73,57.58,1499400,50.93
"2009-04-02",59,60.2,58.57,59.22,1918600,52.38
"2009-04-03",59.25,60.53,58.37,60.53,1443300,53.54
"2009-04-06",59.78,60.11,57.5,58.61,1686000,51.84
"2009-04-07",57.46,57.78,56.52,56.71,1022600,50.16
"2009-04-08",56.75,58.2,56.42,58.09,1049700,51.38
"2009-04-09",59.66,60.49,59.14,60.08,1082700,53.14
"2009-04-13",59.42,60.09,58.36,59.55,1135500,52.67
"2009-04-14",58.6,59.55,58.06,58.59,1150800,51.82
"2009-04-15",58.7,59.79,58.21,59.79,1151500,52.89
"2009-04-16",60.51,60.82,59.3,60.48,1190200,53.5
"2009-04-17",60.77,60.91,59.64,60.65,1407200,53.65
"2009-04-20",60.17,60.37,57.62,57.79,1610100,51.12
"2009-04-21",57.08,58.38,56.33,58.05,2708900,51.35
"2009-04-22",57.7,62.76,57.09,61.19,3659800,54.12
"2009-04-23",62.98,62.98,60.37,60.98,2791200,53.94
"2009-04-24",61.43,63.26,61.39,62.6,2646300,55.37
"2009-04-27",62.28,63.05,61.29,62.42,1519700,55.21
"2009-04-28",61.99,63.59,61.62,62.87,1380900,55.61
"2009-04-29",63.25,65.42,63.25,64.7,1765800,57.23
"2009-04-30",65.61,67.93,64.89,65.9,2186800,58.29
"2009-05-01",65.79,66.81,64.82,65.75,1181600,58.16
"2009-05-04",66.52,67.89,66.09,67.2,1700700,59.44
"2009-05-05",67.33,67.49,64.93,66.24,1897400,58.59
"2009-05-06",67.13,67.25,65,65.57,1891600,58
"2009-05-07",66.8,66.81,62.11,62.77,2413900,55.52
"2009-05-08",63.35,64.29,61.66,62.47,3423500,55.26
"2009-05-11",61.75,63.62,61.42,62.59,2074300,55.36
"2009-05-12",62.95,63.15,61.98,62.73,1313400,55.49
"2009-05-13",61.67,61.78,59.6,60.07,1999600,53.13
"2009-05-14",60.05,61.87,60.05,61.57,2573500,54.46
"2009-05-15",61.33,63.1,61.25,61.59,2298100,54.48
"2009-05-18",62.32,64.77,62.06,64.3,2825500,56.87
"2009-05-19",64.41,65.27,63.78,63.91,2195300,56.53
"2009-05-20",64.34,64.99,63.22,63.47,1759600,56.14
"2009-05-21",62.77,62.77,60.77,61.34,1908800,54.26
"2009-05-22",61.45,63.19,61.32,62.38,1292600,55.18
"2009-05-26",61.88,64.23,61.32,63.9,1627000,56.52
"2009-05-27",63.72,64.35,62.16,62.19,1431900,55.01
"2009-05-28",62.69,63.1,61.48,62.69,1270700,55.45
"2009-05-29",63.29,64.89,62.66,64.78,2092600,57.3
"2009-06-01",65.57,68.44,65.57,68.14,1682700,60.27
"2009-06-02",68.05,68.48,67.49,68.29,1532400,60.4
"2009-06-03",68.16,68.16,65.56,66.55,1544200,58.86
"2009-06-04",66.63,68.38,66.28,68.32,1795500,60.43
"2009-06-05",68.76,68.94,67.05,68.23,1687500,60.35
"2009-06-08",68.12,68.12,66.06,67.41,2010000,59.63
"2009-06-09",67.51,68.72,67.36,68.31,1143900,60.42
"2009-06-10",69.18,69.5,66.3,67.73,1304600,59.91
"2009-06-11",67.62,69.93,67.6,68.62,1490000,60.7
"2009-06-12",68.04,68.32,67.12,67.99,1548500,60.14
"2009-06-15",67.32,67.32,65.3,65.76,1501400,58.17
"2009-06-16",66.1,66.17,64.62,64.7,1350500,57.23
"2009-06-17",64.43,66.12,63.91,64.37,2782400,56.94
"2009-06-18",64.47,66.21,64,65.53,1506500,57.96
"2009-06-19",65.7,66.19,64.31,64.94,1572600,57.44
"2009-06-22",64.13,64.47,61.87,61.96,1896800,54.8
"2009-06-23",61.98,63.6,61.36,63.24,1741500,55.94
"2009-06-24",63.75,64.65,62.83,63.4,1254900,56.08
"2009-06-25",63.52,64.89,62.82,64.88,1252100,57.39
"2009-06-26",64.71,65.57,64.12,65.19,2485900,57.66
"2009-06-29",65.19,65.85,64.6,65.57,840800,58.4
"2009-06-30",65.15,65.71,64.28,64.59,1308000,57.53
"2009-07-01",64.9,65.96,64.31,64.64,1157400,57.57
"2009-07-02",63.8,64.64,62.37,62.37,1077600,55.55
"2009-07-06",61.48,63.01,61.32,62.87,1372500,56
"2009-07-07",62.6,62.76,60.52,60.71,1214300,54.07
"2009-07-08",62.31,62.93,61.68,62.16,3101700,55.36
"2009-07-09",62.78,63.77,62.5,63.1,1433700,56.2
"2009-07-10",62.55,63.85,62.05,63.31,1092200,56.39
"2009-07-13",62.82,64.86,62.42,64.86,1087400,57.77
"2009-07-14",64.84,65.75,64.27,65.05,899900,57.94
"2009-07-15",65.49,67.5,65.49,67.33,1464600,59.97
"2009-07-16",67.14,68.64,66.95,68.5,1360400,61.01
"2009-07-17",68.12,68.18,67.33,67.76,1075200,60.35
"2009-07-20",67.79,68.89,67.27,68.57,1145400,61.07
"2009-07-21",69.39,69.98,67.74,69.7,1735500,62.08
"2009-07-22",68.73,69.97,66.52,69.88,1609400,62.24
"2009-07-23",69.65,72.96,69.6,72.38,2617500,64.47
"2009-07-24",71.87,73.4,71.45,73.35,1303100,65.33
"2009-07-27",73.06,74.37,72.88,74.08,1276700,65.98
"2009-07-28",74.57,74.57,72.07,73.49,1385400,65.45
"2009-07-29",72.68,72.99,71.51,72.45,1586000,64.53
"2009-07-30",73.67,75.24,73.41,74.46,1320600,66.32
"2009-07-31",74.53,75.57,74.25,74.6,1620800,66.44
"2009-08-03",75,75.81,74.56,75.39,1381000,67.15
"2009-08-04",74.3,75.41,74,74.63,1206100,66.47
"2009-08-05",74.1,74.95,73.51,74.32,1192700,66.19
"2009-08-06",74.71,75,73.6,74.14,1076900,66.03
"2009-08-07",74.57,75.41,73.8,74.63,1352900,66.47
"2009-08-10",74.25,74.25,73.68,74.05,1379100,65.95
"2009-08-11",73.89,74.5,73.22,74,1186700,65.91
"2009-08-12",73.69,75.99,73.54,75.39,913900,67.15
"2009-08-13",75.95,76.53,75.29,75.94,823500,67.64
"2009-08-14",75.94,76.03,73.59,74.31,1169700,66.19
"2009-08-17",72.58,73.53,72.2,73.03,1950200,65.05
"2009-08-18",73.18,73.96,72.97,73.85,1042100,65.78
"2009-08-19",73,74.98,72.59,74.5,959400,66.35
"2009-08-20",74.51,74.9,73.95,74.45,787600,66.31
"2009-08-21",75.22,76.74,75.11,76.64,1326600,68.26
"2009-08-24",77.22,77.5,75.81,76.13,821600,67.81
"2009-08-25",76.31,77,75.39,75.57,751000,67.31
"2009-08-26",75.38,76.73,74.84,75.61,882400,67.34
"2009-08-27",75.52,76.01,73.96,75.64,932800,67.37
"2009-08-28",76.17,76.66,75.16,75.76,1061000,67.48
"2009-08-31",75.14,75.52,74.53,75.03,820300,66.83
"2009-09-01",74.59,75.84,73.71,74,1544900,65.91
"2009-09-02",73.98,74.17,73.29,73.52,1592700,65.48
"2009-09-03",74.19,74.35,73.53,74.34,1232400,66.21
"2009-09-04",74.37,75.16,73.64,75.14,719300,66.92
"2009-09-08",76.22,76.22,74.94,75.48,1503900,67.23
"2009-09-09",75.66,76.45,75.02,75.56,1451700,67.3
"2009-09-10",75.35,75.53,73.9,74.22,2625800,66.11
"2009-09-11",74.66,74.95,73.54,73.84,2413600,65.77
"2009-09-14",73.5,75.12,72.93,75.06,1538200,66.85
"2009-09-15",75.25,77.23,75.07,77.08,1627100,68.65
"2009-09-16",77.45,79.79,77.25,79.2,2313900,70.54
"2009-09-17",78.9,80,78.7,79.53,1712800,70.83
"2009-09-18",79.96,80.6,79.15,80.2,1642300,71.43
"2009-09-21",79.13,79.84,78.09,79.49,1360600,70.8
"2009-09-22",80.1,80.37,78.8,79.31,1202700,70.64
"2009-09-23",79.61,79.61,77.51,77.56,1579900,69.08
"2009-09-24",77.75,78.17,76.95,77.31,1299000,68.86
"2009-09-25",76.83,77.9,76.53,76.7,943400,68.31
"2009-09-28",77.26,79.02,77,78.56,935100,69.97
"2009-09-29",78.52,79.27,77.93,78.11,939800,69.97
"2009-09-30",78.03,78.86,76.64,77.58,1302800,69.5
"2009-10-01",77.67,77.8,75.4,75.4,1814200,67.54
"2009-10-02",74.7,76.33,73.76,75.53,1767000,67.66
"2009-10-05",75.88,76.89,74.75,76.13,1249600,68.2
"2009-10-06",77.07,77.96,76.52,77.69,1382100,69.59
"2009-10-07",78,78.57,77.59,78.15,1314600,70.01
"2009-10-08",79.26,79.86,78.83,79.2,1765400,70.95
"2009-10-09",79.28,80.36,79.28,80.24,2095700,71.88
"2009-10-12",80.64,81.55,80.16,81.24,1755100,72.77
"2009-10-13",81.14,82.79,80.19,82.32,2476600,73.74
"2009-10-14",83.15,83.61,82.56,83.58,2075000,74.87
"2009-10-15",83.24,83.95,82.74,83.95,1381200,75.2
"2009-10-16",83.6,83.7,82.65,82.98,1664300,74.33
"2009-10-19",83.02,84.43,82.91,83.79,1151900,75.06
"2009-10-20",83.81,83.96,81.79,83.24,1688200,74.57
"2009-10-21",83,83.75,81.67,81.97,2748600,73.43
"2009-10-22",81.32,83.79,80.65,83.22,1724600,74.55
"2009-10-23",83.41,83.41,80.68,81.14,1122600,72.68
"2009-10-26",81.14,82.69,79.85,80.22,1411200,71.86
"2009-10-27",80.28,81.58,80.07,80.72,1236000,72.31
"2009-10-28",80.29,80.44,77.07,77.61,1878300,69.52
"2009-10-29",78.39,80.11,78.39,80.08,1209600,71.74
"2009-10-30",79.85,80.1,76.73,77.13,1512900,69.09
"2009-11-02",78,79.56,77.23,78.3,1499100,70.14
"2009-11-03",77.63,78.96,77.35,78.59,878200,70.4
"2009-11-04",78.8,79.71,77.47,77.65,1546900,69.56
"2009-11-05",78.25,79.58,78.21,79.51,1274700,71.22
"2009-11-06",78.89,80.94,78.53,80.15,1047700,71.8
"2009-11-09",80.83,82.25,80.52,82.03,945400,73.48
"2009-11-10",81.88,82.48,81.44,82.22,1091500,73.65
"2009-11-11",82.79,83.47,82.19,82.8,717700,74.17
"2009-11-12",82.55,83.33,81.73,82.53,1189300,73.93
"2009-11-13",82.93,83.89,82.47,83.38,1104400,74.69
"2009-11-16",83.9,85.44,83.82,84.71,1144200,75.88
"2009-11-17",84.35,84.56,83.53,84.5,812900,75.69
"2009-11-18",84.57,84.6,83.28,83.81,734300,75.08
"2009-11-19",83.03,83.47,81.21,82.24,1138100,73.67
"2009-11-20",81.85,82.53,80.89,82.34,1044300,73.76
"2009-11-23",82.93,84.32,82.55,82.98,860100,74.33
"2009-11-24",82.96,83.5,81.63,82.59,1023800,73.98
"2009-11-25",82.43,83.37,82.39,83.34,891100,74.66
"2009-11-27",81.36,82.73,80.69,82.11,818900,73.55
"2009-11-30",82.14,83.16,81.46,82.93,1384200,74.29
"2009-12-01",83.83,84.31,82.87,83.6,1236300,74.89
"2009-12-02",83.76,84.43,83.42,84.23,1209500,75.45
"2009-12-03",84.17,84.51,82.4,82.49,1057500,73.89
"2009-12-04",83.39,83.8,80.55,82.09,1744700,73.54
"2009-12-07",81.8,82.59,81.3,81.91,1642800,73.37
"2009-12-08",80.27,81.88,80.18,80.53,1244700,72.14
"2009-12-09",80.7,82.25,79.55,82.25,2010200,73.68
"2009-12-10",83.12,83.37,81.65,82.11,922900,73.55
"2009-12-11",82.29,82.49,81.12,81.75,1429200,73.23
"2009-12-14",82.13,82.5,81.16,82.42,1071800,73.83
"2009-12-15",81.92,83.09,81.62,81.93,872800,73.39
"2009-12-16",82,83.16,81.66,82.64,915300,74.03
"2009-12-17",82,82,80.89,81.17,811600,72.71
"2009-12-18",81.8,81.8,79.99,81.31,1405000,72.84
"2009-12-21",81.09,81.56,80.06,80.26,1634500,71.9
"2009-12-22",80.5,81.41,80.5,81.02,1109200,72.58
"2009-12-23",81.33,81.38,80.47,81.29,1043700,72.82
"2009-12-24",81.58,82.16,81.3,81.82,234900,73.29
"2009-12-28",81.78,82.37,81.55,82.1,527100,73.54
"2009-12-29",82.39,83.1,82.11,82.68,708300,74.06
"2009-12-30",81.94,82.38,81.45,82.24,883800,74.07
"2009-12-31",82.15,82.32,80.98,81.06,384300,73.01
"2010-01-04",82.11,83.26,81.71,83.16,1046700,74.9
"2010-01-05",82.9,83.16,81.9,82.47,730900,74.28
"2010-01-06",82,82.68,81.5,81.79,1155100,73.67
"2010-01-07",81.81,82.07,80.87,81.32,1401000,73.24
"2010-01-08",81.14,82.22,80.95,81.84,1151600,73.71
"2010-01-11",82.68,83.55,82.27,83.34,1107900,75.06
"2010-01-12",82.42,83.19,81.76,82.28,878000,74.11
"2010-01-13",82.38,83.11,81.76,83.1,809100,74.85
"2010-01-14",82.96,83.8,81.81,82.07,613700,73.92
"2010-01-15",82.23,82.96,81.95,82.77,1426700,74.55
"2010-01-19",82.95,83.04,81.99,82.58,1309100,74.38
"2010-01-20",82,82,81.12,81.48,1216600,73.39
"2010-01-21",81.34,82.31,79.81,79.86,1430900,71.93
"2010-01-22",79.86,80.88,77.97,78.07,1807100,70.32
"2010-01-25",79.09,80.94,79.09,80.26,1796500,72.29
"2010-01-26",79.47,81.08,79,79.58,1371200,71.68
"2010-01-27",79.58,80.25,77.73,78.86,1704200,71.03
"2010-01-28",79.22,79.48,76.93,77.04,1347400,69.39
"2010-01-29",77.15,77.59,75.91,75.96,2338700,68.42
"2010-02-01",76.65,77.08,75.33,76.81,2319400,69.18
"2010-02-02",76.85,77.64,76,76.62,1477700,69.01
"2010-02-03",76.22,76.97,75.7,76.19,1223500,68.62
"2010-02-04",75.52,75.96,73.66,73.69,1491600,66.37
"2010-02-05",67.65,69.17,65.05,68.64,9338000,61.82
"2010-02-08",68.71,70.19,68.02,68.35,3408300,61.56
"2010-02-09",67.89,68.85,67.47,67.95,3743200,61.2
"2010-02-10",69.1,69.1,67.09,68.22,3738500,61.45
"2010-02-11",68.32,69.09,67.5,68.4,3375700,61.61
"2010-02-12",67.67,69.21,67,68.53,3436100,61.72
"2010-02-16",69.31,70.57,68.94,70.41,1884100,63.42
"2010-02-17",70.48,72,69.83,70.18,2807000,63.21
"2010-02-18",70.3,70.46,69.66,69.95,2039300,63
"2010-02-19",69.9,70,69.09,69.64,1883700,62.72
"2010-02-22",69.67,70.02,69.5,69.92,3288000,62.98
"2010-02-23",69.81,70.59,69.66,70.07,3324600,63.11
"2010-02-24",70.34,70.34,69.7,69.87,4141000,62.93
"2010-02-25",69.24,69.32,68.32,68.98,2352300,62.13
"2010-02-26",69.06,69.26,68.46,68.58,2038300,61.77
"2010-03-01",68.8,69.21,68.04,69.16,2181300,62.29
"2010-03-02",69.67,71.01,69.42,70.67,2444000,63.65
"2010-03-03",71.19,71.68,70.52,71.32,2073400,64.24
"2010-03-04",71.46,72.04,71.01,71.89,2489000,64.75
"2010-03-05",72.32,73.54,72,73.5,2659600,66.2
"2010-03-08",73.55,74.35,73.55,74.2,2748900,66.83
"2010-03-09",73.84,74.62,73.57,74.23,2472300,66.86
"2010-03-10",74.33,74.84,73.58,74.4,2176900,67.01
"2010-03-11",73.97,74.66,73.33,74.66,2108700,67.25
"2010-03-12",74.9,75.1,74.39,74.56,1918100,67.16
"2010-03-15",74.53,74.75,73.71,74.12,2136300,66.76
"2010-03-16",74.41,74.97,74.27,74.88,1832100,67.44
"2010-03-17",75.01,75.3,74.16,74.55,1679400,67.15
"2010-03-18",74.85,74.89,74.09,74.76,1460200,67.34
"2010-03-19",74.9,75.24,74.12,74.44,2316000,67.05
"2010-03-22",73.98,75.27,73.98,75.01,1073000,67.56
"2010-03-23",74.96,75.54,74.35,75.54,1030600,68.04
"2010-03-24",75.16,75.24,74.4,74.81,1625400,67.38
"2010-03-25",75.33,75.44,73.66,73.7,1214900,66.38
"2010-03-26",73.9,74.9,73.72,74.32,1094400,66.94
"2010-03-29",74.57,75.09,73.43,74.3,1834000,66.92
"2010-03-30",73.74,74.25,72.78,74.09,1487600,67.18
"2010-03-31",74.09,74.58,73.83,73.95,1395300,67.05
"2010-04-01",74.44,74.54,73.51,73.87,1153200,66.98
"2010-04-05",73.99,74.33,73.36,74.17,1321800,67.25
"2010-04-06",73.88,74.69,73.78,74.63,866300,67.67
"2010-04-07",74.1,74.85,73.85,74.06,1512500,67.15
"2010-04-08",73.75,74.18,73.19,74.1,2038100,67.18
"2010-04-09",74.3,75.43,73.9,75.36,1279900,68.33
"2010-04-12",75.36,75.57,74.96,75.34,987700,68.31
"2010-04-13",75.13,75.34,74.58,74.95,1117600,67.96
"2010-04-14",75.35,76.1,75,76.01,1684500,68.92
"2010-04-15",75.63,77.08,75.44,76.75,1348500,69.59
"2010-04-16",76.55,77.25,75.79,76.03,1911800,68.93
"2010-04-19",75.54,76.08,74.72,75.85,1022200,68.77
"2010-04-20",76.48,76.81,76.08,76.46,780400,69.32
"2010-04-21",76.69,77,76.14,76.67,1111800,69.51
"2010-04-22",76.26,77.4,75.35,77.32,1310300,70.1
"2010-04-23",77.25,79.25,77.25,79.22,1666000,71.83
"2010-04-26",80.16,80.24,79,79,1269700,71.63
"2010-04-27",78.82,79.16,77.23,77.42,1545900,70.19
"2010-04-28",78.08,78.31,76.4,78.06,2000600,70.78
"2010-04-29",78.47,78.89,77.77,78.03,1148800,70.75
"2010-04-30",78.22,78.54,76.78,76.78,1396200,69.61
"2010-05-03",77.3,77.36,76.45,77.01,1411200,69.82
"2010-05-04",76.01,76.46,74.37,74.77,1424800,67.79
"2010-05-05",74.09,74.68,73.5,74.14,1320100,67.22
"2010-05-06",73.61,74.47,68.59,72.28,2016200,65.53
"2010-05-07",72.14,73.25,70.54,70.98,2142900,64.36
"2010-05-10",72.82,73.57,71.81,72.59,2622900,65.82
"2010-05-11",71.97,72.79,71.57,71.67,1789300,64.98
"2010-05-12",71.81,72.6,71.52,72.57,2465800,65.8
"2010-05-13",72.26,72.44,71.46,71.47,1783800,64.8
"2010-05-14",70.76,70.8,68.79,69.57,1832200,63.08
"2010-05-17",69.62,71.15,69.15,70.58,2316000,63.99
"2010-05-18",71.21,72.5,69.82,70.05,1442400,63.51
"2010-05-19",69.78,69.81,68.62,69.39,1413400,62.91
"2010-05-20",67.64,68.28,66,66.01,3446300,59.85
"2010-05-21",64.76,67.05,64.57,66.94,2601600,60.69
"2010-05-24",66.5,67.16,65.94,65.97,1543300,59.81
"2010-05-25",64.63,67.42,64.47,67.35,2492600,61.06
"2010-05-26",67.92,69.54,67.46,68.58,3752500,62.18
"2010-05-27",69.83,70.68,68.48,70.68,2180700,64.08
"2010-05-28",70.66,70.66,68.72,69.06,1693000,62.62
"2010-06-01",68.3,69.39,67.36,67.42,1401800,61.13
"2010-06-02",67.62,69.13,67.45,69.12,1123900,62.67
"2010-06-03",69.24,69.37,67.81,68.97,1216000,62.53
"2010-06-04",67.43,68.16,66.46,66.55,1504100,60.34
"2010-06-07",66.82,67.27,65.54,65.6,1559000,59.48
"2010-06-08",65.69,66.86,65.51,66.81,1929800,60.58
"2010-06-09",67.5,68.73,67.18,67.5,2034500,61.2
"2010-06-10",68.49,69.36,68.15,68.91,1672000,62.48
"2010-06-11",68.3,69.43,68.25,69.43,1092600,62.95
"2010-06-14",69.83,70.5,68.96,69.02,1213200,62.58
"2010-06-15",69.7,70.24,69.28,70.24,1649400,63.68
"2010-06-16",69.58,70.8,69.58,70.54,1382600,63.96
"2010-06-17",70.91,70.98,69.7,70.65,1693900,64.06
"2010-06-18",70.89,72.04,70.83,71.54,1849300,64.86
"2010-06-21",72.36,72.94,70.63,71.15,1225700,64.51
"2010-06-22",71.3,72,70.18,70.22,1008700,63.67
"2010-06-23",70.11,70.23,68.39,69,1685700,62.56
"2010-06-24",68.45,69.81,67.14,67.32,3247000,61.04
"2010-06-25",67.38,68.64,66.85,68.58,3385700,62.18
"2010-06-28",68.79,69.07,67.54,67.79,1484200,61.46
"2010-06-29",66.38,66.48,65.2,65.52,1889800,59.84
"2010-06-30",65.29,66.02,64.62,64.81,2060600,59.19
"2010-07-01",64.54,65.51,64.54,65,2783900,59.36
"2010-07-02",65.12,65.59,64.13,64.97,1492600,59.34
