"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"2008-09-29",65.95,66.5,62,63.2,7243100,55.17
"2008-09-30",63.66,65.37,63,64.93,5082700,56.68
"2008-10-01",64,65,63.64,64.69,3860200,56.47
"2008-10-02",64.31,64.44,61.33,61.92,6284800,54.05
"2008-10-03",63.69,65.12,62.29,62.6,7767800,54.65
"2008-10-06",60.72,62,57.11,60.47,9508900,52.79
"2008-10-07",60.45,61.42,57.05,57.8,9819200,50.46
"2008-10-08",54,58.8,53.35,57.06,13645400,49.81
"2008-10-09",57.41,58.01,52.7,54.4,7837500,47.49
"2008-10-10",53.13,55.99,51,53.9,12410400,47.05
"2008-10-13",56.1,59.69,55.75,59.52,8433700,51.96
"2008-10-14",61.09,61.52,57.11,58.41,7996300,50.99
"2008-10-15",57.23,57.9,53,53.61,7662600,46.8
"2008-10-16",54.03,58.14,52.45,57.79,10619000,50.45
"2008-10-17",56.76,59.94,52.77,57.98,8423400,50.61
"2008-10-20",59.31,59.31,56,58.08,6356700,50.7
"2008-10-21",57.04,58.59,55.57,55.86,7081300,48.76
"2008-10-22",54.83,55.18,52.09,53.55,6863600,46.75
"2008-10-23",53.42,53.68,49.68,52.21,8923400,45.58
"2008-10-24",48.81,52.06,48.66,50.93,5103600,44.46
"2008-10-27",50.03,53.48,49.59,51.9,7446200,45.31
"2008-10-28",53.95,57.86,52.29,57.48,9123600,50.18
"2008-10-29",57.08,59.48,54.84,56.88,8166000,49.65
"2008-10-30",57.99,58.52,55.89,56.97,6783600,49.73
"2008-10-31",57,58.43,56.04,57.01,6046800,49.77
"2008-11-03",56.53,56.83,52.78,53.47,8809200,46.68
"2008-11-04",54.34,55.99,53.33,55.09,8033800,48.09
"2008-11-05",54.87,55.54,53.57,53.71,5565000,46.89
"2008-11-06",53,54.89,52.9,53.51,9811700,46.71
"2008-11-07",53.87,54.41,52.89,54.07,4063400,47.2
"2008-11-10",54.63,55.15,52.29,53,5286500,46.27
"2008-11-11",52.25,53.27,50.88,52.28,5035500,45.64
"2008-11-12",51,51.17,48.57,48.78,7948300,42.71
"2008-11-13",48.64,49.98,45.29,49.97,11219800,43.76
"2008-11-14",48.98,50.68,47.59,48.06,7232700,42.08
"2008-11-17",47.34,48.99,47.25,47.31,5252400,41.43
"2008-11-18",47.32,47.76,45.08,46.76,7754200,40.94
"2008-11-19",46.72,47.64,45.13,45.27,6165600,39.64
"2008-11-20",45,48.25,44.85,44.99,9610700,39.39
"2008-11-21",45.22,46.91,43.88,46.71,10862700,40.9
"2008-11-24",46.87,49.97,46.45,49.45,8242600,43.3
"2008-11-25",50.17,51.68,49.46,50.67,7454600,44.37
"2008-11-26",49.65,51.67,49.6,51.45,4421900,45.05
"2008-11-28",51.35,51.68,50.66,51.47,1533300,45.07
"2008-12-01",50.73,50.76,47.88,47.91,5559800,41.95
"2008-12-02",48.5,50.2,47.76,50.1,6138500,43.87
"2008-12-03",49,52.22,48.73,51.42,7885400,45.03
"2008-12-04",50.97,53.35,50.51,52.75,9864600,46.19
"2008-12-05",52.17,55.89,51.86,55.58,8656700,48.67
"2008-12-08",55.39,56.27,54.46,55.19,7387300,48.33
"2008-12-09",55.06,55.16,52.46,53.1,7886900,46.5
"2008-12-10",52.86,53.97,51.89,53.69,7260800,47.01
"2008-12-11",52.25,53.47,50.7,52.06,10660400,45.59
"2008-12-12",51.36,54.09,51.36,53.4,6796200,46.76
"2008-12-15",53.29,53.4,51.54,52.74,4868700,46.18
"2008-12-16",53,53.44,52.32,53.03,8211700,46.43
"2008-12-17",52.69,54.46,52.69,53.94,6888800,47.23
"2008-12-18",54.37,54.74,53.6,54.15,5053200,47.42
"2008-12-19",54.59,55,53.38,53.79,6452400,47.1
"2008-12-22",54.29,54.35,51.75,52.72,4977100,46.16
"2008-12-23",52.37,53.33,51.25,51.47,3533700,45.07
"2008-12-24",51.92,52.06,51.57,51.69,1123400,45.26
"2008-12-26",51.49,52,51.29,51.47,1218200,45.07
"2008-12-29",51.35,51.82,50.58,50.83,2413900,44.51
"2008-12-30",50.83,51.5,50.4,51.13,2355800,44.77
"2008-12-31",51.2,52.83,51.13,52.5,4939600,45.97
"2009-01-02",52.44,53.5,52.05,53.35,3687200,46.71
"2009-01-05",53.18,53.62,51.8,52.29,5890900,45.79
"2009-01-06",52.52,52.58,51.08,51.45,6472900,45.05
"2009-01-07",51,51.35,49.69,50.12,6870000,43.89
"2009-01-08",49.55,51.9,49.38,50.65,7287100,44.35
"2009-01-09",50.24,50.98,48.91,49.14,4577100,43.03
"2009-01-12",49.59,50.13,48.92,49.43,4812900,43.28
"2009-01-13",49.06,50.36,48.55,48.94,6310400,42.85
"2009-01-14",48.35,48.58,47.44,47.63,7906800,41.71
"2009-01-15",47.52,48.94,47.25,48.47,6015900,42.44
"2009-01-16",49.31,49.31,47.86,48.8,6413000,42.73
"2009-01-20",49.17,49.21,47.15,47.22,7370300,41.35
"2009-01-21",47.26,48.04,46.58,47.9,6242200,41.94
"2009-01-22",47.55,47.88,46.67,47.45,6144900,41.55
"2009-01-23",46.9,47.51,46.21,46.97,4906200,41.13
"2009-01-26",47.48,48.03,46.94,47.35,4091900,41.46
"2009-01-27",47.39,48.08,47.08,47.9,4085300,41.94
"2009-01-28",48.07,48.52,47.39,47.81,5163300,41.86
"2009-01-29",47.99,48,46.34,46.45,4706600,40.67
"2009-01-30",46.55,46.66,44.79,45.03,6682800,39.43
"2009-02-02",44.78,45.67,44.53,45.3,4782600,39.67
"2009-02-03",45.47,46.18,44.87,46.12,5326400,40.38
"2009-02-04",42.74,43.5,41.83,42.98,20971900,37.63
"2009-02-05",42.85,43.96,42.41,43.83,9886100,38.38
"2009-02-06",44.1,45.48,44,45.21,8261300,39.59
"2009-02-09",44.78,45.41,44.57,45.17,5332500,39.55
"2009-02-10",44.8,45.6,43.78,43.97,6590400,38.5
"2009-02-11",44.17,44.46,43.08,43.54,4778800,38.26
"2009-02-12",43.5,44.39,42.89,44.32,6573000,38.95
"2009-02-13",44.28,44.29,42.62,42.76,4873100,37.58
"2009-02-17",42.15,42.74,41.9,42.12,6194100,37.02
"2009-02-18",42.2,42.63,41.72,42.38,6191500,37.24
"2009-02-19",42.74,43.47,42.59,42.62,5451200,37.46
"2009-02-20",42.53,43.29,42.1,42.76,6996200,37.58
"2009-02-23",42.8,43.23,41.04,41.17,6430200,36.18
"2009-02-24",41.12,42.78,41.05,42.55,6083600,37.39
"2009-02-25",42.22,42.79,41.32,42,6932700,36.91
"2009-02-26",42.35,42.44,41.55,41.55,4907600,36.52
"2009-02-27",41.29,43.03,41.25,42.34,7385700,37.21
"2009-03-02",41.71,42.86,40.72,40.84,7625200,35.89
"2009-03-03",41.31,41.86,40.25,40.69,8133400,35.76
"2009-03-04",41.11,41.9,40.15,40.81,14476000,35.87
"2009-03-05",40.54,40.95,39.26,39.56,8932600,34.77
"2009-03-06",39.58,39.74,38.17,38.98,7087200,34.26
"2009-03-09",38.44,39.47,38.18,38.44,6474500,33.78
"2009-03-10",39.03,40.19,38.65,40.14,8581000,35.28
"2009-03-11",40.12,40.43,39.34,39.56,6356500,34.77
"2009-03-12",39.96,40.99,39.33,40.86,6020300,35.91
"2009-03-13",40.99,42.4,40.5,42.2,6387500,37.09
"2009-03-16",42.13,43.02,42,42.12,4879100,37.02
"2009-03-17",43.09,44.02,42.81,43.98,6168300,38.65
"2009-03-18",43.9,45.04,43.08,44.46,7082400,39.07
"2009-03-19",44.6,45.27,44.25,45.12,6798600,39.65
"2009-03-20",45.57,45.64,44,44.83,7206600,39.4
"2009-03-23",45.48,47.54,45.25,47.54,6274500,41.78
"2009-03-24",47.42,48,46.26,46.36,5045800,40.74
"2009-03-25",46.51,47.76,45.57,46.81,6118800,41.14
"2009-03-26",47.37,49.35,47.06,48.46,6826500,42.59
"2009-03-27",47.68,48.15,47.06,47.4,4866300,41.66
"2009-03-30",46.56,46.9,45.65,46.25,4478700,40.65
"2009-03-31",46.48,46.87,45.19,46.32,5363500,40.71
"2009-04-01",45.67,46.5,45.02,46.35,4637300,40.73
"2009-04-02",46.82,48.6,46.5,48.07,5122400,42.25
"2009-04-03",47.86,48.97,47.85,48.91,4225700,42.98
"2009-04-06",48.16,48.86,47.28,47.74,4338300,41.96
"2009-04-07",47.03,47.21,46.31,46.39,4584100,40.77
"2009-04-08",46.66,48.39,46.63,47.7,5340700,41.92
"2009-04-09",45.85,47.42,45.54,46.9,10597600,41.22
"2009-04-13",46.92,47.23,46.22,46.41,4185900,40.79
"2009-04-14",46.11,46.25,45.18,45.35,4674900,39.85
"2009-04-15",45.37,45.8,45.05,45.66,3676800,40.13
"2009-04-16",45.77,46.75,45.74,46.23,4668100,40.63
"2009-04-17",46.1,46.5,45.61,45.77,4742400,40.22
"2009-04-20",45.35,45.59,44.1,44.34,5403500,38.97
"2009-04-21",44.48,46.58,44.03,46.46,6380200,40.83
"2009-04-22",45.92,47.77,45.61,47.07,6135200,41.37
"2009-04-23",46.6,48.13,46.27,46.83,5548400,41.16
"2009-04-24",47.19,48.63,46.5,48.17,6728100,42.33
"2009-04-27",47.93,48.33,47.02,47.64,4138400,41.87
"2009-04-28",47.1,48.14,46.68,47.07,4413100,41.37
"2009-04-29",47.89,48.44,47.3,47.67,5846000,41.89
"2009-04-30",47.92,48.97,47.03,48.6,7551400,42.71
"2009-05-01",48.39,48.44,47.35,47.69,4440200,41.91
"2009-05-04",47.8,47.96,47.3,47.71,4743000,41.93
"2009-05-05",48.14,48.27,47.13,47.65,3848700,41.88
"2009-05-06",47.82,48.2,46.59,46.87,5077900,41.19
"2009-05-07",47.66,47.93,45.66,45.93,8110300,40.36
"2009-05-08",46.5,46.81,45.52,46.6,6487200,40.95
"2009-05-11",45.7,46.76,45.25,46.02,5167400,40.44
"2009-05-12",46.57,47.25,45.77,46.91,5375200,41.23
"2009-05-13",46.25,46.55,45.3,45.65,5929500,40.27
"2009-05-14",45.8,46.1,44.61,44.8,6582900,39.52
"2009-05-15",44.78,45.58,44.7,44.75,5187400,39.48
"2009-05-18",45.21,46.17,45.06,46.09,4243000,40.66
"2009-05-19",46.23,47.74,45.72,47.21,6007600,41.65
"2009-05-20",48.5,49.61,48.26,48.78,9621600,43.03
"2009-05-21",48.42,49.28,47.86,48.31,4702500,42.62
"2009-05-22",48.3,48.83,48.07,48.3,4038600,42.61
"2009-05-26",47.75,49.92,47.6,49.14,7600100,43.35
"2009-05-27",48.85,49.7,48.2,48.83,6273600,43.08
"2009-05-28",47.94,48.79,46.54,47.97,10927600,42.32
"2009-05-29",48.2,48.52,47.21,48.52,4713300,42.81
"2009-06-01",49.2,49.98,48.75,49.7,4680700,43.85
"2009-06-02",49.52,50.14,49.3,49.45,3820700,43.63
"2009-06-03",49.22,49.25,48,48.47,9321500,42.76
"2009-06-04",47.13,48,46.25,47.87,8815500,42.23
"2009-06-05",48.4,48.59,47.18,47.64,5473000,42.03
"2009-06-08",47.4,47.84,46.96,47.53,3293000,41.93
"2009-06-09",47.56,47.96,46.89,47.13,4992200,41.58
"2009-06-10",47.22,47.45,46.38,46.59,5181800,41.1
"2009-06-11",46.71,47.05,46.22,46.27,6474800,40.82
"2009-06-12",46.35,47.1,45.96,47.03,4735700,41.49
"2009-06-15",46.75,46.83,45.99,46.33,4338700,40.87
"2009-06-16",46.36,46.54,45.8,45.95,4675300,40.54
"2009-06-17",46.06,47.2,45.88,46.59,5875000,41.1
"2009-06-18",46.69,46.86,45.9,46.24,4628500,40.79
"2009-06-19",46.7,46.7,45.91,46.11,5120600,40.68
"2009-06-22",45.81,46.22,45.25,45.35,5446700,40.01
"2009-06-23",46.02,46.05,44.98,45.07,4396600,39.76
"2009-06-24",45.21,45.33,44.78,45.04,4248300,39.73
"2009-06-25",44.82,46.34,44.82,46.28,5439800,40.83
"2009-06-26",46.03,46.6,45.83,46.41,3675800,40.94
"2009-06-29",46.73,46.8,46.01,46.2,3545400,40.76
"2009-06-30",46.09,46.29,45.64,45.78,5136000,40.39
"2009-07-01",45.81,46.38,45.71,45.79,3044100,40.4
"2009-07-02",45.64,45.64,44.59,44.64,4920300,39.38
"2009-07-06",44.57,45.79,44.5,45.7,4745700,40.32
"2009-07-07",45.21,45.44,44.48,44.54,4268100,39.29
"2009-07-08",44.83,46.11,44.63,46.02,7496100,40.6
"2009-07-09",46.4,46.5,45.25,45.5,5697600,40.14
"2009-07-10",45.3,45.51,44.65,44.97,3791400,39.67
"2009-07-13",44.92,45.12,44.5,44.97,4686400,39.67
"2009-07-14",44.81,45.17,44.37,45.03,3880600,39.73
"2009-07-15",45.4,47,45.06,46.9,7246300,41.38
"2009-07-16",46.73,47.59,46.52,47.49,3903700,41.9
"2009-07-17",47.37,47.49,46.97,47.48,3293600,41.89
"2009-07-20",47.5,48.5,47.03,48.47,4881200,42.76
"2009-07-21",48.29,48.59,47.61,48.38,3911900,42.68
"2009-07-22",48.18,49.09,48,48.82,3799300,43.07
"2009-07-23",48.5,49.23,47.77,48.6,6234200,42.88
"2009-07-24",48.12,49.24,48.11,49.13,4589700,43.34
"2009-07-27",48.99,49.13,48.03,48.68,2905100,42.95
"2009-07-28",48.44,48.92,48.1,48.84,3268900,43.09
"2009-07-29",48.53,49.41,48.41,48.77,3579600,43.03
"2009-07-30",49.26,49.73,48.88,49.25,3295600,43.45
"2009-07-31",49.01,49.93,49,49.5,3384000,43.67
"2009-08-03",49.75,50.04,49.51,50,3582800,44.11
"2009-08-04",49.6,50,49.15,49.48,3805600,43.65
"2009-08-05",49.73,49.75,48.69,49.06,3524400,43.28
"2009-08-06",48.56,49.36,48.25,48.75,4750200,43.01
"2009-08-07",49.45,50.24,48.91,50.1,4221300,44.2
"2009-08-10",49.84,49.96,49,49.4,3165000,43.58
"2009-08-11",49.03,49.39,48.8,48.92,2613100,43.16
"2009-08-12",48.94,49.49,48.91,49.15,2881100,43.52
"2009-08-13",49.16,49.2,48.21,48.88,3694600,43.28
"2009-08-14",48.79,49.03,48.19,48.63,3318300,43.06
"2009-08-17",48.1,48.39,47.39,47.47,4494500,42.03
"2009-08-18",47.54,47.9,47.1,47.4,3410200,41.97
"2009-08-19",47.21,48.07,47.16,47.94,3459200,42.45
"2009-08-20",48.09,48.09,47.5,47.91,2335800,42.42
"2009-08-21",48.23,48.82,47.89,48.56,3974800,43
"2009-08-24",48.78,48.78,48.01,48.12,2839600,42.61
"2009-08-25",48.78,50.08,48.46,49.62,6258400,43.94
"2009-08-26",49.87,50.36,49.54,50.23,5574900,44.48
"2009-08-27",49.91,51.65,49.87,51.31,5890400,45.43
"2009-08-28",51.5,52,51.35,51.77,4994000,45.84
"2009-08-31",51.35,51.7,50.86,50.98,3788800,45.14
"2009-09-01",51.34,51.37,50.18,50.65,5505400,44.85
"2009-09-02",50.4,50.82,49.95,50.65,4268100,44.85
"2009-09-03",54.22,55.23,54.17,54.99,12230400,48.69
"2009-09-04",54.68,55.53,54.54,55.47,4593400,49.12
"2009-09-08",56.86,57,56.15,56.73,5526200,50.23
"2009-09-09",56.49,57.08,56.29,57.06,3931100,50.53
"2009-09-10",57.04,57.04,56.66,56.91,3886900,50.39
"2009-09-11",56.86,56.99,56.52,56.81,3031500,50.3
"2009-09-14",56.22,57.02,56.16,56.99,3083000,50.46
"2009-09-15",56.78,57,56.42,56.82,3330000,50.31
"2009-09-16",56.82,57.77,56.69,57.7,3920300,51.09
"2009-09-17",57.86,58.23,57.32,57.96,3979200,51.32
"2009-09-18",58.2,58.2,57.46,57.55,4561700,50.96
"2009-09-21",57.61,58.73,57.38,58.58,4847800,51.87
"2009-09-22",58.72,58.86,58.34,58.4,2833800,51.71
"2009-09-23",57.86,58.8,57.86,57.98,2952200,51.34
"2009-09-24",58.03,58.24,57.07,57.43,3389400,50.85
"2009-09-25",57.72,57.72,56,56.28,6137100,49.83
"2009-09-28",56.5,56.66,56.31,56.56,4786200,50.08
"2009-09-29",56.56,56.93,56.25,56.49,4939600,50.02
"2009-09-30",57.12,57.44,55.98,56.38,12235900,49.92
"2009-10-01",56.15,56.69,55.4,55.69,5097900,49.31
"2009-10-02",55.92,56.68,55.73,56.47,5760800,50
"2009-10-05",56.59,57.25,56.3,56.88,4480100,50.37
"2009-10-06",57.02,58.37,57.02,57.93,5865700,51.3
"2009-10-07",59.76,60.3,58.86,59,11117300,52.24
"2009-10-08",59.28,59.38,58.39,58.63,5025900,51.92
"2009-10-09",58.2,58.69,57.72,58.64,5751900,51.92
"2009-10-12",58.38,58.83,57.76,58.03,2915700,51.38
"2009-10-13",57.9,58.87,57.75,58.48,4733900,51.78
"2009-10-14",59,59,58.44,58.77,3461400,52.04
"2009-10-15",58.39,59.04,58.39,58.97,2879900,52.22
"2009-10-16",58.85,58.9,58.12,58.48,3230700,51.78
"2009-10-19",58.82,59.35,58.36,59.23,3502500,52.45
"2009-10-20",59.26,59.27,58.42,59.09,3384300,52.32
"2009-10-21",58.76,59.25,57.71,57.71,4153300,51.26
"2009-10-22",57.76,58.49,57.57,58.27,2917600,51.75
"2009-10-23",58.08,58.43,57.56,57.81,2152500,51.35
"2009-10-26",57.69,58.36,57.52,57.65,2766600,51.2
"2009-10-27",57.61,57.82,56.77,57.15,2876800,50.76
"2009-10-28",57.05,57.5,56.72,56.72,3027100,50.38
"2009-10-29",57.31,57.94,56.76,57.92,3940900,51.44
"2009-10-30",57.73,57.95,56.81,56.85,3902700,50.49
"2009-11-02",56.85,57.88,56.76,57.75,3884000,51.29
"2009-11-03",57.55,58.37,57.31,57.65,4122300,51.2
"2009-11-04",57.68,59.27,57.68,58.81,4756800,52.23
"2009-11-05",58.11,59.49,57.98,59.41,4668700,52.77
"2009-11-06",59.15,59.66,58.8,59.41,2749300,52.77
"2009-11-09",58.96,60.46,58.96,60.44,3698200,53.68
"2009-11-10",59.92,60.4,59.52,60.04,3078600,53.33
"2009-11-11",60.46,60.69,59.78,60.4,3156500,53.65
"2009-11-12",60.16,60.65,60,60.12,3690500,53.4
"2009-11-13",60.35,60.63,59.96,60.47,2466200,53.71
"2009-11-16",60.79,61.25,60.5,61.12,3266400,54.29
"2009-11-17",61.06,61.23,60.22,60.62,3307500,53.84
"2009-11-18",60.38,60.83,59.67,60.77,3116900,53.97
"2009-11-19",60.36,60.59,59.78,60.48,2240800,53.72
"2009-11-20",60.26,60.84,59.8,60.06,2696400,53.34
"2009-11-23",60.1,60.86,59.93,60.57,2750600,53.8
"2009-11-24",60.81,60.83,60.33,60.51,2578000,53.74
"2009-11-25",60.4,60.99,60.4,60.89,2469800,54.08
"2009-11-27",59.5,60.51,59.2,60.03,1483300,53.32
"2009-11-30",60.15,60.29,59.41,59.91,3399200,53.21
"2009-12-01",60.13,60.79,60.1,60.73,4418600,53.94
"2009-12-02",60.65,61.15,60.29,60.87,4316200,54.06
"2009-12-03",59.4,59.57,58.9,59.02,8326000,52.42
"2009-12-04",59.4,59.99,58.67,59.19,4936000,52.57
"2009-12-07",59.13,59.74,59.05,59.35,2422400,52.71
"2009-12-08",58.85,58.96,58,58.75,3853300,52.18
"2009-12-09",58.71,59,58.1,58.66,3745600,52.1
"2009-12-10",59.15,59.36,58.23,58.76,5576500,52.19
"2009-12-11",59.04,59.49,58.97,59.32,3197100,52.69
"2009-12-14",59.57,59.72,59.17,59.47,2174900,52.82
"2009-12-15",59.42,59.47,58.86,58.98,2794900,52.38
"2009-12-16",59.15,59.5,58.72,58.77,2859300,52.2
"2009-12-17",58.53,58.58,57.8,57.8,2876800,51.34
"2009-12-18",58.03,58.46,57.52,58.43,4540800,51.9
"2009-12-21",58.78,59.55,58.64,59.27,2114000,52.64
"2009-12-22",59.03,59.8,59.03,59.57,3026200,52.91
"2009-12-23",59.6,60.31,59.6,60.07,2945700,53.35
"2009-12-24",60.29,60.6,60.09,60.4,1681400,53.65
"2009-12-28",60.4,60.75,60.33,60.56,1748300,53.79
"2009-12-29",60.49,60.69,60.2,60.26,1794500,53.52
"2009-12-30",60.13,60.49,59.87,60.05,1678500,53.34
"2009-12-31",60.24,60.3,59.11,59.17,1862900,52.55
"2010-01-04",59.13,60.07,59.13,59.41,3280200,52.77
"2010-01-05",59.26,59.42,58.84,59.23,2775800,52.61
"2010-01-06",59.07,60.05,59,60,3722900,53.29
"2010-01-07",60.08,60.44,59.26,59.71,4527600,53.03
"2010-01-08",59.47,59.61,59.1,59.28,2348300,52.65
"2010-01-11",59.21,59.42,59,59.35,1830400,52.71
"2010-01-12",59.23,59.39,58.72,59.03,2113300,52.43
"2010-01-13",59.11,59.59,58.94,59.4,2051500,52.76
"2010-01-14",59.12,59.25,58.71,58.72,2145700,52.15
"2010-01-15",58.99,58.99,58.43,58.79,3081700,52.22
"2010-01-19",59.17,59.28,58.79,58.95,2558200,52.36
"2010-01-20",58.48,58.68,57.62,58.27,4484600,51.75
"2010-01-21",58.13,58.6,57.35,57.52,3456800,51.09
"2010-01-22",57.4,57.96,57.04,57.07,4220600,50.69
"2010-01-25",57.35,57.82,56.75,57.55,2690600,51.11
"2010-01-26",57.2,58.48,57.14,57.93,3530500,51.45
"2010-01-27",57.71,58.04,57.28,57.53,3776200,51.1
"2010-01-28",57.59,57.82,57.06,57.35,3197000,50.94
"2010-01-29",57.59,58.54,57.4,57.43,5413900,51.01
"2010-02-01",57.8,57.92,57.36,57.91,4295300,51.43
"2010-02-02",58,58.88,57.6,58.77,5231500,52.2
"2010-02-03",58.59,58.95,58.38,58.42,5269100,51.89
"2010-02-04",58.17,58.94,58.1,58.52,5962700,51.98
"2010-02-05",58.59,58.9,58.07,58.58,4793600,52.03
"2010-02-08",58.27,58.78,58.13,58.14,3319800,51.64
"2010-02-09",58.8,59,58.2,58.76,3486900,52.19
"2010-02-10",58.66,59.32,58.38,59.15,4520500,52.7
"2010-02-11",58.86,59.78,58.67,59.67,4030800,53.16
"2010-02-12",59.19,59.42,58.95,59.28,4337600,52.81
"2010-02-16",59.62,60.85,59.3,60.67,4052300,54.05
"2010-02-17",60.79,61.3,60.74,61.05,2663100,54.39
"2010-02-18",60.93,61.13,60.58,60.96,2275200,54.31
"2010-02-19",60.73,61.36,60.66,61.14,2510100,54.47
"2010-02-22",61.4,61.45,60.69,60.79,3004300,54.16
"2010-02-23",60.64,60.92,60.41,60.51,3081200,53.91
"2010-02-24",60.8,61.22,60.61,60.86,2908200,54.22
"2010-02-25",60.29,61.52,60.21,61.4,3534000,54.7
"2010-02-26",61.36,61.47,60.78,60.97,3681600,54.32
"2010-03-01",61,62.11,60.68,61.65,4031100,54.92
"2010-03-02",62.12,62.12,61.2,61.38,4126100,54.68
"2010-03-03",59.75,61.58,59.64,60.68,10153500,54.06
"2010-03-04",60.75,61.16,60.48,60.8,3286100,54.17
"2010-03-05",60.85,60.97,60.5,60.68,3514800,54.06
"2010-03-08",60.54,61,60.52,60.67,3020400,54.05
"2010-03-09",60.38,60.57,60.04,60.13,3187000,53.57
"2010-03-10",60.21,60.41,59.76,59.84,3248400,53.31
"2010-03-11",59.78,60.06,59.77,59.9,3957200,53.37
"2010-03-12",59.88,60.48,59.81,60.17,3938700,53.61
"2010-03-15",60.07,60.62,60.05,60.55,2584700,53.94
"2010-03-16",60.71,60.96,60.59,60.91,2480600,54.27
"2010-03-17",60.96,61.46,60.9,61.33,3115300,54.64
"2010-03-18",61,61.43,60.92,61.27,3156200,54.59
"2010-03-19",61.38,61.5,60.49,60.72,4687500,54.1
"2010-03-22",60.54,61.09,60.43,60.88,2369000,54.24
"2010-03-23",60.76,60.89,60.36,60.76,2937800,54.13
"2010-03-24",60.54,60.74,60.02,60.07,2910000,53.52
"2010-03-25",60.42,60.42,60.01,60.05,2591500,53.5
"2010-03-26",60.25,60.42,59.91,60.13,2302000,53.57
"2010-03-29",60.14,60.43,59.96,60.14,2375500,53.58
"2010-03-30",60.27,60.5,60.04,60.17,2121500,53.61
"2010-03-31",60.06,60.11,59.68,59.71,2548200,53.2
"2010-04-01",59.73,60.3,59.71,60.14,2638300,53.58
"2010-04-05",60.33,60.87,60,60.82,2146100,54.19
"2010-04-06",61.05,61.85,60.75,61.74,3589100,55
"2010-04-07",61.65,61.96,61.5,61.72,3897200,54.99
"2010-04-08",61.6,61.62,60.82,60.98,4471500,54.33
"2010-04-09",61.04,61.41,60.92,61.21,2804500,54.53
"2010-04-12",60.89,61.21,60.26,60.35,4550700,53.77
"2010-04-13",60.22,60.55,59.76,59.89,4191400,53.36
"2010-04-14",59.79,59.87,58.94,59.62,6763100,53.12
"2010-04-15",59.41,59.44,58.9,59.03,5754400,52.59
"2010-04-16",58.96,59.52,58.93,59.19,5443700,52.73
"2010-04-19",59.29,59.53,58.61,59.47,4040700,52.98
"2010-04-20",59.7,59.92,59.33,59.49,3703300,53
"2010-04-21",59.4,59.56,59.04,59.51,3033200,53.02
"2010-04-22",59.23,60.41,59.12,60.22,3929700,53.65
"2010-04-23",60.07,60.48,60,60.2,4017400,53.63
"2010-04-26",60.2,60.3,60.01,60.07,2874600,53.52
"2010-04-27",60.25,60.25,59.11,59.17,3948900,52.72
"2010-04-28",59.3,59.49,58.74,58.85,3462400,52.43
"2010-04-29",59.01,59.45,58.92,59.35,2883800,52.88
"2010-04-30",59.13,59.68,59.02,59.08,4960700,52.63
"2010-05-03",59.03,59.5,58.9,59.31,4051400,52.84
"2010-05-04",58.83,60.37,58.31,59.88,6046200,53.35
"2010-05-05",59.75,60.83,59.72,60.36,6438700,53.96
"2010-05-06",58.95,59.11,55,58.03,11175500,51.88
"2010-05-07",57.86,58.7,56.83,57.31,9286700,51.23
"2010-05-10",58.62,58.99,57.1,57.52,8378900,51.42
"2010-05-11",57.4,58.3,57.33,57.94,5442100,51.8
"2010-05-12",58.06,58.19,57.66,57.88,4151100,51.74
"2010-05-13",57.81,58.49,57.6,57.67,5007700,51.56
"2010-05-14",57.27,58.12,57.21,57.74,4890500,51.62
"2010-05-17",57.82,58.44,57.53,58.35,4129100,52.16
"2010-05-18",58.64,58.99,57.68,57.78,4308800,51.65
"2010-05-19",57.49,58.48,57.49,57.77,4350200,51.64
"2010-05-20",57,57.52,56.55,56.59,6755600,50.59
"2010-05-21",55.93,57.73,55.79,57.44,5966100,51.35
"2010-05-24",57.18,57.41,56.68,56.76,3376800,50.74
"2010-05-25",55.96,56.5,55.39,56.5,6120300,50.51
"2010-05-26",56.6,56.7,55.71,55.98,6146600,50.04
"2010-05-27",57.34,59.26,57.04,58.74,8764500,52.51
"2010-05-28",58.79,58.92,58.02,58.25,3501100,52.07
"2010-06-01",58.18,58.85,57.73,57.98,3200400,51.83
"2010-06-02",58.34,58.98,57.95,58.95,3898900,52.7
"2010-06-03",58.23,59.16,57.3,57.93,7219000,51.79
"2010-06-04",57.45,57.45,56.01,56.17,5499000,50.21
"2010-06-07",56.01,56.62,55.76,55.85,3414800,49.93
"2010-06-08",55.69,56.72,55.55,56.66,3726500,50.65
"2010-06-09",56.68,57.75,56.58,57.4,4926900,51.31
"2010-06-10",57.82,58.06,57.3,57.65,3270300,51.54
"2010-06-11",57.18,57.65,57,57.52,3093000,51.42
"2010-06-14",57.64,57.9,57.3,57.52,2510800,51.42
"2010-06-15",57.93,59.18,57.92,59.16,5099900,52.89
"2010-06-16",58.47,58.89,58.12,58.34,2876900,52.15
"2010-06-17",58.59,58.72,57.99,58.58,2829000,52.37
"2010-06-18",58.5,58.73,58.05,58.21,3657100,52.04
"2010-06-21",58.5,58.7,57.55,57.78,2795600,51.65
"2010-06-22",57.99,58.31,57.54,57.61,2716300,51.5
"2010-06-23",57.59,57.68,57.02,57.44,2541200,51.35
"2010-06-24",57.17,57.45,56,56.22,3772600,50.26
"2010-06-25",56.17,56.86,55.87,56.44,4488900,50.46
"2010-06-28",56.59,57.2,56.22,56.65,3043600,50.64
