"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume","NOV.Adjusted"
"2007-08-13",118.1,120.38,115.07,116.82,5485000,54.8
"2007-08-14",117.6,119.45,115.51,115.62,4822600,54.24
"2007-08-15",115.7,116.7,109.58,109.83,6884600,51.53
"2007-08-16",107.6,109.71,97.81,103.12,13563600,48.38
"2007-08-17",108.25,109.69,103.59,108.65,7841600,50.97
"2007-08-20",108.7,112.6,106.07,111.46,6200800,52.29
"2007-08-21",110.44,113.57,108.61,111.34,6150400,52.23
"2007-08-22",112.5,113.84,111.19,113.48,4287800,53.24
"2007-08-23",114.05,117.55,113.96,116.79,7618600,54.79
"2007-08-24",116.6,121.28,116.14,121,5223800,56.77
"2007-08-27",119.95,121.23,118.1,120.09,4643200,56.34
"2007-08-28",119.59,120.55,116.89,117.58,5637000,55.16
"2007-08-29",119,123.55,117.58,122.76,5369600,57.59
"2007-08-30",121.32,124,121.22,123.34,5028600,57.86
"2007-08-31",125.51,131.73,124.91,128,7785800,60.05
"2007-09-04",128.4,133.97,127.35,132.41,9207800,62.12
"2007-09-05",131.6,132.39,129.05,131.41,6311200,61.65
"2007-09-06",132.01,134.9,132.01,134.13,5393000,62.93
"2007-09-07",131,132.6,128.44,129.89,5993400,60.94
"2007-09-10",129.61,132.3,126.53,130.64,6109800,61.29
"2007-09-11",131.24,137.5,130.03,136.94,7076800,64.24
"2007-09-12",135.98,137.45,135.05,136.13,5490800,63.86
"2007-09-13",136.05,137.08,131.84,133.49,6250600,62.63
"2007-09-14",132,134,130.75,133.61,5383200,62.68
"2007-09-17",133.47,134.61,131.53,132.44,3545800,62.13
"2007-09-18",132.99,135.77,131.17,135.52,6283800,63.58
"2007-09-19",137.02,137.32,135.4,136.22,5464600,63.91
"2007-09-20",136.33,140.46,135.5,140.17,5093800,65.76
"2007-09-21",141.9,145.36,140.17,144.62,7596600,67.85
"2007-09-24",145.09,145.58,140.33,142.68,4719800,66.94
"2007-09-25",140.11,142.5,137.77,142.2,3944800,66.71
"2007-09-26",143.58,147,140.51,146.71,6298800,68.83
"2007-09-27",148.5,149.89,146.38,147.33,5225200,69.12
"2007-09-28",148.45,150.09,143.32,144.5,5831800,67.79
"2007-10-01",72.59,73.93,71.76,73.4,4616300,68.87
"2007-10-02",72.01,73.72,70.63,73.49,4904700,68.95
"2007-10-03",73.5,73.94,71.52,73.19,3643400,68.67
"2007-10-04",73.2,74.78,71.31,74.67,3430700,70.06
"2007-10-05",75.03,77.19,74.2,76.74,4489100,72
"2007-10-08",76.05,76.59,74.12,74.29,3592200,69.7
"2007-10-09",74.99,75.91,74.2,75.75,3154300,71.07
"2007-10-10",75.25,77.74,75.03,77.44,4116000,72.66
"2007-10-11",79.1,81.08,74.01,77.02,6266400,72.27
"2007-10-12",77.58,78.58,76.55,78.41,3522300,73.57
"2007-10-15",80.85,82,78.81,79.28,4556400,74.39
"2007-10-16",79.37,79.51,77.48,78.02,3597700,73.2
"2007-10-17",79.1,79.35,75.5,76.06,4194600,71.37
"2007-10-18",76.05,77.28,74.5,76.83,3596000,72.09
"2007-10-19",75.8,75.9,69.53,69.81,9668200,65.5
"2007-10-22",67.7,71.17,65.39,69.53,8777800,65.24
"2007-10-23",71.27,75.15,69.59,74.77,6109600,70.15
