"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2007-11-27",628.89,632.95,614.42,623,3119500,95.31
"2007-11-28",627,654,627,653.4,4707000,99.96
"2007-11-29",652.61,664.73,648,659,3063000,100.82
"2007-11-30",670,672.49,649.57,658.6,2707500,100.76
"2007-12-03",658,669.9,654.7,660.8,2052500,101.09
"2007-12-04",660.15,687,660.15,670.25,4708000,102.54
"2007-12-05",676.01,699.92,676.01,697.25,4693500,106.67
"2007-12-06",694.22,699.8,689.26,699.8,2797000,107.19
"2007-12-07",699.8,710.82,695.03,707,2402500,108.29
"2007-12-10",705.5,714.48,699,702.5,2653000,107.6
"2007-12-11",704.99,710,674,681.15,3040000,104.33
"2007-12-12",697.84,697.84,678.81,688.17,2399000,105.41
"2007-12-13",683.42,703,673.5,701,3122000,107.37
"2007-12-14",697.74,710.82,693,699.05,2281000,107.08
"2007-12-17",697.41,707.4,689.45,691.5,2062500,105.92
"2007-12-18",697.9,701.09,680.5,692,2499000,106
"2007-12-19",693.5,700.78,685.55,693.5,2037500,106.23
"2007-12-20",699.96,704.52,694.1,701,1852500,107.37
"2007-12-21",704.87,710.75,696.75,710.75,3234000,108.87
"2007-12-24",691.26,701.69,681,694,3002500,106.3
"2007-12-26",692.5,692.5,681.56,690,1775500,105.69
"2007-12-27",692,692,678,678,1303000,103.85
"2007-12-28",686.5,686.5,673,682.5,1377000,104.54
"2007-12-31",680,686,673.2,686,1459000,105.08
"2008-01-02",685.99,686.43,670.55,673.99,2453500,103.24
"2008-01-03",674.07,675.57,638.35,650.35,6381000,99.62
"2008-01-04",645.88,645.88,618.52,621.5,4844000,95.2
"2008-01-07",626.02,628.96,595.05,614.07,5763000,94.06
"2008-01-08",617,624.8,593.75,598,5029000,91.6
"2008-01-09",597.01,603.75,574.28,600.34,6640000,91.96
"2008-01-10",593,617.96,588.37,611.7,4844500,93.7
"2008-01-11",607.28,621.99,599.5,617.67,4440500,94.61
"2008-01-14",622,624,610.58,623.36,2343000,95.48
"2008-01-15",616.75,619.93,596.39,596.75,4472500,91.41
"2008-01-16",591,595.68,567.05,576.76,6415000,88.34
"2008-01-17",578.04,583,541.7,544.73,5913500,83.44
"2008-01-18",545.42,563.2,545,558.4,6660500,85.53
"2008-01-22",535.03,583.69,527.68,581,7037000,88.99
"2008-01-23",569.01,613.81,565,609.99,7050000,93.43
"2008-01-24",608,642.61,607.52,635.14,6591500,97.29
"2008-01-25",635.56,647,628.14,629,5282500,96.35
"2008-01-28",644.1,652.74,608.69,625,8643000,95.73
"2008-01-29",621.11,626.48,609.02,617,3349000,94.51
"2008-01-30",611.5,618.65,593.98,598.25,4215500,91.64
"2008-01-31",590.5,624.88,580,617.4,5260000,94.57
"2008-02-01",620,621.55,602,610.06,3614000,93.45
"2008-02-04",619.21,623,610.01,619,2448000,94.81
"2008-02-05",621.75,624.51,588.77,588.8,6778500,90.19
"2008-02-06",583.49,583.51,475.17,485.25,43380500,74.33
"2008-02-07",512,547.43,510,528.01,23129500,80.88
"2008-02-08",529.76,533.95,513.21,517,7506000,79.19
"2008-02-11",517,530,507.68,521.5,4720500,79.88
"2008-02-12",529,543.67,523.71,530.25,5232500,81.22
"2008-02-13",533.5,538.26,525.79,535.01,3367000,81.95
"2008-02-14",535.01,542.8,527.49,530.95,3474000,81.33
"2008-02-15",530.66,530.66,519.44,526.97,3631000,80.72
"2008-02-19",528.6,533.1,514.6,520,2903500,79.65
"2008-02-20",515,521.5,501.29,521.5,4942500,79.88
"2008-02-21",521.5,525,510.7,516.44,3181000,79.11
"2008-02-22",516,527.64,511.01,525.1,3180500,80.43
"2008-02-25",525.3,534.46,517.78,531,3134000,81.34
