"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"2008-02-05",134.01,137.34,124.53,124.65,3689300,123.89
"2008-02-06",125.74,125.74,114.62,115.9,6960100,115.2
"2008-02-07",122.58,132.65,121.9,130.39,7111000,129.6
"2008-02-08",132.39,133,125.3,127.8,3894800,127.02
"2008-02-11",129.92,132.62,126.23,130.15,2074600,129.36
"2008-02-12",131.56,138.49,130.77,133.56,3294800,132.75
"2008-02-13",135.78,138.21,133.78,137.68,1915000,136.84
"2008-02-14",137.98,138.14,133.02,133.39,1382200,132.58
"2008-02-15",132.62,133.01,129.02,132.36,1304300,131.56
"2008-02-19",134.04,135.43,127.28,127.58,1440400,126.81
"2008-02-20",126.44,134.67,124.05,134.31,2106400,133.49
"2008-02-21",134.37,135.87,131.21,133.56,1658200,132.75
"2008-02-22",133.85,134.5,128.51,134.5,1302600,133.68
"2008-02-25",134.5,139.56,133.2,139.56,1942200,138.71
"2008-02-26",138.44,139.96,134.76,135.51,1770500,134.69
"2008-02-27",134.91,137.32,133.1,134.66,1301300,133.84
"2008-02-28",133.42,135,130.54,133.95,1361300,133.14
"2008-02-29",132.35,134.8,129.87,130.3,1396600,129.51
"2008-03-03",130.31,137.05,130.3,132.93,2086100,132.12
"2008-03-04",133.6,136.7,131.57,135.37,2210300,134.55
"2008-03-05",136.99,144.26,136.01,136.86,4800000,136.03
"2008-03-06",132.77,137.15,131.04,132.44,3201500,131.64
"2008-03-07",130.52,136.33,128.05,131.89,3380500,131.09
"2008-03-10",133.86,133.86,122.18,122.93,3566100,122.18
"2008-03-11",126.15,137.74,124.37,137.29,3059000,136.46
"2008-03-12",135.72,137.49,133.44,133.59,1832700,132.78
"2008-03-13",131.13,139.88,126.5,138.28,3473500,137.44
"2008-03-14",139.58,140,128.84,131.33,2671500,130.53
"2008-03-17",125.19,128.7,110.25,122.41,5190500,121.67
"2008-03-18",126.92,132.75,126.84,132.75,2477100,131.94
"2008-03-19",132.99,132.99,122.1,122.52,2191300,121.78
"2008-03-20",122.93,125.2,118.56,124.85,2672200,124.09
"2008-03-24",124.25,130.93,124.08,127.37,1544400,126.6
"2008-03-25",128.88,133.32,125.94,131.97,1323900,131.17
"2008-03-26",131.01,136.36,128.45,133.84,1720600,133.03
"2008-03-27",135.98,137.62,131.03,131.18,1385500,130.38
"2008-03-28",131.18,133.87,129,129.75,1098400,128.96
"2008-03-31",128.45,131.55,125.02,130.5,1750900,129.71
"2008-04-01",132.61,139.11,132,139.11,1598500,138.27
"2008-04-02",140,150.8,138.5,147.81,3595100,146.91
"2008-04-03",147.21,150.99,143.62,149.25,1469700,148.34
"2008-04-04",149.77,150.74,147,147.45,1369400,146.55
"2008-04-07",149.2,152.41,148.31,149.9,1185600,148.99
"2008-04-08",148.98,152.34,146.67,148.05,1391500,147.15
"2008-04-09",148.15,149.64,144.63,146.38,1318000,145.49
"2008-04-10",145.86,150.5,144.66,150.16,1376800,149.25
"2008-04-11",147.69,151.98,146.56,147.88,1470600,146.98
"2008-04-14",147.88,149.37,146.2,147.25,647400,146.36
"2008-04-15",149.18,150.21,146.1,148.22,939200,147.32
"2008-04-16",149.9,152.17,148.52,152.17,1228300,151.25
"2008-04-17",151.38,158.5,151.18,157.2,2915700,156.25
"2008-04-18",158.49,160.75,156.24,156.67,1668500,155.72
"2008-04-21",157.18,160.92,156.05,159.55,1348100,158.58
"2008-04-22",156.6,159.06,148.49,150.29,2602800,149.38
"2008-04-23",151.01,153.99,149.48,151.47,1077200,150.55
"2008-04-24",151.99,159.19,151.47,158.02,1393700,157.06
"2008-04-25",158.88,161.75,156.13,160.54,1519800,159.56
"2008-04-28",160.92,160.92,153.7,154.53,1584700,153.59
"2008-04-29",155.04,155.35,151,151.75,1203400,150.83
"2008-04-30",152.02,156.99,151,155.15,1241500,154.21
