"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2008-04-17",30.23,30.24,28.86,29.26,3427000,14.63
"2008-04-18",30.16,31.08,30,30.96,5714000,15.48
"2008-04-21",31.12,31.6,30.37,31.42,4840900,15.71
"2008-04-22",30.84,30.89,29.8,30.1,4097100,15.05
"2008-04-23",30.39,31.09,29.87,30.86,3042100,15.43
"2008-04-24",30.69,31.81,30.1,31.38,2777500,15.69
"2008-04-25",31.32,31.61,30.49,31.25,1861400,15.62
"2008-04-28",31.3,31.6,30.98,31.19,2268800,15.6
"2008-04-29",32.07,32.44,31.6,32.12,3886200,16.06
"2008-04-30",32.35,32.84,31.96,32.25,3387700,16.12
"2008-05-01",31.5,32.25,30.67,32.22,4980600,16.11
"2008-05-02",32.77,33.35,32.41,33.06,2901500,16.53
"2008-05-05",33.37,33.44,32.64,33.24,2792000,16.62
"2008-05-06",32.56,34.91,31.83,33.75,8417100,16.88
"2008-05-07",30.76,31.57,30.01,30.21,14817900,15.1
"2008-05-08",30.45,30.6,28.84,29.84,10566000,14.92
"2008-05-09",29.76,30.21,29.01,29.73,5152000,14.86
"2008-05-12",29.74,30.3,29.01,30.17,6531100,15.09
"2008-05-13",30.3,30.32,29.15,29.92,4975500,14.96
"2008-05-14",29.97,30.99,29.69,30.63,4394900,15.31
"2008-05-15",30.48,31.67,29.65,31.63,5847800,15.81
"2008-05-16",31.76,31.89,30.7,31.55,4266100,15.77
"2008-05-19",31.34,32.13,31.34,31.73,4972000,15.86
"2008-05-20",31.39,32,30.44,30.76,4554700,15.38
"2008-05-21",30.88,31.05,29.93,30.11,5232700,15.06
"2008-05-22",30.38,31.12,30.08,31,4121300,15.5
"2008-05-23",30.9,30.98,30.01,30.4,2432100,15.2
"2008-05-27",30.43,31.52,30.41,31.52,3627800,15.76
"2008-05-28",31.5,32.25,31.43,32.21,3477900,16.1
"2008-05-29",32.15,34.5,32.07,33.49,7549300,16.75
"2008-05-30",33.47,35.8,33.47,35.28,8150000,17.64
"2008-06-02",35.33,35.33,33.75,34.52,5347000,17.26
"2008-06-03",34.85,35.52,34.49,34.87,3984000,17.43
"2008-06-04",34.8,36,34.64,35.51,4562400,17.75
"2008-06-05",35.89,36.86,35.89,36.78,6071900,18.39
"2008-06-06",36.37,36.49,34.59,34.77,5927800,17.39
"2008-06-09",34.99,35.54,34.78,35.37,4822700,17.68
"2008-06-10",34.87,35,33.8,34.51,4251700,17.25
"2008-06-11",34.51,35.04,34.11,34.15,4710100,17.08
"2008-06-12",34.64,35.68,34.15,34.57,3501000,17.28
"2008-06-13",35.13,35.81,34.77,35.75,4964800,17.88
"2008-06-16",35.32,35.89,35.03,35.81,3694200,17.91
"2008-06-17",36.04,36.13,35.46,35.73,3544500,17.86
"2008-06-18",35.92,36.24,35.45,35.73,6337100,17.86
"2008-06-19",35.68,37.1,35.66,36.71,4946200,18.35
"2008-06-20",35.31,35.76,34.62,34.97,8454400,17.49
"2008-06-23",35.41,35.65,34.8,35.12,5303600,17.56
"2008-06-24",35,35.23,33.71,34.35,5869000,17.17
"2008-06-25",34.6,34.92,34.1,34.44,4489100,17.22
"2008-06-26",33.98,34.06,32.35,32.51,6822200,16.25
"2008-06-27",32.54,33.23,32.16,32.89,4665200,16.44
"2008-06-30",32.73,32.9,32.16,32.51,4988400,16.25
"2008-07-01",32.27,32.48,31.44,31.94,7901900,15.97
"2008-07-02",31.75,32.5,31.29,31.37,4363400,15.69
"2008-07-03",31.72,32.29,31.33,31.8,2986200,15.9
"2008-07-07",31.68,32.53,30.7,31.33,5121500,15.66
"2008-07-08",31.25,31.65,29.96,31.35,6537800,15.68
"2008-07-09",31.09,32.36,30.05,30.08,9677900,15.04
"2008-07-10",30.11,30.35,29.28,30.25,9728200,15.12
"2008-07-11",28.71,29.04,27.59,28.16,8878000,14.08
"2008-07-14",28.33,28.7,28.03,28.14,6798600,14.07
"2008-07-15",28.01,28.26,26.86,27.71,6390600,13.85
"2008-07-16",27.68,28.44,27.31,28.3,6168000,14.15
"2008-07-17",28.45,29.02,27.92,28.72,3390100,14.36
"2008-07-18",29,29,27.88,28.09,6596600,14.05
"2008-07-21",28.32,28.86,27.75,28,5330000,14
"2008-07-22",27.8,28,27.31,27.79,6799800,13.9
"2008-07-23",27.97,29.09,27.86,28.58,5086800,14.29
"2008-07-24",28.44,28.75,26.6,26.6,6101600,13.3
"2008-07-25",26.89,27.45,26.68,27.07,5681600,13.53
"2008-07-28",27.34,27.67,26.72,26.76,7442100,13.38
"2008-07-29",26.67,28.02,26.67,27.82,7062100,13.91
"2008-07-30",28.09,28.56,27.67,28.2,5805600,14.1
"2008-07-31",27.52,28.39,27,28.07,10593100,14.03
"2008-08-01",28.27,29.61,28.2,29.36,14425300,14.68
"2008-08-04",29.23,29.42,28.61,28.86,4937700,14.43
"2008-08-05",29.24,29.69,28.8,29.65,5659400,14.82
"2008-08-06",29.6,30.38,29.27,30.29,4771300,15.15
"2008-08-07",30.14,30.2,29.54,29.66,5502900,14.83
"2008-08-08",29.84,31.11,29.42,30.76,6150500,15.38
"2008-08-11",30.4,31.69,30.31,31.29,6039600,15.65
"2008-08-12",30.92,31.14,30.54,30.88,3557800,15.44
"2008-08-13",30.7,31.18,30.13,30.35,4722100,15.18
"2008-08-14",30.13,31.17,29.9,31.06,3505600,15.53
"2008-08-15",31.2,31.48,30.52,30.77,3136400,15.39
"2008-08-18",30.94,31.04,29.95,30.36,3440800,15.18
"2008-08-19",30.25,30.36,29.42,29.74,4129400,14.87
"2008-08-20",29.94,30.18,29.25,29.92,3307100,14.96
"2008-08-21",29.63,29.94,29.28,29.91,3400800,14.95
"2008-08-22",29.99,30.43,29.75,30.31,2304100,15.15
"2008-08-25",30.05,30.19,28.68,28.89,4651200,14.44
"2008-08-26",28.9,29.24,28.47,29.04,3418600,14.52
"2008-08-27",29.21,29.91,28.94,29.76,2935500,14.88
"2008-08-28",29.6,30,29.56,29.7,3172500,14.85
"2008-08-29",29.57,29.73,28.79,29.32,2932300,14.66
"2008-09-02",30,30.3,29.18,29.22,4740000,14.61
"2008-09-03",29.18,29.69,28.94,29.54,5019200,14.77
"2008-09-04",29.21,29.54,27.95,28.08,5489900,14.04
"2008-09-05",28.1,28.1,27.22,27.75,5008900,13.88
"2008-09-08",28.64,29.62,28.32,28.95,7584800,14.48
"2008-09-09",29.11,29.19,27.81,27.87,5504900,13.94
"2008-09-10",28.2,28.36,27.61,27.82,4598600,13.91
"2008-09-11",27.27,27.67,26.69,27.07,7194300,13.53
