"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2012-08-09",46.97,47.44,46.66,47.35,2558800,42.69
"2012-08-10",46.97,47.43,46.62,47.28,2195700,42.63
"2012-08-13",47,47.6,46.61,47.36,2081700,42.7
"2012-08-14",47.48,48.15,47.38,47.55,3439400,42.88
"2012-08-15",47.56,47.93,47.16,47.77,2588400,43.07
"2012-08-16",47.97,48.71,47.78,48.52,2076800,43.75
"2012-08-17",48.68,49.32,48.4,49.24,2187300,44.4
"2012-08-20",49.16,49.87,49.1,49.86,2986200,44.96
"2012-08-21",49.96,49.96,48.94,49.06,2687800,44.24
"2012-08-22",48.7,48.93,47.76,48.58,2142200,43.8
"2012-08-23",48.05,48.33,47.25,47.73,2338000,43.04
"2012-08-24",47.83,48.32,47.66,47.9,1938400,43.19
"2012-08-27",46.52,47.4,46.31,47.13,2639400,42.5
"2012-08-28",46.74,48.03,46.61,47.48,2961200,42.81
"2012-08-29",47.47,47.72,46.64,47.29,3057600,42.64
"2012-08-30",48.93,49.04,48.47,48.67,12324900,44.26
"2012-08-31",48.99,49.09,48.61,48.84,4806500,44.41
"2012-09-04",47.8,48.2,46.88,47.01,41142800,42.75
"2012-09-05",47.11,47.53,46.66,46.97,10549500,42.71
"2012-09-06",47.44,49.42,47.2,48.46,5913600,44.07
"2012-09-07",48.64,49.71,48.4,49.46,3160100,44.98
"2012-09-10",49.26,50.02,49.23,49.33,3123500,44.86
"2012-09-11",49.59,50.23,49.17,49.4,2210800,44.92
"2012-09-12",49.49,49.72,48.75,49.61,2819600,45.11
"2012-09-13",49.59,52.35,49.58,51.92,7525900,47.21
"2012-09-14",52.65,53.77,52.18,53.42,6534100,48.58
"2012-09-17",53.15,53.2,51.81,51.98,3217300,47.27
"2012-09-18",51.87,52.09,51.36,51.94,4171600,47.23
"2012-09-19",52.41,53.62,52.22,52.5,4732000,47.74
"2012-09-20",51.88,52.62,50.57,52.52,4663800,47.76
"2012-09-21",52.95,53.21,52.13,52.37,6893900,47.62
"2012-09-24",52.43,52.88,51.57,52.04,2775600,47.32
"2012-09-25",52.52,52.69,50.69,50.8,4550800,46.2
"2012-09-26",50.98,51.18,50.15,50.96,3356800,46.34
"2012-09-27",51.23,52.21,50.89,51.88,2210200,47.18
"2012-09-28",51.46,51.79,50.92,51.66,2527700,46.98
"2012-10-01",52.06,52.75,51.95,52.2,2844100,47.47
"2012-10-02",52.39,52.91,52.02,52.91,3158200,48.12
"2012-10-03",52.99,52.99,52.1,52.34,3184600,47.6
"2012-10-04",52.94,53.37,51.93,52,3639300,47.29
"2012-10-05",52.69,53.18,52.45,52.68,3932200,47.91
"2012-10-08",52.45,52.5,51.99,52.38,1969700,47.63
"2012-10-09",52.41,52.56,51.17,51.22,3021400,46.58
"2012-10-10",51.33,51.46,50.47,50.7,2428500,46.11
"2012-10-11",51.37,51.89,51.31,51.35,2672300,46.7
"2012-10-12",51.25,51.71,50.58,50.86,3602800,46.25
"2012-10-15",50.92,51.48,50.62,51.42,2848400,46.76
"2012-10-16",51.96,55.38,51.96,54.36,9418500,49.43
"2012-10-17",54.79,55.76,54.5,55.74,4689300,50.69
"2012-10-18",55.35,56,54.7,55.23,3071400,50.22
"2012-10-19",55,55.09,54,54.33,3232700,49.41
"2012-10-22",54.31,55.55,53.76,55.47,2880900,50.44
"2012-10-23",54.15,54.27,52.5,53.03,4477200,48.22
"2012-10-24",53.89,54.76,53.07,53.83,4199600,48.95
"2012-10-25",54.33,54.57,52.92,53.4,3619300,48.56
"2012-10-26",51.86,55.63,50.91,53.75,8962500,48.88
"2012-10-31",53.81,54.04,52.7,53.39,4680600,48.55
"2012-11-01",53.54,55.25,53.51,55.05,5695100,50.06
"2012-11-02",53.6,53.75,52.87,53.06,10595600,48.25
"2012-11-05",53.18,53.51,52.74,53.41,3529200,48.57
"2012-11-06",53.69,54.09,53.26,53.82,8930300,48.94
"2012-11-07",53.36,53.36,51.92,52.78,4930200,48
"2012-11-08",52.81,53.14,51.83,51.92,2221000,47.21
"2012-11-09",52.19,52.19,50.7,50.85,5490700,46.24
"2012-11-12",51.02,51.2,50.45,50.65,2926400,46.06
"2012-11-13",49.72,51.01,49.11,50.06,5199300,45.52
"2012-11-14",50.68,50.68,49.04,49.21,5946300,44.75
"2012-11-15",46.18,46.61,44.87,45.41,6339300,44.12
"2012-11-16",45.5,47.04,45.35,46.87,6006500,45.54
"2012-11-19",47.76,48.11,47.44,48,5382700,46.64
"2012-11-20",48,48.1,46.95,47.55,3610000,46.2
"2012-11-21",47.69,48.53,47.5,47.99,2726500,46.63
"2012-11-23",48.4,50.94,48.03,48.62,1914000,47.24
"2012-11-26",48.35,48.6,47.55,48,3504500,46.64
"2012-11-27",47.97,48.15,47.33,47.55,3792200,46.2
"2012-11-28",47.07,48.12,46.86,48.07,2783100,46.7
"2012-11-29",48.2,49.02,48.15,48.74,4104000,47.35
"2012-11-30",49,49.94,48.78,49.73,7392200,48.32
"2012-12-03",49.89,50.23,48.46,48.88,4396200,47.49
"2012-12-04",48.8,49.82,48.73,49.76,4102800,48.35
"2012-12-05",49,51.85,48.77,51.85,19056900,50.38
"2012-12-06",51.85,52.15,51.52,51.9,5978200,50.42
"2012-12-07",52.48,53.86,52.4,53.81,5393100,52.28
"2012-12-10",53.61,54.74,53.16,54.37,4280600,52.82
"2012-12-11",54.56,54.72,53.63,54.05,4627000,52.51
"2012-12-12",54.4,54.63,53.82,54.02,3597400,52.48
"2012-12-13",54.02,54.25,52.81,52.98,2586300,51.47
"2012-12-14",53.01,53.97,52.79,53.79,4282000,52.26
"2012-12-17",54.1,54.77,53.81,54.75,3251100,53.19
"2012-12-18",54.81,55.11,54.55,54.9,3091400,53.34
"2012-12-19",55.12,55.25,54.77,54.85,3289100,53.29
"2012-12-20",54.83,55.57,54.41,55.56,3457600,53.98
"2012-12-21",54.85,55.22,54.12,55.14,6381600,53.57
"2012-12-24",55.5,56.06,55.16,55.86,1752800,54.27
"2012-12-26",56.13,57.05,55.83,56.49,4722300,54.88
"2012-12-27",56.57,56.64,55.19,56.39,2458600,54.79
"2012-12-28",55.91,56.39,55.43,55.51,2363700,53.93
"2012-12-31",55.45,57.16,55.29,57.09,2679300,55.47
"2013-01-02",58.41,59.59,57.94,59.17,4491100,57.49
"2013-01-03",58.42,58.88,57.35,57.64,3561500,56
"2013-01-04",58.01,58.65,57.89,58.41,2963600,56.75
"2013-01-07",58.01,59.15,57.77,59.14,2329800,57.46
"2013-01-08",58.93,59.8,58.28,59.74,3778700,58.04
"2013-01-09",60.1,60.17,59.43,59.6,2962700,57.91
"2013-01-10",60.19,60.74,59.55,60.61,3617100,58.89
"2013-01-11",60.72,60.96,60.2,60.91,1993300,59.18
"2013-01-14",60.78,61.42,60.73,61.2,3198300,59.46
"2013-01-15",60.93,61.65,60.88,61.34,2181400,59.6
"2013-01-16",61.02,61.07,60.26,60.52,2614700,58.8
"2013-01-17",61.16,62.22,61.02,62.13,3670600,60.36
"2013-01-18",62.05,62.59,61.53,62.59,2672400,60.81
"2013-01-22",62.6,62.7,61.46,61.47,3583900,59.72
"2013-01-23",61.25,62.16,61.16,62.11,4122200,60.34
"2013-01-24",62.26,62.82,62.21,62.52,2664000,60.74
"2013-01-25",62.91,62.97,62.18,62.75,2332800,60.97
"2013-01-28",62.67,62.69,60.86,61.24,5244700,59.5
"2013-01-29",61.5,63.55,61.5,63.26,5482900,61.46
"2013-01-30",63.22,63.55,62.76,63.02,2485300,61.23
"2013-01-31",62.56,64.2,62.2,63.42,4498800,61.62
"2013-02-01",61.9,63.22,60.32,61.37,8406600,59.63
"2013-02-04",61.14,62.43,61.04,61.09,4986900,59.35
"2013-02-05",61.71,62.27,61.22,61.25,3935300,59.51
"2013-02-06",61.29,61.49,60.46,61.06,3376400,59.32
"2013-02-07",61.2,61.75,60.37,61.42,2842100,59.67
"2013-02-08",61.56,62.23,60.94,62.11,3317300,60.34
"2013-02-11",61.82,61.82,60.29,60.54,3176500,58.82
"2013-02-12",60.62,60.89,60.12,60.51,2779700,58.79
"2013-02-13",61.71,63.3,61.6,62.3,3862200,60.53
"2013-02-14",61.57,61.9,61.06,61.17,9634700,59.43
"2013-02-15",61.19,61.29,59.88,60.4,7182900,58.68
"2013-02-19",60.84,61.18,60.38,61.18,3519300,59.44
"2013-02-20",61.15,61.4,60.17,60.26,8481500,58.55
"2013-02-21",59.04,59.31,56.91,57.68,1058600,56.41
"2013-02-22",58.3,59.32,57.97,59.32,3972500,58.02
"2013-02-25",59.38,59.68,56.97,56.98,4838100,55.73
"2013-02-26",57.46,57.72,55.94,56.84,7557200,55.59
"2013-02-27",57.01,58.44,56.5,58.2,5336900,56.92
"2013-02-28",58.38,59.46,58.17,58.62,3648900,57.33
"2013-03-01",58.19,60.64,57.43,59.69,5650000,58.38
"2013-03-04",59.47,60.44,58.75,60.44,3376500,59.11
"2013-03-05",60.54,61.42,60.53,60.77,4684700,59.44
"2013-03-06",61.9,62.79,61.41,62.52,4936700,61.15
"2013-03-07",62.72,62.73,62.08,62.13,2085300,60.77
"2013-03-08",62.79,63.85,62.59,63.6,3132600,62.2
"2013-03-11",63.32,63.83,62.2,63.73,3089700,62.33
"2013-03-12",63.77,64.4,63.62,64.08,4514200,62.67
"2013-03-13",64.09,64.52,63.19,63.3,4699200,61.91
"2013-03-14",63.94,65.35,63.86,64.77,4700700,63.35
"2013-03-15",64.44,65.69,63.87,64.01,5085600,62.61
"2013-03-18",63.39,64.06,63.08,63.75,3358000,62.35
"2013-03-19",63.73,64.46,62.85,64.01,5836900,62.61
"2013-03-20",64.52,65.67,64.46,65.42,4508000,63.98
"2013-03-21",65.01,65.69,64.23,64.41,3722900,63
"2013-03-22",64.66,64.93,64.25,64.5,2185500,63.09
