"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"2010-07-08",79.71,79.71,78.52,78.88,1187700,76.61
"2010-07-09",78.73,79.43,78.65,79.1,581800,76.83
"2010-07-12",78.75,79.1,78.36,78.69,355000,76.43
"2010-07-13",79.04,80,79,79.66,655200,77.37
"2010-07-14",79.52,79.66,78.78,79.32,530100,77.04
"2010-07-15",79.14,79.63,78.38,78.82,832000,76.55
"2010-07-16",78.8,78.95,77.43,77.58,794400,75.35
"2010-07-19",77.67,78.03,77.02,77.2,747500,74.98
"2010-07-20",76.58,77.99,76.16,77.91,853400,75.67
"2010-07-21",77.74,77.77,76.02,76.18,1159800,73.99
"2010-07-22",76.78,77.6,76.31,77.35,1243400,75.3
"2010-07-23",79.88,80.85,77.96,78.72,1479000,76.64
"2010-07-26",78.74,79.29,78.06,78.55,861900,76.47
"2010-07-27",78.88,79.02,77.92,78.92,661300,76.83
"2010-07-28",78.74,78.84,77.69,78.45,835700,76.37
"2010-07-29",78.66,78.66,77.04,77.8,824400,75.74
"2010-07-30",77.19,78.68,76.9,78.53,791900,76.45
"2010-08-02",79.72,80.69,79.37,80.23,744600,78.11
"2010-08-03",80.25,81.03,80.11,80.55,656200,78.42
"2010-08-04",80.53,81.3,80.24,81.15,613400,79
"2010-08-05",81.1,81.1,80.57,80.93,433800,78.79
"2010-08-06",80.37,80.8,79.33,80.7,500500,78.56
"2010-08-09",80.98,81.14,80.4,80.8,609700,78.66
"2010-08-10",80.2,81.18,79.99,81.01,482000,78.87
"2010-08-11",80.14,80.14,79.14,79.4,585000,77.3
"2010-08-12",78.6,80.03,78.6,79.65,533300,77.54
"2010-08-13",79.51,80.23,79.12,79.92,458300,77.81
"2010-08-16",79.53,79.67,78.8,79.44,494500,77.34
"2010-08-17",79.91,81.03,79.85,80.77,493500,78.63
"2010-08-18",80.62,81.34,80.04,80.77,407400,78.63
"2010-08-19",80.45,80.53,78.94,79.22,520900,77.12
