"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2008-03-18",82.3,86.01,81.1,85.47,1683700,72.71
"2008-03-19",86.06,87.31,85.25,85.45,1804700,72.69
"2008-03-20",85.45,89.09,84.31,88.75,1443200,75.5
"2008-03-24",89,90.57,87.9,88.38,1461200,75.19
"2008-03-25",88.8,89.04,86.65,87.67,861700,74.58
"2008-03-26",87.66,88.76,85.95,86.25,1235900,73.37
"2008-03-27",86.9,87.27,85.43,85.49,960600,72.73
"2008-03-28",86,86.59,85.2,85.4,574900,72.65
"2008-03-31",85.15,87.33,84.21,86.78,886800,73.82
"2008-04-01",87.01,91.86,87.01,91.28,2002700,77.65
"2008-04-02",92,92.59,91,91.32,1442900,77.69
"2008-04-03",90.32,91.98,89.71,91.56,1009700,77.89
"2008-04-04",91.95,92.2,90.03,91.21,849300,77.59
"2008-04-07",91.8,91.86,89.7,89.9,951200,76.48
"2008-04-08",89.22,90.29,88.8,89.49,1154000,76.13
"2008-04-09",89.36,89.79,86.75,87.05,1050000,74.05
"2008-04-10",86.4,86.84,84.52,85.21,1887000,72.49
"2008-04-11",81.98,83.5,81.75,82.73,2854300,70.38
"2008-04-14",82.86,82.86,80.64,81.14,1927500,69.03
"2008-04-15",81.5,82.11,79.41,80.17,2264800,68.2
"2008-04-16",80.68,81.39,78,80.87,3693600,68.8
"2008-04-17",80.4,81.76,80.08,81.44,3368900,69.28
"2008-04-18",82.34,83.35,80.94,82.01,2969700,69.77
"2008-04-21",82.01,83.01,81.41,82.97,930100,70.58
"2008-04-22",82.3,82.59,79.99,80.84,1083700,68.77
"2008-04-23",80.82,83.3,80.82,82.21,1765000,69.94
"2008-04-24",74.38,75.77,73.2,73.89,6668700,62.86
"2008-04-25",74.14,76.66,73.7,76.4,2556600,64.99
"2008-04-28",76.75,76.83,74.25,75.27,1460300,64.03
"2008-04-29",75.32,75.34,72.71,74.45,1502000,63.34
"2008-04-30",74.75,74.75,72.48,72.78,1214700,61.91
"2008-05-01",72.4,75.29,72.05,74.98,956200,63.79
"2008-05-02",75.99,76.75,74.17,75.6,1408900,64.31
"2008-05-05",75.45,75.45,73.63,73.68,1424500,62.68
"2008-05-06",73.7,74.87,72.78,73.78,1245700,62.77
"2008-05-07",74.32,75.29,72.97,73.2,1183800,62.27
"2008-05-08",73.56,74,71.35,71.83,1385300,61.11
"2008-05-09",71.76,73.05,71.12,72.43,815200,61.62
"2008-05-12",72.25,74.88,72.25,74.77,1070900,63.61
"2008-05-13",74.95,75.85,74.35,74.9,978600,63.72
"2008-05-14",75.21,77.5,74.88,76.69,886400,65.24
"2008-05-15",77.87,80.2,74.83,75.89,2623400,64.56
"2008-05-16",75.73,76.55,73.91,74.87,1520300,63.69
"2008-05-19",75.29,76.29,74.07,74.43,966700,63.32
"2008-05-20",74.13,74.13,72.29,73.22,1258800,62.29
"2008-05-21",73.26,73.3,71.91,72.15,1476800,61.74
"2008-05-22",72.46,73.21,71.76,72.39,701500,61.95
"2008-05-23",72.56,72.56,70.94,71.77,816100,61.42
"2008-05-27",72.25,73.08,71.42,72.9,658700,62.38
"2008-05-28",73.19,73.93,71.69,72.11,1068600,61.71
"2008-05-29",72.34,74.86,71.79,74.34,1099800,63.62
"2008-05-30",74.39,74.58,73.24,73.68,749000,63.05
"2008-06-02",73.25,73.44,71.11,71.39,1273600,61.09
"2008-06-03",71.56,71.66,69.82,70.75,755700,60.54
"2008-06-04",70.69,71.44,70,70.56,574500,60.38
"2008-06-05",71.04,71.65,69.95,71.01,836500,60.77
"2008-06-06",70.29,70.34,68.7,68.74,1415000,58.82
"2008-06-09",69.11,69.96,68.11,68.42,1587400,58.55
"2008-06-10",67.67,69.53,67.57,69.12,1121500,59.15
"2008-06-11",68.56,68.66,65.11,65.32,1674000,55.9
"2008-06-12",65.5,67,65.5,66.14,1022800,56.6
"2008-06-13",66.4,68.63,65.76,68.52,1504900,58.64
"2008-06-16",68,69.12,67.27,68.42,1520700,58.55
"2008-06-17",68.4,68.4,65.79,66.03,1512500,56.5
"2008-06-18",65.6,65.89,64.58,65,1627400,55.62
"2008-06-19",65,66.97,64.58,66.9,1219300,57.25
"2008-06-20",66.8,67.2,65.55,66,1471100,56.48
"2008-06-23",66.52,66.52,64.85,65.04,1206600,55.66
"2008-06-24",64.92,66.95,64.75,65.26,1806900,55.85
"2008-06-25",65.4,66.8,65.17,65.58,1044300,56.12
"2008-06-26",65,67.18,64.9,66.25,2132600,56.69
"2008-06-27",66.25,66.25,63.14,63.77,2120000,54.57
"2008-06-30",63.44,63.77,61.73,61.73,1240300,52.82
"2008-07-01",60.52,61.98,60.01,61.07,1724100,52.26
"2008-07-02",61.24,62.22,60.61,60.86,1400700,52.08
"2008-07-03",61.44,63.23,60,62.69,1094800,53.65
"2008-07-07",63.32,63.83,61.76,62.47,1597600,53.46
"2008-07-08",62.54,64.79,61.3,64.59,1090600,55.27
"2008-07-09",64.43,64.95,63.14,63.14,1514100,54.03
"2008-07-10",63.27,63.27,61.13,62.2,1565500,53.23
"2008-07-11",61.41,62,59.05,62,2163900,53.06
"2008-07-14",62.44,63.25,60.72,60.83,1194200,52.05
"2008-07-15",60.05,62.47,58.22,61.14,1546100,52.32
"2008-07-16",61.12,65.96,60.32,65.29,1436800,55.87
"2008-07-17",63.71,68.23,63.25,67.65,2742500,57.89
"2008-07-18",67.28,69.3,67.16,68.5,1621100,58.62
"2008-07-21",68.36,69.9,67.71,68.12,1183800,58.29
"2008-07-22",67.19,69.2,65.55,68.15,2437700,58.32
"2008-07-23",73.71,77.72,71.83,76.69,6195900,65.63
"2008-07-24",76.87,76.87,72.55,73.17,2546000,62.61
"2008-07-25",73.88,74.8,72.51,73.11,1047200,62.56
"2008-07-28",73.05,74.95,72.6,72.6,1052900,62.13
"2008-07-29",73.6,76.75,72.59,76.48,2291200,65.45
"2008-07-30",76.87,77.78,75.84,76.3,1850600,65.29
"2008-07-31",74.72,76.8,74.72,75.7,1798100,64.78
"2008-08-01",75.47,76.83,73.95,76.26,1084000,65.26
"2008-08-04",76,76,73.5,74.65,1308800,63.88
"2008-08-05",75.92,80.2,75.35,80.15,2216700,68.59
"2008-08-06",79.63,79.98,77.21,78.84,1359800,67.47
"2008-08-07",77.96,78.3,75.17,75.7,1227300,64.78
"2008-08-08",75.72,79.41,75.72,79,1109400,67.6
"2008-08-11",78.79,86.26,78.77,82.83,2808200,70.88
"2008-08-12",83.01,84.98,80.53,80.59,2024600,68.96
"2008-08-13",80.26,82.76,79.33,81.79,1392400,69.99
"2008-08-14",80.71,84.29,80.34,83.14,1180400,71.15
"2008-08-15",83.15,85.22,81.69,84.03,1245700,71.91
"2008-08-18",84.49,84.92,81.2,81.66,831800,69.88
"2008-08-19",81.28,81.92,79.57,79.75,1423500,68.25
"2008-08-20",80.49,81,79.73,80.29,1418000,68.71
"2008-08-21",79.18,80.95,79,80.25,1149600,68.67
"2008-08-22",81.24,82.32,80.54,81.41,1149700,69.67
"2008-08-25",80.38,81.71,79.41,79.58,1289700,68.1
"2008-08-26",79.5,80.12,78.33,79.25,759200,67.82
"2008-08-27",79.34,80.71,78.45,80.35,1170700,69.13
"2008-08-28",80.69,81.69,79.48,81.49,974700,70.11
"2008-08-29",80.87,82.4,80.52,81.36,903700,70
"2008-09-02",82.72,86.17,82.71,84.36,1739800,72.58
"2008-09-03",84.03,85.94,82.51,84.08,1252800,72.34
"2008-09-04",83.05,83.29,80.24,80.24,1732400,69.04
"2008-09-05",79.7,82.12,78.25,82.01,1680400,70.56
"2008-09-08",83.7,89.93,83.7,89.48,3580600,76.99
"2008-09-09",88.95,90.16,83.4,83.99,2764500,72.27
"2008-09-10",84.58,88.02,84.15,86.9,1797300,74.77
"2008-09-11",85.77,88.37,84.4,88,1880900,75.72
"2008-09-12",87.49,88.06,85.91,87.56,1271700,75.34
"2008-09-15",85.26,88.86,84.97,86.13,1669500,74.11
"2008-09-16",84.42,90.87,82.35,88.12,3065300,75.82
"2008-09-17",86.68,89.9,83.86,84.07,2850400,72.33
"2008-09-18",86.05,87.25,79.23,86,4483000,73.99
"2008-09-19",88.89,91.87,86.81,90.49,2869400,77.86
"2008-09-22",89.37,89.4,83.82,84.13,1523800,72.39
"2008-09-23",84.2,85.83,82,83.22,1667300,71.6
"2008-09-24",82.81,84.55,81.77,82.79,1241600,71.23
"2008-09-25",83.43,84.37,81.69,82.95,1633500,71.37
"2008-09-26",81.8,84.96,81.18,84.36,1190800,72.58
"2008-09-29",82.75,83.94,78,82.57,2347200,71.04
"2008-09-30",84,84,77.52,79.29,2093700,68.22
