"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2013-05-21",66.1,66.71,64.89,65.42,4505200,64.34
"2013-05-22",65.3,66.62,64.8,65.39,4482700,64.31
"2013-05-23",64.44,65.56,63.9,65.25,2380300,64.18
"2013-05-24",64.77,65.5,63.8,65.47,2518400,64.39
"2013-05-28",66.39,66.98,65.92,66.52,2792000,65.43
"2013-05-29",66.21,67.34,65.65,66.84,3135200,65.74
"2013-05-30",66.35,67.11,65.68,66.77,2896400,65.67
"2013-05-31",66.64,67.89,66.28,66.57,3506400,65.47
"2013-06-03",67.04,67.09,64.28,66.08,4022900,64.99
"2013-06-04",65.8,66.18,64.3,65.18,2890200,64.11
"2013-06-05",64.94,65.35,63.53,63.61,3064900,62.56
"2013-06-06",63.68,65.15,63.35,65,2637300,63.93
"2013-06-07",65.44,66.2,65.18,65.87,2774600,64.79
"2013-06-10",65.93,66.39,65.01,65.11,2372500,64.04
"2013-06-11",64.05,64.73,63.7,63.96,3202200,62.91
"2013-06-12",64.88,65.21,63.18,63.31,3967600,62.27
"2013-06-13",63.09,64.82,62.37,64.51,3336300,63.45
"2013-06-14",64.71,64.97,63.77,63.81,1833900,62.76
"2013-06-17",64.2,64.69,63.98,64.26,3341200,63.2
"2013-06-18",64.48,65,64.25,64.39,2336900,63.33
"2013-06-19",64.27,64.87,63.51,63.63,3341500,62.58
"2013-06-20",62.58,62.69,60.06,60.39,5087000,59.4
"2013-06-21",61.02,61.23,58.06,59.25,6354700,58.27
"2013-06-24",58.46,58.77,56.84,57.19,4938400,56.25
"2013-06-25",58.29,59.71,58.29,59.41,3453600,58.43
"2013-06-26",60.1,60.96,59.56,59.72,2706600,58.74
"2013-06-27",60.32,60.41,58.45,59.22,3883300,58.25
"2013-06-28",59.14,59.75,58.77,58.91,3573800,57.94
"2013-07-01",59.24,60.24,58.67,58.9,3486700,57.93
"2013-07-02",58.85,59.21,56.61,57.08,4998500,56.14
"2013-07-03",56.75,57.71,54.8,57.68,6190900,56.73
"2013-07-05",57.84,57.89,55.41,57.24,3653200,56.3
"2013-07-08",57.71,59.17,57.64,58.75,3067800,57.78
"2013-07-09",59.02,59.37,58.41,58.51,3271200,57.55
"2013-07-10",58.41,58.63,55.94,56.09,5874000,55.17
"2013-07-11",57.05,57.9,56.02,57.76,5355200,56.81
"2013-07-12",56.9,59.64,56.9,59.09,6108800,58.12
"2013-07-15",59.45,59.85,58.78,59.23,4202400,58.26
"2013-07-16",59.21,59.42,57.15,57.64,6289800,56.69
"2013-07-17",57.82,58.42,57.1,58.04,3527400,57.08
"2013-07-18",58.19,58.28,56.71,56.92,4328100,55.98
"2013-07-19",57.44,57.83,56.72,57.49,3960500,56.54
"2013-07-22",57.88,58.45,57.18,57.96,4093500,57.01
"2013-07-23",58.47,59.71,58.35,59.49,3938200,58.51
"2013-07-24",59.65,59.65,57.7,58.84,4041900,57.87
"2013-07-25",58.68,59.7,58.24,59.42,4551000,58.44
"2013-07-26",59.25,59.84,58.71,59,2603600,58.03
"2013-07-29",59,59.29,58.57,58.96,852400,57.99
"2013-07-30",59.05,59.25,57.91,58.47,4076700,57.51
"2013-07-31",57.32,61.97,57.13,61.5,8186700,60.49
"2013-08-01",61.87,61.91,60.32,60.52,3918500,59.52
"2013-08-02",60.13,60.13,58.07,58.41,5612800,57.45
"2013-08-05",58.28,58.3,57.3,57.8,4125100,56.85
"2013-08-06",57.64,59.15,57.64,58.31,4863300,57.35
"2013-08-07",58.24,58.69,57.56,57.96,3824100,57.01
"2013-08-08",58.02,59.36,57.9,59,3254800,58.03
"2013-08-09",59,59.31,58.57,58.92,3178500,57.95
"2013-08-12",58.44,58.98,57.72,58.17,3295100,57.21
