"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2008-05-13",92.65,93.25,92.2,92.91,1890700,79.74
"2008-05-14",93.25,94.26,92.91,93.24,2248200,80.03
"2008-05-15",93.01,93.78,92.31,93.23,1680200,80.02
"2008-05-16",93.23,93.32,91.34,92.93,2270300,79.76
"2008-05-19",92.78,95.13,92.75,94.6,2074600,81.19
"2008-05-20",93.9,94.6,93.35,93.72,1538300,80.44
"2008-05-21",93.74,94.39,91.38,91.64,1866800,78.65
"2008-05-22",92,92.21,91.11,91.49,1140400,78.53
"2008-05-23",91,91.31,90.25,90.37,1119800,77.56
"2008-05-27",90.58,90.9,89.85,90.55,1074500,77.72
"2008-05-28",90.6,92.19,90.6,92.1,1480400,79.05
"2008-05-29",91.76,92.56,90.63,91.85,1888600,78.83
"2008-05-30",92,92.89,91.36,92.15,1683100,79.09
"2008-06-02",91.75,92.46,90.74,91.33,1774600,78.39
"2008-06-03",91.47,92.06,89.21,89.83,1937200,77.1
"2008-06-04",89.75,90.1,88.32,88.71,1801300,76.14
"2008-06-05",88.71,89.72,88.03,89.64,2238600,76.94
"2008-06-06",89.07,89.33,86.51,86.65,2326600,74.37
"2008-06-09",86.65,86.98,85.25,86.13,2939400,73.92
"2008-06-10",85.4,86.64,85.4,85.99,2120100,73.8
"2008-06-11",85.5,86.31,84.9,85.33,2201300,73.24
"2008-06-12",85.97,86.86,85.43,85.71,1817500,73.56
"2008-06-13",86.1,87.37,85.88,86.45,1324900,74.2
"2008-06-16",86,86.89,85.71,86.1,1795100,73.9
"2008-06-17",86.37,86.37,85.28,85.35,1570400,73.26
"2008-06-18",85.55,87.25,84.72,85.48,1662900,73.37
"2008-06-19",85.38,87.6,85.05,87.59,1965600,75.18
"2008-06-20",87.45,87.58,84.95,85.5,2804200,73.38
"2008-06-23",86.02,87.57,85.7,87.25,1953500,74.89
"2008-06-24",87.35,87.75,86.04,86.81,1738500,74.51
"2008-06-25",87.37,88.19,85.83,86.05,2465800,73.86
"2008-06-26",85.68,86,82.92,82.94,3306700,71.19
"2008-06-27",83.07,83.77,82.5,83.28,2827000,71.48
"2008-06-30",83.29,85.04,82.61,84.2,3045800,72.27
"2008-07-01",83.08,84.07,82.51,83.61,2323100,72.06
"2008-07-02",84.07,84.4,81.82,81.86,1575500,70.55
"2008-07-03",82.97,83.71,82.1,83.22,1248100,71.73
"2008-07-07",83.41,83.94,81.52,81.79,2758200,70.49
"2008-07-08",81.32,83.64,81.13,83.64,2559100,72.09
"2008-07-09",83.67,84.14,81.86,81.87,2318600,70.56
"2008-07-10",81.63,82.88,80.53,81.69,3265700,70.41
"2008-07-11",80.86,81.86,80.4,81.05,1988400,69.86
"2008-07-14",81.5,82.41,81,81.69,1806200,70.41
"2008-07-15",81.44,81.94,80.49,81.54,2788800,70.28
"2008-07-16",81.29,82.51,80.25,82.17,1648800,70.82
"2008-07-17",82.44,82.44,80.44,81.21,2833200,69.99
"2008-07-18",81.28,82.24,81,82.07,1994100,70.73
"2008-07-21",82.24,82.24,80.58,82.02,1530500,70.69
"2008-07-22",81.99,83.61,81.71,83.45,1995200,71.92
"2008-07-23",85.07,89.41,83.68,89.27,5949600,76.94
"2008-07-24",88.9,90.16,86.4,87.06,3441000,75.04
"2008-07-25",87.86,89.35,87.41,89.19,2151400,76.87
"2008-07-28",88.57,89.69,87.81,87.91,2277500,75.77
"2008-07-29",87.9,90.51,87.6,89.94,2617700,77.52
"2008-07-30",90.22,90.3,88.71,90,2459400,77.57
"2008-07-31",89.49,91.73,88.92,89.14,2445000,76.83
"2008-08-01",89,90.09,87.97,89.58,2103800,77.21
"2008-08-04",89.31,90.06,88.52,89.07,1339800,76.77
"2008-08-05",89.94,90.83,89.05,90.79,1965200,78.25
"2008-08-06",90.64,91.35,90,90.98,1562700,78.41
"2008-08-07",90.5,90.85,89.68,90.27,1712100,77.8
"2008-08-08",90,93.23,89.97,92.81,2489400,79.99
"2008-08-11",92.46,94.31,92.15,93.92,2239300,80.95
"2008-08-12",94.08,94.4,93.16,94.25,2665800,81.23
"2008-08-13",93.19,94.04,91.88,93.46,2641600,80.55
"2008-08-14",91.19,93.23,89.61,92.46,3920700,79.69
"2008-08-15",91.01,94.19,91.01,93.41,2659200,80.51
"2008-08-18",93.82,93.82,91.63,92.24,1852400,79.5
"2008-08-19",91.76,93.2,90.97,91.99,2958700,79.28
"2008-08-20",92.36,92.69,90.47,91.26,2244000,78.65
"2008-08-21",90.62,91.95,90.09,91.77,2642000,79.09
"2008-08-22",92.08,92.2,90.71,92,2157900,79.29
"2008-08-25",91.69,92.29,90.34,91.12,2241600,78.53
"2008-08-26",90.92,92.32,90.19,92.21,1572600,79.47
"2008-08-27",92.19,92.74,90.82,92.31,1383500,79.56
"2008-08-28",92.55,94.41,92.26,94.01,2107300,81.03
"2008-08-29",93.86,94.06,92.24,92.3,1696600,79.55
"2008-09-02",93.03,93.95,92.3,92.56,2072500,79.78
"2008-09-03",92.26,93.06,90.44,91.17,2441700,78.58
"2008-09-04",90.28,90.55,83.98,85.29,7363700,73.51
"2008-09-05",85.7,86.54,84.87,85.64,2891000,73.81
"2008-09-08",87.48,88.06,85.27,86.21,3860000,74.3
"2008-09-09",86.2,86.99,84.51,84.55,3643100,72.87
"2008-09-10",85,85.56,82.84,83.02,4442500,71.55
"2008-09-11",82.7,84.84,82.58,84.77,4227800,73.06
"2008-09-12",84,85.55,83.56,84.93,2286000,73.2
"2008-09-15",83.27,85.01,83.01,83.91,3728000,72.32
"2008-09-16",82.69,85.69,82.48,85.09,3858000,73.34
"2008-09-17",84.5,84.55,82,82.28,3333200,70.92
"2008-09-18",82.95,84.45,79.35,83.84,4890400,72.26
"2008-09-19",84.13,86.38,81.39,82.39,4054500,71.01
"2008-09-22",82.87,82.87,80.72,81.26,2560900,70.04
"2008-09-23",81.34,81.63,79.66,79.91,1969500,68.87
"2008-09-24",79.28,79.8,76.75,77.73,4669000,66.99
