"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume","WAT.Adjusted"
"2010-06-07",66.54,67.43,65.94,66.33,1189800,66.33
"2010-06-08",66.54,66.76,65.18,66.18,1008700,66.18
"2010-06-09",66.41,68.55,66.33,66.86,1411000,66.86
"2010-06-10",67.82,68.89,67.25,68.74,1081300,68.74
"2010-06-11",68.15,69.48,67.99,68.91,1006400,68.91
"2010-06-14",69.02,69.99,68.69,68.85,1372600,68.85
"2010-06-15",69.11,70.35,69.11,70.32,721500,70.32
"2010-06-16",69.94,71.23,69.8,70.91,659700,70.91
"2010-06-17",71.44,71.91,70.55,71.81,941300,71.81
"2010-06-18",71.73,71.99,71.17,71.71,962200,71.71
"2010-06-21",72.47,72.99,70.99,71.39,532500,71.39
"2010-06-22",71.68,72.24,71,71.09,1225900,71.09
"2010-06-23",71.25,71.25,69.5,69.94,1306400,69.94
"2010-06-24",69.65,69.74,68.27,68.41,762500,68.41
"2010-06-25",68.58,69.61,68.31,69.15,928200,69.15
"2010-06-28",69.36,69.57,68.27,68.76,476900,68.76
"2010-06-29",67.8,67.84,65.37,65.49,2005200,65.49
"2010-06-30",65.36,66.39,64.6,64.7,1330000,64.7
"2010-07-01",64.72,64.72,62.4,63.56,1597400,63.56
"2010-07-02",64.09,64.09,62.69,63.11,791500,63.11
"2010-07-06",63.89,64.9,63.35,64.03,1015700,64.03
"2010-07-07",64,64,61.99,63.31,1715700,63.31
"2010-07-08",63.7,64.14,63.02,64.09,1431600,64.09
"2010-07-09",63.65,64.43,63.65,64.4,754900,64.4
"2010-07-12",64.09,64.11,63.45,63.81,594300,63.81
"2010-07-13",64.12,65.2,64.12,64.93,603400,64.93
"2010-07-14",64.61,64.95,64.15,64.73,582400,64.73
"2010-07-15",64.68,65.23,64.01,65.07,609100,65.07
"2010-07-16",64.61,64.62,62.87,63.02,689200,63.02
"2010-07-19",63.3,63.79,62.96,63.5,449400,63.5
"2010-07-20",62.68,64.05,62.29,63.99,599200,63.99
"2010-07-21",64.16,64.34,62.61,62.89,579500,62.89
"2010-07-22",63.56,64.89,63.46,64.49,854400,64.49
"2010-07-23",64.05,65.01,63.94,64.59,733200,64.59
"2010-07-26",64.66,65.96,64.6,65.96,681800,65.96
"2010-07-27",65.5,65.74,62.64,62.74,1867900,62.74
"2010-07-28",64.01,66.89,64,65.66,2083600,65.66
"2010-07-29",66.4,67.5,63.39,64.78,1746700,64.78
"2010-07-30",64.13,64.83,63.32,64.16,854000,64.16
"2010-08-02",64.8,66.12,64.8,65.56,625200,65.56
"2010-08-03",65.45,66.37,65.12,66.01,753400,66.01
"2010-08-04",66.24,67.01,66,66.84,526400,66.84
"2010-08-05",66.33,66.65,66.13,66.36,383800,66.36
"2010-08-06",65.95,66.49,65.14,66.42,853700,66.42
"2010-08-09",66.76,66.94,66.29,66.85,453000,66.85
"2010-08-10",65.87,66.98,65.34,66.37,728900,66.37
"2010-08-11",65.32,65.34,64.43,64.68,920500,64.68
"2010-08-12",63.5,63.94,62.83,63.06,1782300,63.06
"2010-08-13",62.84,63.32,62.35,62.39,1145900,62.39
"2010-08-16",62,62.36,61.46,61.95,1282900,61.95
"2010-08-17",62.56,64.79,62.56,64.43,955800,64.43
"2010-08-18",64.29,64.86,63.44,64.52,583800,64.52
"2010-08-19",64.1,64.38,62.43,62.53,835100,62.53
"2010-08-20",61.99,62.73,61.44,62.68,927100,62.68
"2010-08-23",62.72,63.23,62.32,62.67,562000,62.67
"2010-08-24",61.7,62.3,60.65,61.03,1580300,61.03
"2010-08-25",60.82,62.16,60.01,61.85,863800,61.85
"2010-08-26",62.13,62.43,61.07,61.28,967100,61.28
"2010-08-27",61.47,62.19,60.49,62.15,719500,62.15
"2010-08-30",61.57,61.94,60.88,60.88,534500,60.88
"2010-08-31",60.54,61.1,60.01,60.52,838700,60.52
"2010-09-01",61.38,63.36,61.14,62.96,836400,62.96
"2010-09-02",63.3,63.78,62.88,63.69,663300,63.69
"2010-09-03",64.4,64.79,64.13,64.78,667000,64.78
"2010-09-07",64.36,64.97,64.06,64.2,670100,64.2
"2010-09-08",64.34,64.93,64.13,64.42,682800,64.42
"2010-09-09",65.03,65.83,64.9,65.25,689100,65.25
"2010-09-10",65.26,66.22,65.13,65.97,630400,65.97
"2010-09-13",66.38,67.39,66.17,67.05,666000,67.05
"2010-09-14",67.39,69.21,67.04,67.7,1304500,67.7
"2010-09-15",67.6,68.49,67.55,68.33,918400,68.33
"2010-09-16",68.06,68.68,67.71,68.49,699900,68.49
"2010-09-17",68.85,69.57,68.47,68.93,994000,68.93
"2010-09-20",69.25,70,69.12,69.88,602600,69.88
"2010-09-21",69.67,70.84,69.53,70.29,565700,70.29
"2010-09-22",70.3,71.32,70.12,70.8,674400,70.8
"2010-09-23",70.3,70.92,69.6,69.7,577000,69.7
"2010-09-24",70.41,71.58,70.41,71.49,571500,71.49
"2010-09-27",71.35,71.37,70.82,70.85,458900,70.85
"2010-09-28",70.94,71.07,69.95,70.92,773600,70.92
"2010-09-29",70.47,71.49,70.47,71.12,426300,71.12
"2010-09-30",71.37,72.26,70.66,70.78,696300,70.78
"2010-10-01",71.39,71.65,70.52,70.89,400300,70.89
"2010-10-04",70.61,71.28,69.59,69.87,374000,69.87
"2010-10-05",71.21,72.44,71.13,71.52,1429700,71.52
"2010-10-06",71.38,71.75,70.3,70.53,612100,70.53
"2010-10-07",71.02,71.2,70.15,70.62,449100,70.62
"2010-10-08",70.82,71.21,70.39,70.79,643300,70.79
