"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2011-12-29",340,342,338.66,340.77,292700,340.77
"2011-12-30",340.98,341.81,337.74,337.74,223200,337.74
"2012-01-03",343.7,350.49,340,341.27,728100,341.27
"2012-01-04",346,349.98,345.01,348.75,743100,348.75
"2012-01-05",346.88,351.98,342.57,350.48,672300,350.48
"2012-01-06",348.88,352.63,347.35,348.95,370700,348.95
"2012-01-09",349,349.49,336.29,339.74,748600,339.74
"2012-01-10",343.82,344.34,336.55,341.12,503500,341.12
"2012-01-11",340,347.92,338.24,347.6,573900,347.6
"2012-01-12",347.61,348.51,343.8,347.62,384900,347.62
"2012-01-13",350.26,355,350,354.62,697100,354.62
"2012-01-17",356.84,357.75,353.16,353.38,351300,353.38
"2012-01-18",354.2,357.75,351.9,356.82,323900,356.82
"2012-01-19",356.71,359.48,355.54,358.09,331900,358.09
"2012-01-20",356.6,358.55,354.1,356.39,383400,356.39
"2012-01-23",356.84,363.32,356.37,360.46,480600,360.46
"2012-01-24",358.4,361.1,357.02,360.6,373300,360.6
"2012-01-25",359.89,364.85,359,363.14,491300,363.14
"2012-01-26",364.12,370.35,363.02,365.81,491200,365.81
"2012-01-27",364.05,368.36,362.31,366.76,279300,366.76
"2012-01-30",364.9,368.25,364.1,367.69,288100,367.69
"2012-01-31",368.39,369.72,365.52,367.29,350800,367.29
"2012-02-01",368,371.62,364.41,370.41,873400,370.41
"2012-02-02",366.19,373.37,358.6,362.82,1413500,362.82
"2012-02-03",367.18,373.2,366.03,372.19,810000,372.19
"2012-02-06",370,374.92,369.51,371.63,537300,371.63
"2012-02-07",371.02,374.97,370.07,374.02,383700,374.02
"2012-02-08",374.03,375.25,370.9,374.02,408700,374.02
"2012-02-09",375.5,377.75,372.27,376.49,484800,376.49
"2012-02-10",372.93,376.63,372.46,376.45,311300,376.45
"2012-02-13",378.7,379.91,375.19,377.45,391500,377.45
"2012-02-14",377.23,379.45,375.01,378.94,389700,378.94
"2012-02-15",380.49,383.38,373.6,375.73,757200,375.73
"2012-02-16",375.25,383.06,375,382.04,506000,382.04
"2012-02-17",381.47,385.34,380,384.7,577900,384.7
"2012-02-21",382.8,387,380.14,383.58,687400,383.58
"2012-02-22",383,386.73,381.12,384.95,403500,384.95
"2012-02-23",383.65,387.75,383.5,386.8,332200,386.8
"2012-02-24",387.76,387.99,384.85,387.42,311200,387.42
"2012-02-27",385.94,390.41,385.21,388.89,344600,388.89
"2012-02-28",389.6,392.35,387.51,391.96,356600,391.96
"2012-02-29",390.9,392,387.34,390.22,355100,390.22
