"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2011-08-03",141.36,143.78,139.15,142.78,834000,136.94
"2011-08-04",140.46,140.89,136.47,136.63,831400,131.65
"2011-08-05",138.45,141.88,134.72,138.5,1341700,133.45
"2011-08-08",135,136.74,129.79,129.86,1466400,125.12
"2011-08-09",131.64,133.44,124.33,132.57,1512400,127.73
"2011-08-10",128.87,131.15,125.82,126.11,1277700,121.51
"2011-08-11",127.16,135.53,126.8,133.22,976100,128.36
"2011-08-12",134.51,137.36,133.88,135.84,680600,130.88
"2011-08-15",138.01,139.43,136.26,138.57,817000,133.52
"2011-08-16",136.98,139.95,136.55,137.26,632300,132.25
"2011-08-17",138,138.67,135.65,137.08,325400,132.08
"2011-08-18",133.51,133.6,129.41,130.95,868000,126.17
"2011-08-19",129.27,134.59,129.27,130.34,989700,125.59
"2011-08-22",133.24,134.09,131.52,132.68,731300,127.84
"2011-08-23",133.28,138.22,132,138.15,531500,133.11
"2011-08-24",137.73,141.1,137.19,140.98,639200,135.84
