"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"2010-09-20",61.04,61.82,60.95,61.55,21788100,56.32
"2010-09-21",61.65,61.9,61.25,61.54,20525200,56.31
"2010-09-22",61.56,62,61.41,61.45,18207700,56.23
"2010-09-23",60.99,61.57,60.9,61.15,18097800,55.96
"2010-09-24",61.51,62.13,61.36,61.75,25145300,56.51
"2010-09-27",61.99,62.08,61.68,61.71,16642800,56.47
"2010-09-28",61.63,62.26,61.27,62.06,18806700,56.79
"2010-09-29",61.77,62.02,61.27,61.59,21158000,56.36
"2010-09-30",61.95,62.44,61.47,61.79,25460200,56.54
"2010-10-01",62.32,62.58,61.8,62.54,24160200,57.23
"2010-10-04",62.52,62.73,61.84,62.19,16902500,56.91
"2010-10-05",62.59,63.4,62.43,63.26,25185400,57.89
"2010-10-06",63.18,63.94,63.18,63.94,21645200,58.51
"2010-10-07",63.96,64,63.37,63.85,19468400,58.43
"2010-10-08",63.81,64.53,63.63,64.38,22370500,58.91
"2010-10-11",64.36,64.81,64.31,64.55,13848900,59.07
"2010-10-12",64.31,64.89,63.93,64.7,20732000,59.21
"2010-10-13",64.84,65.29,64.57,65.04,22560500,59.52
"2010-10-14",65.05,65.45,64.87,65.3,17778100,59.75
"2010-10-15",65.64,65.65,64.82,65.19,25500700,59.65
"2010-10-18",65.19,66.54,65.03,66.28,22481700,60.65
"2010-10-19",65.59,66.04,64.59,65.12,25367400,59.59
"2010-10-20",65.47,66.39,65.35,66.01,20543900,60.4
"2010-10-21",66.29,66.8,65.65,66.32,21291200,60.69
"2010-10-22",66.51,66.55,66.13,66.34,13332800,60.71
"2010-10-25",66.68,66.81,66.16,66.2,16516600,60.58
"2010-10-26",65.96,66.57,65.81,66.53,17652900,60.88
"2010-10-27",65.95,65.99,65.09,65.67,23358900,60.09
"2010-10-28",66.43,66.7,66.05,66.22,20464200,60.6
"2010-10-29",66.1,66.56,65.99,66.49,19265600,60.84
"2010-11-01",66.72,67.21,66.63,66.95,22372700,61.26
"2010-11-02",67.32,68.25,67.21,67.84,26192200,62.08
"2010-11-03",68.23,68.27,67.32,67.97,26545300,62.2
"2010-11-04",68.4,69.6,68.29,69.38,31221400,63.49
