"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2011-03-18",51.27,51.91,50.76,50.89,9396400,46.73
"2011-03-21",51.52,51.94,51.02,51.7,6883100,47.47
"2011-03-22",51.58,53.57,51.37,53.17,9104900,48.82
"2011-03-23",53.29,55.02,53.12,54.83,9614900,50.34
"2011-03-24",54.85,55.6,54.09,54.52,9189200,50.06
"2011-03-25",54.79,54.99,53.66,53.96,6121300,49.54
"2011-03-28",53.58,54.09,52.98,53.27,5254700,48.91
"2011-03-29",53.36,53.54,52.65,53.49,7712500,49.11
"2011-03-30",53.87,54.39,53.33,54.12,5848600,49.69
"2011-03-31",54.46,55.08,54.13,54.58,5300900,50.11
"2011-04-01",54.43,54.78,53.72,54.37,5227700,49.92
"2011-04-04",54.49,55.92,54.41,54.59,5396400,50.12
"2011-04-05",54.48,57.08,54.2,56.98,10500900,52.32
"2011-04-06",57.1,57.31,55.99,56.45,8357500,51.83
"2011-04-07",57.07,58.73,56.58,58.29,13159200,53.52
"2011-04-08",58.82,59.28,57.56,57.99,8050300,53.24
"2011-04-11",57.64,58.65,56.54,56.95,7780400,52.29
"2011-04-12",56.43,57.73,56.35,57.24,6910700,52.56
"2011-04-13",57.65,57.73,56.16,56.32,5913500,51.71
"2011-04-14",56.45,57.85,56.34,57.53,6912000,52.82
"2011-04-15",57.79,58.3,57.31,57.75,7179400,53.02
"2011-04-18",58.01,58.39,57.21,57.87,7819200,53.13
"2011-04-19",57.87,58.69,57.73,58.63,6914200,53.83
"2011-04-20",59.33,59.87,58.32,58.85,7333900,54.03
"2011-04-21",59.43,60.45,58.93,59.23,6264500,54.38
"2011-04-25",59.48,59.61,57.76,57.79,5008300,53.06
"2011-04-26",57.73,57.89,56.95,57.85,5700000,53.12
"2011-04-27",58.04,59.17,57.17,58.95,6611700,54.13
"2011-04-28",58.97,59.61,58.36,58.79,5829000,53.98
"2011-04-29",58.71,59.4,58.09,58.61,9238800,53.81
"2011-05-02",57.54,58.48,57.09,57.57,7426300,52.86
"2011-05-03",57.41,57.93,55.73,56.22,8232900,51.62
"2011-05-04",56.14,56.87,55.22,56.43,7915000,51.81
"2011-05-05",56,56.85,54.15,54.69,8628900,50.21
"2011-05-06",55.37,55.82,53.72,53.72,8570700,49.32
"2011-05-09",54.16,54.92,54.14,54.68,4755700,50.21
"2011-05-10",54.89,54.89,54.13,54.65,4114400,50.18
"2011-05-11",54.44,54.65,52.9,53.41,6848800,49.04
"2011-05-12",53.27,53.93,52.64,53.26,6349700,48.9
"2011-05-13",53.34,54.16,52.16,52.78,5802200,48.46
"2011-05-16",52.52,54.27,52.31,52.94,7110800,48.61
"2011-05-17",52.7,53.85,52.55,53.53,5563900,49.15
"2011-05-18",53.89,54.26,53.42,53.8,4312900,49.4
