"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2008-03-04",59.63,60.9,59.5,60.43,8332200,27.46
"2008-03-05",60.81,61.91,60.12,60.81,5884800,27.63
"2008-03-06",60.62,60.64,59.43,59.58,9311200,27.17
"2008-03-07",58.99,59.72,57.69,58.24,8598600,26.56
"2008-03-10",58.18,58.98,56.77,56.97,8091400,25.98
"2008-03-11",58.14,58.2,56.7,57.92,7348800,26.42
"2008-03-12",58,60.27,58,59.76,9120200,27.25
"2008-03-13",58.85,61.37,58,61.03,9623000,27.83
"2008-03-14",61.6,61.6,59.31,59.96,9441000,27.35
"2008-03-17",58.42,60.16,57.75,59.26,9138600,27.03
"2008-03-18",60.27,61.74,59.57,61.67,6893800,28.13
"2008-03-19",62.79,62.92,61.82,61.83,10377000,28.2
"2008-03-20",64.71,67.35,64.71,67.27,21645600,30.68
"2008-03-24",66.99,70.6,66.48,69.08,14913600,31.51
"2008-03-25",69.24,69.3,68.01,68.37,10230000,31.18
"2008-03-26",68.15,68.4,66.07,66.27,10327000,30.22
"2008-03-27",66.55,67.31,65.98,65.98,7670600,30.09
"2008-03-28",66.33,66.43,65.1,65.86,10666800,30.04
"2008-03-31",65.75,68.26,65.75,68,11561600,31.01
"2008-04-01",68.6,69.91,67.26,69.57,9023200,31.73
"2008-04-02",68.88,70,67.55,67.97,7774000,31
"2008-04-03",67.43,69.34,67.26,68.9,6452000,31.42
"2008-04-04",69.15,69.25,67.95,68.51,6282600,31.25
"2008-04-07",68.87,68.95,66.82,66.83,6503000,30.48
"2008-04-08",66.24,67.44,66.24,66.53,6564800,30.34
"2008-04-09",66.7,67.27,65.95,66.44,6273400,30.3
"2008-04-10",66.32,68.02,65.9,67.37,8733200,30.73
"2008-04-11",66.7,68,66.6,66.69,6532000,30.42
"2008-04-14",66.31,66.76,65.85,66.06,4411200,30.13
"2008-04-15",66.61,66.61,65.19,65.82,4725000,30.02
"2008-04-16",66.15,66.55,65.47,66.07,5541200,30.13
"2008-04-17",66,67.71,66,67.55,6935400,30.81
"2008-04-18",68.15,68.15,67.24,67.89,8016600,30.96
"2008-04-21",67.47,68.86,67.11,68.62,7307000,31.3
"2008-04-22",68.45,68.78,67.31,68.03,5772400,31.03
"2008-04-23",68.42,68.95,67.38,67.58,7043200,30.82
"2008-04-24",67.81,68.6,67.42,68.06,7165800,31.04
"2008-04-25",68.52,68.85,67.72,68.74,6183800,31.35
"2008-04-28",69.03,69.03,67.6,67.82,5810600,30.93
"2008-04-29",67.82,68.51,67.5,68.23,5002400,31.12
"2008-04-30",68.23,68.7,66.61,66.8,8374400,30.47
"2008-05-01",66.8,68.51,66.5,67.81,6255400,30.93
"2008-05-02",68.59,68.59,67.01,67.66,5957200,30.86
"2008-05-05",67.12,68.49,66.55,66.98,4382000,30.55
"2008-05-06",66.96,67.82,66.19,67.58,3919600,30.82
"2008-05-07",67.74,68.66,66.56,66.75,5017600,30.44
"2008-05-08",66.87,67.01,64.34,64.8,9024000,29.55
"2008-05-09",65.3,65.3,64.19,64.87,4733800,29.59
"2008-05-12",65.17,65.93,64.85,65.34,16807600,29.8
"2008-05-13",65.64,66.08,64.66,65.66,7850600,29.95
"2008-05-14",66,68.39,65.66,67.44,7669600,30.76
