"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2011-01-31",76.76,76.93,76.4,76.77,6763600,35.71
"2011-02-01",77.01,77.19,76.61,76.71,12784400,35.68
"2011-02-02",76.23,76.23,74.86,76.05,15127600,35.37
"2011-02-03",76.05,76.39,75.78,75.93,7590800,35.32
"2011-02-04",75.93,76.31,75.75,76.24,6769800,35.46
"2011-02-07",76.43,76.45,75.8,76.28,9052800,35.48
"2011-02-08",77.26,79.06,77.2,78.56,11213600,36.54
"2011-02-09",78.34,78.71,77.8,78.32,5434200,36.43
"2011-02-10",78.26,78.5,77.33,77.73,9367200,36.16
"2011-02-11",77.56,79.07,77.22,78.92,7893000,36.71
"2011-02-14",78.84,79.68,78.41,79.01,9117400,36.75
"2011-02-15",78.97,79,78.07,78.24,5812800,36.39
"2011-02-16",78.15,78.62,77.96,78.54,4828400,36.53
"2011-02-17",78.24,78.4,77.98,78.4,4111000,36.47
"2011-02-18",78.59,78.8,78.29,78.42,5642400,36.48
"2011-02-22",78.11,78.91,77.82,78.6,5638000,36.56
"2011-02-23",78.65,79.11,78.14,78.37,4921400,36.45
"2011-02-24",78.27,78.52,77.25,77.66,5621800,36.12
"2011-02-25",77.98,78.38,77.53,78.12,2969000,36.34
"2011-02-28",78.25,78.62,78,78.52,3830600,36.52
"2011-03-01",78.3,78.92,77.63,77.64,5588600,36.11
"2011-03-02",77.83,77.84,77.15,77.3,5767000,35.96
"2011-03-03",77.79,78.36,77.5,78.07,5616600,36.31
"2011-03-04",78.05,78.19,77.25,77.5,6091800,36.05
"2011-03-07",77.51,77.72,77.1,77.54,5569400,36.07
"2011-03-08",77.88,78.36,77.55,78.19,5980200,36.37
"2011-03-09",77.91,79.01,77.91,79,3783600,36.75
"2011-03-10",78.69,79.3,78.42,78.98,5688800,36.74
"2011-03-11",78.59,79.41,78.4,79.18,3771200,36.83
"2011-03-14",78.71,78.88,77.93,78.27,5188400,36.41
"2011-03-15",77.29,77.72,76.94,77.27,6373600,35.94
"2011-03-16",77.07,77.09,76.6,76.66,7681000,35.66
"2011-03-17",77.35,77.56,76.53,76.7,6285000,35.68
"2011-03-18",77.25,77.35,76.39,76.95,8786400,35.79
"2011-03-21",77.33,78.51,77.28,78.41,6728800,36.47
"2011-03-22",78.39,79.15,78.17,78.43,4960600,36.48
"2011-03-23",78.42,78.79,77.88,78.29,5456200,36.42
"2011-03-24",78.69,80.34,78.39,80.3,7165400,37.35
"2011-03-25",79.45,80.5,79.35,80.15,4327000,37.28
"2011-03-28",80.14,80.95,80.14,80.49,6445600,37.44
"2011-03-29",80.27,80.75,80.25,80.42,4509800,37.41
"2011-03-30",80.46,81.24,80.21,81.21,4420000,37.77
"2011-03-31",81.06,81.36,80.62,80.76,4148600,37.57
"2011-04-01",81,81.34,80.32,80.52,4520800,37.45
"2011-04-04",80.61,81.13,80.54,81.02,2608800,37.69
"2011-04-05",80.83,81.11,80.26,80.84,3474000,37.6
"2011-04-06",81,81.66,80.84,81.53,5786800,37.92
"2011-04-07",81.64,81.69,81,81.56,4862400,37.94
"2011-04-08",81.59,81.84,80.96,81.28,3974000,37.81
"2011-04-11",81.1,81.72,81.1,81.61,4217200,37.96
"2011-04-12",81.62,83.72,81.42,82.54,9322800,38.39
"2011-04-13",82.58,82.67,81.59,81.61,5330800,37.96
"2011-04-14",81.44,82.15,81.26,81.84,6710000,38.07
"2011-04-15",81.8,81.97,81.55,81.81,6609200,38.05
"2011-04-18",81.4,81.69,81.09,81.35,4185000,37.84
"2011-04-19",81.31,81.57,80.95,81.42,5560200,37.87
"2011-04-20",82.13,82.13,81.1,81.27,5601800,37.8
"2011-04-21",80.83,81.19,80.41,80.65,4190200,37.78
"2011-04-25",80.31,80.49,79.8,79.9,4346800,37.43
"2011-04-26",80.06,80.83,80,80.55,6781600,37.74
"2011-04-27",80.96,81.33,80.59,81.06,4868400,37.98
"2011-04-28",80.77,83.25,80,82.97,9176000,38.87
"2011-04-29",83.67,85,83.67,84.35,9857400,39.52
"2011-05-02",84.41,84.74,84,84.55,5176200,39.61
"2011-05-03",84.2,84.81,84.11,84.7,5027600,39.68
"2011-05-04",84.56,85.86,84.38,85.65,9848200,40.13
"2011-05-05",85.42,85.61,84.76,84.9,5351800,39.77
"2011-05-06",85.33,85.45,84.6,84.88,4097200,39.77
