"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2008-05-13",217.73,217.74,211.64,214.75,404100,184.42
"2008-05-14",213.95,217.22,212.67,213.22,377300,183.11
"2008-05-15",213.22,219.33,211.85,219.1,239100,188.16
"2008-05-16",219.14,219.14,213.52,216.4,175000,185.84
"2008-05-19",217,219.93,211.81,213.25,273600,183.13
"2008-05-20",211.4,211.4,204.28,206.65,412700,177.47
"2008-05-21",207,207.25,199.63,200.78,207100,172.43
"2008-05-22",199.4,204.89,198.61,203.36,321000,174.64
"2008-05-23",203.75,212.06,203.75,208.51,664800,179.06
"2008-05-27",208.95,214.7,208.16,214.61,364600,184.3
"2008-05-28",216,216.15,210.98,215.4,195000,184.98
"2008-05-29",214.65,224.5,214.02,221.5,362100,190.22
"2008-05-30",223,227.51,222.76,224.99,283800,193.22
"2008-06-02",223.8,223.8,216.25,220.13,268900,189.04
"2008-06-03",219.23,220.41,213.72,217.35,583700,186.66
"2008-06-04",216.99,219.33,215.06,216.03,397900,185.52
"2008-06-05",217.5,223.52,217.5,223.52,366400,191.95
"2008-06-06",220.73,220.82,213.51,213.51,270900,183.36
"2008-06-09",213.54,217.54,210.04,213.9,256900,183.69
"2008-06-10",213.53,215.48,209.93,211.99,434500,182.72
"2008-06-11",211.28,211.3,202.8,203,487100,174.97
"2008-06-12",204,208.21,200.72,202.95,646400,174.93
"2008-06-13",205.5,210.25,202.97,210.25,538400,181.22
"2008-06-16",208.78,211.85,205.01,208.69,454900,179.87
"2008-06-17",210.25,212.78,203.51,204.6,398100,176.35
"2008-06-18",202.75,208.66,202.01,204.96,477400,176.66
"2008-06-19",204.5,206.55,199.76,206.03,526200,177.58
"2008-06-20",204.2,204.74,194.07,197,583600,169.8
"2008-06-23",204.63,206.1,197.36,199.56,738700,172.01
"2008-06-24",202.69,202.69,191.69,194.12,730400,167.32
"2008-06-25",193.55,196.43,188.25,189.55,740700,163.38
"2008-06-26",186,186.55,180.32,180.7,643200,155.75
"2008-06-27",182.55,183.26,176.61,177.6,2915100,153.08
"2008-06-30",182.07,182.07,171.86,177,989700,152.56
"2008-07-01",173.74,178.69,170.31,176.03,1029600,151.72
"2008-07-02",177.99,180,166.82,168.1,1207600,144.89
"2008-07-03",169.4,169.98,165,169.57,587300,146.16
"2008-07-07",169.99,171.82,162.25,164.21,1093300,141.54
"2008-07-08",162.41,174.05,161.35,174.05,794100,150.02
"2008-07-09",174.06,175.51,166.01,166.68,847200,143.67
"2008-07-10",168.25,178.01,166.2,172.95,926400,149.07
"2008-07-11",169.43,176.91,167.7,174.71,1165200,150.59
"2008-07-14",176.38,179,166.31,166.63,669700,143.62
"2008-07-15",165.25,169.22,156.2,164.18,1475400,141.51
"2008-07-16",164.4,179.84,162.25,178.95,2457100,154.24
"2008-07-17",191.99,215.63,185.4,208.26,2561100,179.5
"2008-07-18",207.9,222.88,204.49,218,1673700,187.9
"2008-07-21",217.06,222.99,210.31,213.2,746600,183.76
"2008-07-22",212,220.92,204.05,220.92,865100,190.42
"2008-07-23",217.14,224.63,215.16,222.57,958800,191.84
"2008-07-24",223.91,223.91,210.88,212,698500,182.73
"2008-07-25",212.25,220.08,209.44,218.3,502600,188.16
"2008-07-28",217.43,221.09,209.07,209.45,566700,180.53
"2008-07-29",211.75,221.2,210.01,221.2,595300,190.66
"2008-07-30",221.95,226.5,213.32,221.5,501400,190.92
"2008-07-31",217.99,221.23,216.05,216.71,417200,186.79
"2008-08-01",217.5,220.94,211.74,219.32,567700,189.04
"2008-08-04",217.88,220.6,214.5,217.4,372800,187.38
"2008-08-05",217.1,228.25,217.1,228.25,686700,196.73
"2008-08-06",228,228.11,221.68,223.6,371500,192.73
"2008-08-07",222.24,223.12,214.75,217.19,461300,187.2
"2008-08-08",216.32,225.96,215.26,222.58,311300,191.85
"2008-08-11",222,231.36,218.89,230.75,693100,198.89
"2008-08-12",229.5,233.9,222.28,224.57,702800,193.56
"2008-08-13",224.6,225.35,218.95,220.15,519400,189.75
"2008-08-14",218.01,222.9,213.92,217.5,1519000,187.47
"2008-08-15",218.83,222.23,214.25,216.7,311900,186.78
"2008-08-18",216.7,217.39,210.23,210.3,235800,181.26
"2008-08-19",207.5,210,204.4,208.2,438400,179.45
"2008-08-20",207.4,212.42,205.2,210.6,390600,181.52
"2008-08-21",205.37,212.26,205.37,211.45,250100,182.25
"2008-08-22",212.4,213.97,208.88,213.3,290300,183.85
"2008-08-25",212.5,212.5,206.62,206.62,370700,178.09
"2008-08-26",207.13,208.66,203.63,207.7,327700,179.02
"2008-08-27",207.5,213.94,205.74,212.95,300800,183.55
"2008-08-28",212.1,218.75,211.29,218.75,319200,189.24
"2008-08-29",217.25,219.36,216.16,217.25,252800,187.94
"2008-09-02",220.99,227.1,217.78,219.7,509000,190.06
"2008-09-03",219.7,223.19,214.66,221.55,275400,191.66
"2008-09-04",219.3,220.43,210.52,210.91,318200,182.46
"2008-09-05",209.99,212.84,202.89,211.55,440100,183.01
"2008-09-08",223,225.67,211.4,223.72,622300,193.54
"2008-09-09",221.5,223.57,210.8,210.8,754800,182.36
"2008-09-10",212.35,221,207.07,216.4,524200,187.21
"2008-09-11",210,221.37,208.11,220.8,606800,191.01
"2008-09-12",218.5,218.8,200.75,203,1393300,175.61
"2008-09-15",201,218.9,200.45,201,1443300,173.88
"2008-09-16",191.77,212.08,191.77,212.08,927700,183.47
"2008-09-17",193.74,208.65,180.63,188,1537500,162.64
"2008-09-18",194.47,215,169.23,207.83,2173700,179.79
"2008-09-19",225.33,249.37,197.73,210,1975800,181.67
"2008-09-22",210,210,188.75,188.75,887100,163.29
"2008-09-23",193.11,199.47,185,185.05,494500,160.09
"2008-09-24",189.63,198.61,186.07,196.91,395400,170.35
"2008-09-25",204.4,210.59,191.1,191.36,808900,165.54
"2008-09-26",189.5,202.58,182.47,201.01,442200,173.89
"2008-09-29",198,199.46,183.6,191,545300,165.23
"2008-09-30",196,204.95,190.05,194.5,410900,168.26
"2008-10-01",191,191.03,176.69,180.33,683200,156
"2008-10-02",180,180,166.88,172.05,762900,148.84
"2008-10-03",175.05,195,175.05,182.5,725400,157.88
"2008-10-06",174.02,179.73,168.4,172,385200,148.8
"2008-10-07",178,186.21,171.25,171.25,348800,148.15
"2008-10-08",167,180.54,164.26,167,491500,144.47
"2008-10-09",174.05,174.05,150,153.55,1134000,132.83
"2008-10-10",148,163.09,132.22,159,1483900,137.55
"2008-10-13",170.4,180,162.6,179.84,275800,155.58
"2008-10-14",186,187.97,163.37,169.22,785400,146.39
"2008-10-15",162.01,167.79,142.95,142.95,939400,123.66
"2008-10-16",145.74,148.42,132.03,146.37,918400,126.62
"2008-10-17",142.23,151.8,141,148.72,1010100,128.66
"2008-10-20",152.11,152.9,137.14,143.22,745800,123.9
"2008-10-21",137.5,137.5,126.26,130.2,1451100,112.63
"2008-10-22",124.17,130.18,112.53,119.87,1088300,103.7
"2008-10-23",120.49,126.13,106.65,112.88,839800,97.65
"2008-10-24",99.39,121.2,99.39,116.5,1024600,100.78
"2008-10-27",112.25,116.36,107.05,107.05,432800,92.61
"2008-10-28",114.25,127.99,108.42,127.99,845500,110.72
"2008-10-29",128.48,138.87,121,131.31,803100,113.6
"2008-10-30",137.59,137.59,126.78,129.77,572500,112.26
"2008-10-31",129.95,133.27,127.35,131.34,494500,113.62
"2008-11-03",128.9,138.4,127,137.69,541600,119.11
"2008-11-04",139.94,147.91,138.24,144.05,724700,124.62
"2008-11-05",141,142.81,136,136.57,670300,118.15
"2008-11-06",135.09,138.78,123.03,123.65,749400,106.97
"2008-11-07",124.89,129.2,120.42,125.59,441400,108.65
"2008-11-10",128.7,129.63,114.9,115.55,526100,99.96
"2008-11-11",110.05,117.66,106.47,115,1508700,99.49
"2008-11-12",109.91,114.25,105.41,106.46,735900,92.1
"2008-11-13",107.49,119,105.42,118.69,1168800,102.68
"2008-11-14",116.2,119.35,110.01,110.12,599000,95.26
"2008-11-17",108.93,113.67,104.73,106.4,876400,92.05
"2008-11-18",105,108.4,103.02,106.24,702200,91.91
"2008-11-19",105.1,106.12,98.64,98.88,1142100,85.54
"2008-11-20",95.98,109.02,95.98,99.72,1098900,86.27
"2008-11-21",101.89,109.26,94.78,108.9,1007200,94.21
