"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2013-03-22",89.46,91.89,89.2,90.91,2532700,89.03
"2013-03-25",91.77,92.73,89.71,90.19,2851500,88.33
"2013-03-26",90.69,91.57,90.19,90.93,2621900,89.05
"2013-03-27",90.52,90.88,89.4,89.67,2868500,87.82
"2013-03-28",89.67,90.45,89.31,89.6,2637800,87.75
"2013-04-01",89.55,90.03,88.29,89.83,2485400,87.97
"2013-04-02",90.37,90.54,84.76,85.48,4334400,83.71
"2013-04-03",85.47,85.47,78.5,81.39,9313000,79.71
"2013-04-04",81.16,83.9,80.75,82.62,4169200,80.91
"2013-04-05",81.05,82.85,79.5,82.37,3176200,80.67
"2013-04-08",82.88,83.48,81.94,83.36,2496200,81.64
"2013-04-09",83.66,85.36,82.66,84.8,2598100,83.05
"2013-04-10",85.16,85.55,84,84.34,2550200,82.6
"2013-04-11",84.3,84.57,80.75,82.07,5353700,80.38
"2013-04-12",80.99,81.42,78.4,80.29,4971700,78.63
"2013-04-15",79.19,80.21,77.14,77.52,5453600,75.92
"2013-04-16",78.4,79.39,77.68,78.87,3602200,77.24
"2013-04-17",77.74,78.35,75.2,76.61,3879600,75.03
"2013-04-18",76.57,77.99,75.31,76.99,3954500,75.4
"2013-04-19",77.41,78.77,76.78,78.75,3106600,77.12
"2013-04-22",78.86,80.84,77.96,79.99,2892000,78.34
"2013-04-23",80.11,81.98,80.05,81.55,2637200,79.87
"2013-04-24",82.07,83.53,81.94,82.62,2662900,80.91
"2013-04-25",83.19,84.3,81.39,81.62,2699800,79.93
"2013-04-26",81.6,81.71,80.41,81.35,2128600,79.67
"2013-04-29",81.71,83.33,81.61,82.41,2709600,80.71
"2013-04-30",79.93,81.63,76.85,78.36,6938000,76.74
"2013-05-01",77.6,77.61,73.46,73.47,7954200,71.95
"2013-05-02",73.6,76.61,73.57,75.8,4759800,74.23
"2013-05-03",76.48,78.68,76.48,78.1,4411700,76.49
"2013-05-06",77.97,80.78,77.72,80.34,2863300,78.68
"2013-05-07",80.87,81.91,80.18,81.44,3311700,79.76
"2013-05-08",81.25,81.36,78.27,78.61,3966100,76.99
"2013-05-09",78.44,78.98,77.16,78.47,2834600,76.85
"2013-05-10",77.77,77.77,76.22,77.38,3960000,75.78
"2013-05-13",77.22,77.68,75.81,76.45,3055200,74.87
"2013-05-14",76.41,77.96,76.16,77.85,2853000,76.59
"2013-05-15",77.87,80.31,77.87,79.38,2868300,78.1
"2013-05-16",79.04,80.75,78.3,78.52,3013900,77.25
"2013-05-17",79.11,83.05,79.11,82.68,4496400,81.34
"2013-05-20",82.65,86,82.54,84.6,3789800,83.23
"2013-05-21",84.54,84.54,81.87,82.88,3088600,81.54
"2013-05-22",82.95,83.96,80.95,82.45,3512000,81.12
"2013-05-23",80.87,83.06,80.11,82.36,2212900,81.03
"2013-05-24",81.9,82.11,80.7,82.06,1602800,80.73
"2013-05-28",83.49,84.44,82.8,83.75,2220900,82.4
"2013-05-29",83.1,84.13,82.25,83.71,1497300,82.36
"2013-05-30",83.61,84.05,82.52,83.54,2088900,82.19
"2013-05-31",83.3,84.43,82.5,82.5,2583900,81.17
"2013-06-03",82.61,83.03,80.15,82.02,2412000,80.7
"2013-06-04",81.57,82.51,79.84,80.63,2409600,79.33
"2013-06-05",80.42,82.08,79.56,79.93,2821900,78.64
"2013-06-06",79.9,82.75,79.65,82.75,2691500,81.41
"2013-06-07",82.83,83.77,81.97,83.63,2138200,82.28
"2013-06-10",83.62,84.15,82.25,82.41,2253300,81.08
"2013-06-11",80.92,81.78,79.85,79.86,2304800,78.57
"2013-06-12",80.79,80.95,79.02,79.28,2557900,78
"2013-06-13",79.13,81.02,79.03,80.79,2228600,79.49
"2013-06-14",80.1,81.02,79.5,79.61,1559600,78.32
"2013-06-17",80.1,80.5,78.7,79,2327400,77.72
"2013-06-18",78.73,79.81,78.46,78.92,3628500,77.65
"2013-06-19",79.27,80.43,78.3,78.31,2459800,77.05
"2013-06-20",77.18,77.2,72.86,73.79,5277600,72.6
"2013-06-21",74.48,74.5,70.72,72.81,5781700,71.63
"2013-06-24",71.92,71.96,69.31,70.38,3873200,69.24
"2013-06-25",71.54,72.43,71.44,72.08,3682200,70.92
"2013-06-26",72.84,73.86,72.14,72.43,3029800,71.26
"2013-06-27",73.12,73.71,70.71,71.05,3674800,69.9
"2013-06-28",70.84,71.11,70.3,71.06,7538800,69.91
"2013-07-01",70.83,72.65,70.05,70.38,2778000,69.24
"2013-07-02",70.59,70.89,68.34,69.29,4250400,68.17
"2013-07-03",69.12,70.85,67.58,70.73,2757300,69.59
"2013-07-05",68.92,70.66,67.6,68.99,3080700,67.88
"2013-07-08",69.19,70.48,69.19,69.44,3401400,68.32
"2013-07-09",69.93,70.38,69.37,70.12,2409600,68.99
"2013-07-10",70.41,70.45,67.95,68.3,3564600,67.2
"2013-07-11",69.5,71.68,68.78,71.51,3788700,70.36
"2013-07-12",70.42,74.2,70.2,73.24,4493400,72.06
"2013-07-15",73.21,73.91,72.33,73.1,2592700,71.92
"2013-07-16",71.49,72.45,69.06,69.93,5113300,68.8
"2013-07-17",69.91,70.85,69.73,69.75,2225000,68.62
"2013-07-18",69.97,70.1,68,68.29,4174300,67.19
"2013-07-19",68.86,69.65,67.89,69.6,3333300,68.48
"2013-07-22",69.65,70.23,69,69.84,2415300,68.71
"2013-07-23",70.05,72.36,69.93,71.77,2698200,70.61
"2013-07-24",71.84,71.89,69.88,70.39,2580900,69.25
"2013-07-25",70.08,72.17,69.81,72.05,2535400,70.89
"2013-07-26",71.98,72.75,71.39,71.91,1663600,70.75
"2013-07-29",71.99,72.49,71.35,72.23,1872500,71.06
"2013-07-30",72.5,73.58,72.24,73.01,2531400,71.83
"2013-07-31",73.05,74.75,72.38,73.33,2922700,72.15
"2013-08-01",73.86,76.02,73.86,75.09,3414500,73.88
"2013-08-02",73.88,74.17,71.55,71.93,3611600,70.77
"2013-08-05",71.76,71.95,70.83,71.69,1987500,70.53
"2013-08-06",71.69,73.19,70.5,71.12,3691800,69.97
"2013-08-07",71.1,72.3,70.8,71.72,2811600,70.56
"2013-08-08",71.89,73.9,71.77,72.49,2713600,71.32
"2013-08-09",72.73,73.42,72.5,73.24,2369700,72.06
"2013-08-12",72.93,73.73,72.45,73.05,2384400,71.87
"2013-08-13",73.39,75.07,73.01,74.94,2088300,73.73
"2013-08-14",74.77,75.49,73.66,73.69,3359900,72.5
"2013-08-15",73.27,73.28,70.58,70.67,4007500,69.53
"2013-08-16",70.65,70.65,68.83,70,3689700,68.87
"2013-08-19",69.54,70.91,69.03,69.05,3140500,68.35
"2013-08-20",69.05,71.67,68.54,70.99,3324700,70.27
"2013-08-21",70.76,72.98,70.24,71.85,2530300,71.12
"2013-08-22",72.28,75.74,71.96,74.86,3511400,74.1
"2013-08-23",75.07,76.58,74.68,75.06,3930700,74.29
"2013-08-26",75.25,76.11,74.7,74.81,2937500,74.05
"2013-08-27",73.88,74.48,72.7,73.1,3214500,72.35
"2013-08-28",73.32,74.55,73.09,74.04,2166700,73.28
"2013-08-29",73.82,74.76,73.2,73.63,1915700,72.88
"2013-08-30",73.93,74.66,72.21,72.51,2407800,71.77
"2013-09-03",73.62,74.55,73.15,73.44,2238700,72.69
"2013-09-04",73.13,73.97,72.69,73.66,1818600,72.91
"2013-09-05",73.77,74.35,72.05,72.1,2446000,71.36
"2013-09-06",72.27,72.72,70.47,70.85,3006800,70.13
"2013-09-09",70.86,71,69.34,69.61,3887400,68.9
"2013-09-10",69.47,69.55,67.91,68.1,4427000,67.4
"2013-09-11",68.18,68.38,66.65,67.71,3773400,67.02
"2013-09-12",67.63,67.81,66.63,66.93,2681100,66.25
"2013-09-13",67.32,68.58,67.12,67.89,2898700,67.2
"2013-09-16",68.33,68.55,66.9,66.95,2188300,66.27
"2013-09-17",66.88,67.48,65.56,66.21,3329000,65.53
"2013-09-18",66.23,66.63,65.36,66.26,4109000,65.58
"2013-09-19",66.81,67.55,65.14,65.41,4892000,64.74
"2013-09-20",65.41,65.8,64.38,64.51,5208000,63.85
"2013-09-23",64.45,64.59,62.93,62.99,3663900,62.35
"2013-09-24",63.01,64.69,62.51,64.31,4520500,63.65
"2013-09-25",64.54,65.36,63.62,64.47,4322800,63.81
"2013-09-26",64.45,64.94,63.66,64.14,3085400,63.49
"2013-09-27",64.5,65.62,64.31,64.94,3552700,64.28
"2013-09-30",63.75,64.57,63.04,64.32,4573900,63.66
"2013-10-01",64.15,64.75,63.38,64.29,3324400,63.63
"2013-10-02",63.96,65.94,63.96,65.34,4014700,64.67
"2013-10-03",65,65.61,64.6,65.23,2549100,64.56
"2013-10-04",64.84,65.74,64.18,65.23,2569100,64.56
"2013-10-07",64.86,65.12,63.16,63.92,2512700,63.27
"2013-10-08",63.88,63.98,62.5,62.5,3350300,61.86
"2013-10-09",62.53,62.53,61.32,62.1,3711000,61.47
"2013-10-10",63.38,65.91,63.01,65.31,4214200,64.64
"2013-10-11",65.3,67.89,65.03,67.25,4488600,66.56
"2013-10-14",66.52,67.38,65.89,67.19,2240900,66.5
"2013-10-15",67.71,69.13,67.52,68.44,4619600,67.74
"2013-10-16",69.36,69.36,68.21,68.95,3037600,68.25
"2013-10-17",68.75,70.39,68.52,70.18,3189300,69.46
"2013-10-18",70.68,70.74,69.89,70.74,2526600,70.02
"2013-10-21",70.99,71.55,70.43,70.93,2109600,70.21
"2013-10-22",71.39,73.2,71.39,72.5,3653600,71.76
"2013-10-23",72.3,75.15,71.98,72.09,5051200,71.35
"2013-10-24",72,72,69.03,69.21,5298900,68.5
"2013-10-25",69.42,70.27,68.42,69.89,3136400,69.18
"2013-10-28",70.38,72.59,70.3,71.2,2986200,70.47
"2013-10-29",71.27,72.46,70.59,70.82,1884000,70.1
"2013-10-30",70.98,72.58,70.01,72.51,3898100,71.77
"2013-10-31",72.36,75,71.58,71.66,4835700,70.93
"2013-11-01",71.84,72.05,70.15,70.86,3515800,70.14
"2013-11-04",70.97,71.76,70.18,71.69,2421900,70.96
"2013-11-05",71.2,71.49,70.43,70.72,2535800,70
"2013-11-06",71.19,71.96,70.12,70.4,2631500,69.68
"2013-11-07",70.06,71.08,69.38,70.43,4092400,69.71
"2013-11-08",70.4,71.88,69.79,71.65,2525700,70.92
"2013-11-11",71.66,72.25,70.8,72.2,1908100,71.46
"2013-11-12",72.3,74.42,72.05,74.01,3382600,73.25
"2013-11-13",73.75,75.17,73.24,75.1,2863600,74.33
"2013-11-14",75.38,79.4,75.38,78.86,6926500,78.05
"2013-11-15",78.91,79.5,77.74,78.84,4705400,78.04
"2013-11-18",78.74,79.26,77.19,77.43,3341600,77.05
"2013-11-19",77.48,79.75,76.73,78.83,5406400,78.44
"2013-11-20",79.01,79.16,76.85,77.4,2874000,77.02
"2013-11-21",77.22,78.97,76.82,78.78,2680200,78.39
"2013-11-22",79.3,80.43,79.28,80.25,3370600,79.86
"2013-11-25",80.55,82.1,79.74,81.78,4589200,81.38
"2013-11-26",82.19,83.32,81.53,81.55,4713300,81.15
"2013-11-27",81.55,85.65,81.55,84.34,5964600,83.93
"2013-11-29",84.64,84.64,82.62,82.74,1946900,82.33
"2013-12-02",83.84,88.24,83.42,87.41,6011600,86.98
"2013-12-03",86.92,88.29,86.39,86.99,4824600,86.56
"2013-12-04",84.09,85.84,82.24,83.26,7329100,82.85
"2013-12-05",84.47,85.4,82.82,83.85,5126800,83.44
"2013-12-06",84.7,88.86,84.66,87.2,6246300,86.77
"2013-12-09",87.77,88.81,85.42,85.55,6057200,85.13
"2013-12-10",85.33,88.06,83.24,87.51,5409500,87.08
"2013-12-11",87.2,87.49,85.16,85.98,3449700,85.56
"2013-12-12",86.11,86.84,84.45,85.7,3435500,85.28
"2013-12-13",85.8,86.01,83.52,85.21,3740300,84.79
"2013-12-16",85.44,87.35,85.44,86.35,4594600,85.93
"2013-12-17",86.33,86.98,85.38,86.09,2806100,85.67
"2013-12-18",86.47,88.25,85.43,87.42,3986000,86.99
"2013-12-19",87.14,87.8,85.51,85.71,3496500,85.29
"2013-12-20",85.5,88.07,85.45,87.26,5753700,86.83
"2013-12-23",88.19,89.95,87.84,88.77,2453300,88.33
"2013-12-24",88.72,89.38,88.06,89.35,896700,88.91
"2013-12-26",89.14,89.81,88.93,89.54,1309200,89.1
"2013-12-27",89.88,89.88,87.77,89.13,1564400,88.69
"2013-12-30",89.08,89.47,87.49,88.5,1622600,88.07
"2013-12-31",89.18,91.95,89.13,91.73,3208700,91.28
"2014-01-02",91.49,91.82,88.83,89.48,3031400,89.04
"2014-01-03",89.79,90.25,87.78,88.26,2178700,87.83
"2014-01-06",88.56,90.01,88.13,88.71,2095800,88.27
"2014-01-07",88.74,89.45,86.51,89,3776800,88.56
"2014-01-08",89.24,89.24,87.12,88.68,4200200,88.24
"2014-01-09",89.03,91.86,88.71,91.04,5327000,90.59
"2014-01-10",91,91.86,89.24,90.97,2648900,90.52
"2014-01-13",90.97,91.56,87.65,88.16,3451500,87.73
"2014-01-14",89.39,90.44,88.4,89.1,3051000,88.66
"2014-01-15",89.59,89.61,84.97,86.65,5818300,86.22
"2014-01-16",86.27,86.8,84.68,85.7,3945800,85.28
"2014-01-17",85.5,86.65,85.03,85.28,3530100,84.86
"2014-01-21",86.28,87.52,85.82,86.33,2578700,85.91
"2014-01-22",86.77,86.91,84.48,85.58,2619500,85.16
"2014-01-23",86.26,86.86,83.77,85.44,4195400,85.02
"2014-01-24",84.34,84.5,82.05,82.98,2723900,82.57
"2014-01-27",82.98,83.99,81.37,83.5,4236300,83.09
"2014-01-28",83.34,83.52,82,83.17,2652800,82.76
"2014-01-29",84.38,88.2,82.01,86.52,7762900,86.1
"2014-01-30",87.86,88.94,85.78,87.5,3330900,87.07
"2014-01-31",86.74,88.76,86.2,87.05,4199600,86.62
"2014-02-03",87.08,87.1,83.58,84.34,4581200,83.93
"2014-02-04",84.61,84.67,81.2,83.25,5043600,82.84
"2014-02-05",82.6,82.94,80.68,82.31,5004400,81.91
"2014-02-06",82.33,83.48,81.65,83.33,2628900,82.92
"2014-02-07",83.75,85.52,83.56,84.47,2558400,84.06
"2014-02-10",84.46,84.5,82.03,82.52,3163500,82.12
"2014-02-11",82.5,84.9,82.35,84.46,3501400,84.05
"2014-02-12",84.58,85.62,83.86,84.2,2583100,83.79
"2014-02-13",83.95,85.85,83.9,85.58,3056700,85.16
"2014-02-14",85.57,88.66,84.88,87.71,2999800,87.71
"2014-02-18",87.99,89.14,87.03,87.7,2680000,87.7
"2014-02-19",87.49,89.09,86.82,87.02,3195000,87.02
"2014-02-20",87.38,88.74,86.39,87.95,2710400,87.95
"2014-02-21",87.92,88.49,87.17,87.31,2469800,87.31
"2014-02-24",88.01,89.54,88.01,88.12,2917900,88.12
"2014-02-25",88.13,91.08,87.72,89.89,4709500,89.89
"2014-02-26",89.73,90.92,87.55,88.04,3285200,88.04
"2014-02-27",88,88,83.36,84.15,7183800,84.15
"2014-02-28",83.99,85.17,83.53,84,3242900,84
"2014-03-03",83.76,85.49,82.87,83.37,3107600,83.37
"2014-03-04",84.1,84.91,82.9,84.69,3599200,84.69
"2014-03-05",84.21,86.76,84.1,86.18,3012100,86.18
"2014-03-06",86.51,90,86.51,89.48,4670500,89.48
"2014-03-07",90,90.6,89.19,90,4114900,90
"2014-03-10",90,91.91,89.86,91.08,4105000,91.08
"2014-03-11",91.24,91.73,89.78,91.29,3610800,91.29
"2014-03-12",91.18,94.68,91.12,94.5,5422000,94.5
"2014-03-13",94.37,94.53,92.13,92.55,4278300,92.55
"2014-03-14",92.52,94.68,92.41,93.98,3266700,93.98
"2014-03-17",94.28,94.88,93.31,93.57,3796100,93.57
