"","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2010-09-30",61.79,62.38,60.87,61.64,394500,38.16
"2010-10-01",61.68,62.08,61.47,62.08,520800,38.43
"2010-10-04",62.07,62.23,61.43,61.75,371000,38.23
"2010-10-05",62,62.36,61.72,62.18,513000,38.49
"2010-10-06",62.19,62.45,61.4,61.78,466600,38.25
"2010-10-07",62.06,62.31,60.84,61.05,483000,37.79
"2010-10-08",61.2,61.42,60.36,61.11,416600,37.83
"2010-10-11",61.13,61.36,60.63,61.26,252800,37.92
"2010-10-12",61.24,61.67,60.72,61.45,348600,38.04
"2010-10-13",61.77,62.24,61.5,62.07,390400,38.42
"2010-10-14",62.07,62.61,61.93,62.28,331500,38.55
"2010-10-15",62.49,62.91,62.06,62.28,348800,38.55
"2010-10-18",62.39,62.63,62.12,62.58,221000,38.74
"2010-10-19",62.17,62.43,61.77,62.04,352000,38.41
"2010-10-20",62.15,63.11,62.05,62.87,324600,38.92
"2010-10-21",63.08,63.53,62.53,62.56,330800,38.73
"2010-10-22",62.64,62.88,61.56,61.93,560600,38.34
"2010-10-25",62.29,62.55,61.23,61.4,716400,38.01
"2010-10-26",61.3,61.34,60.39,60.41,737000,37.4
"2010-10-27",60.2,60.2,58.85,59.65,729900,36.93
"2010-10-28",59.86,60.24,59.7,60.06,637500,37.18
"2010-10-29",60.04,60.89,59.98,60.81,543800,37.64
"2010-11-01",61.09,61.35,60.45,60.97,315600,37.74
"2010-11-02",61.37,61.5,61.14,61.22,470700,37.9
"2010-11-03",61.38,61.63,60.86,61.63,344400,38.15
"2010-11-04",62.13,62.68,61.91,62.68,357200,38.8
"2010-11-05",62.57,62.91,62.36,62.87,276800,38.92
"2010-11-08",62.63,62.9,62.39,62.81,179400,38.88
"2010-11-09",62.77,62.77,62.29,62.61,202500,38.76
"2010-11-10",62.3,62.37,61.67,62.26,160200,38.54
"2010-11-11",61.92,62.43,61.67,62.39,248200,38.62
"2010-11-12",62.01,62.29,61.9,62.27,236100,38.55
"2010-11-15",62.36,62.72,62.15,62.42,251400,38.64
"2010-11-16",62.05,62.47,61.41,61.69,330200,38.19
"2010-11-17",61.63,62.41,61.46,62.38,291800,38.62
"2010-11-18",62.81,64.02,62.81,63.45,413700,39.28
"2010-11-19",63.42,64.03,63.42,64,447800,39.62
"2010-11-22",63.7,64.65,63.61,64.55,414200,39.96
"2010-11-23",63.82,64.13,63.02,64.13,294000,39.7
"2010-11-24",64.36,64.97,64.09,64.97,278000,40.22
"2010-11-26",64.31,64.95,64.22,64.73,158000,40.07
"2010-11-29",64.41,64.97,63.6,64.79,305800,40.11
"2010-11-30",64.3,65.47,63.77,65.42,635600,40.5
"2010-12-01",65.41,66.8,65.41,66.8,450400,41.35
"2010-12-02",66.95,69.74,66.46,69.12,749100,42.79
"2010-12-03",68.73,70.37,68.73,70.34,742200,43.75
"2010-12-06",70.1,70.34,69.75,70.02,354600,43.55
"2010-12-07",70.34,72,68.76,68.99,698800,42.91
"2010-12-08",67.74,68.98,67.32,68.83,364200,43.76
"2010-12-09",69.25,69.75,68.04,69.39,602100,44.12
"2010-12-10",69.74,69.74,68.23,68.87,504600,43.78
"2010-12-13",69.18,69.66,68.63,68.65,468400,43.64
"2010-12-14",68.7,69.43,68.55,69.41,441400,44.13
"2010-12-15",69.19,69.98,69.19,69.41,446600,44.13
"2010-12-16",69.51,70.06,69.31,69.99,287200,44.5
"2010-12-17",69.89,70.11,69.63,70.01,582200,44.51
"2010-12-20",70.37,73,69.95,70.61,687800,44.89
"2010-12-21",70.62,70.68,70.2,70.46,468900,44.8
"2010-12-22",70.4,70.74,70.33,70.51,190500,44.83
"2010-12-23",70.33,70.67,70.14,70.58,180900,44.87
"2010-12-27",70.51,70.62,70.11,70.17,125100,44.61
"2010-12-28",70.42,70.65,69.67,70.05,215800,44.53
