"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume","AVB.Adjusted"
"2007-11-08",105,106.75,102.49,105.26,1221700,80.61
"2007-11-09",102.83,107.64,102.83,106.38,982900,81.47
"2007-11-12",105.97,106.78,103.77,104.18,1240500,79.78
"2007-11-13",104.71,111.17,104.64,111.17,980000,85.14
"2007-11-14",111.9,112.82,105.79,106.14,918800,81.29
"2007-11-15",104.66,105.9,102.58,104,1168100,79.65
"2007-11-16",104.53,104.53,100.41,101.89,846000,78.03
"2007-11-19",101.07,101.63,98.65,99.39,1375600,76.12
"2007-11-20",99.51,102.15,95.03,97.02,1408500,74.3
"2007-11-21",95.92,97.29,95.04,96.42,1189700,73.84
"2007-11-23",98.16,99.73,97.34,99.33,243200,76.07
"2007-11-26",99.06,99.49,93.25,93.25,1199400,71.41
"2007-11-27",90.66,95.2,90.43,94.83,2112000,72.62
"2007-11-28",96.37,99.59,95.66,98.1,1067600,75.13
"2007-11-29",97.62,98.14,95.82,97.92,1034500,74.99
"2007-11-30",98.43,100.5,98.09,99.44,1613600,76.15
"2007-12-03",99.07,99.41,96.89,98.26,792500,75.25
"2007-12-04",97.87,98.24,94.59,94.6,678000,72.45
"2007-12-05",96.02,100.12,96.02,100.07,822400,76.64
"2007-12-06",99.91,104.16,99.59,104.16,737500,79.77
"2007-12-07",104.44,106.06,102.73,103.2,691400,79.03
"2007-12-10",104.27,106.61,102.01,105.8,621700,81.03
"2007-12-11",106.08,106.14,97.79,97.8,933300,74.9
"2007-12-12",100.2,100.51,94.59,96.43,1477800,73.85
"2007-12-13",95.89,97.17,94.32,96.24,888600,73.7
"2007-12-14",94.81,97.35,93.44,93.5,1101100,71.61
"2007-12-17",93.15,94.13,90.67,91.56,1131600,70.12
"2007-12-18",90.22,92.94,88.94,92.58,1795600,70.9
"2007-12-19",93.42,94.95,92.25,94.63,1110900,72.47
"2007-12-20",95.9,96.12,92.36,93.67,866800,71.74
"2007-12-21",95,96.05,94.35,95.78,946600,73.35
"2007-12-24",95.99,99.54,95.99,99.53,191800,76.22
"2007-12-26",98.8,98.85,95.44,96.07,546400,73.57
"2007-12-27",95.22,95.47,92.48,93.91,630000,72.56
"2007-12-28",94.97,94.99,92.23,92.82,792200,71.72
"2007-12-31",92.47,94.66,91.38,94.14,587900,72.74
"2008-01-02",92.54,93.96,90.15,91.35,1137400,70.58
"2008-01-03",92.76,92.76,87.34,87.83,1364800,67.86
"2008-01-04",85.2,86.86,83.98,84.02,1363000,64.92
"2008-01-07",84.2,87.21,82.53,86.95,1475000,67.18
"2008-01-08",87.46,91.18,84.22,84.67,1624600,65.42
"2008-01-09",84.83,86.93,80.75,86.52,1783500,66.85
"2008-01-10",85.67,89.24,82,86.86,1698200,67.11
"2008-01-11",85.23,89.9,84.13,87.86,1449500,67.89
"2008-01-14",88.4,89.88,83.29,85.78,1423800,66.28
"2008-01-15",84,85.81,82.69,83.55,1208100,64.56
"2008-01-16",83.54,87.67,83.31,86.73,1456000,67.01
"2008-01-17",86.82,88.15,84.88,85.06,1394700,65.72
"2008-01-18",86.5,86.95,81.82,83.18,1765700,64.27
"2008-01-22",79.86,88.11,79.16,86.38,1741800,66.74
"2008-01-23",82.49,95.83,82.49,95.46,3919600,73.76
"2008-01-24",96,96,91.01,92.23,1352700,71.26
"2008-01-25",93.49,95.4,91.62,91.9,1429900,71.01
"2008-01-28",91.12,95.5,90.83,95.5,1374900,73.79
"2008-01-29",95.75,96.35,93.83,95.43,1075100,73.74
"2008-01-30",94.94,97.81,91.78,92.85,1595200,71.74
"2008-01-31",91.56,95.05,91.02,93.78,1505900,72.46
"2008-02-01",94.33,99.99,94,99.2,1455800,76.65
"2008-02-04",97.96,98.49,94.85,95.27,993800,73.61
"2008-02-05",93,95.55,91.39,91.69,1155600,70.85
"2008-02-06",92.96,94,91.62,91.85,1458000,70.97
"2008-02-07",91.84,94.3,89.75,92.94,1816500,71.81
"2008-02-08",92.16,93.76,89.3,90.54,1237800,69.96
"2008-02-11",91.55,91.55,88.24,89.06,951900,68.81
"2008-02-12",90.27,94.08,89.72,93.7,1645500,72.4
"2008-02-13",94.16,95.82,93.07,95.77,1433700,74
"2008-02-14",95.6,95.89,92.75,93.03,978100,71.88
"2008-02-15",92.86,93,90.41,92.1,1163600,71.16
"2008-02-19",93.93,94.5,92.5,94.41,1353600,72.95
"2008-02-20",93.51,95.68,92.77,95.58,1214500,73.85
"2008-02-21",95.72,96.92,92.6,92.87,1032300,71.76
"2008-02-22",93.71,95.74,91.67,95.74,801800,73.98
"2008-02-25",95.54,99.74,93.96,99.74,1218900,77.07
"2008-02-26",99,100.81,97.6,99.1,1221600,76.57
"2008-02-27",98.5,99.63,97.1,97.98,700900,75.71
"2008-02-28",97.19,97.32,95,95.19,910200,73.55
"2008-02-29",94.44,95.37,92.23,92.43,1045900,71.42
"2008-03-03",92.67,93.05,90.36,92.98,1143400,71.84
"2008-03-04",91.78,93.74,90.72,92.98,1020900,71.84
"2008-03-05",93.05,95.07,92.26,93.67,984100,72.38
"2008-03-06",92.85,93.31,90.5,90.75,1334800,70.12
"2008-03-07",90.25,93.1,89.33,92.25,1179600,71.28
"2008-03-10",92,92.21,88.66,88.96,1399600,68.74
"2008-03-11",91.8,95.6,89.87,95.15,1526000,73.52
"2008-03-12",95.01,98,94.11,94.86,1268100,73.3
"2008-03-13",92.89,96.75,91.17,95.99,1237300,74.17
"2008-03-14",95.99,96.86,91.05,94.31,1614000,72.87
"2008-03-17",92.4,96.83,92.06,95.47,2048900,73.77
"2008-03-18",96.57,99.8,95.85,99.8,2081100,77.11
"2008-03-19",100,103.03,98.62,100.82,1828200,77.9
"2008-03-20",101.06,104.64,100.63,104.27,1546400,80.57
"2008-03-24",104.51,105.98,104.51,105.29,1264000,81.35
"2008-03-25",105.25,105.6,102.47,104.45,910900,80.71
"2008-03-26",104.13,104.35,100.48,101.11,1511800,78.12
"2008-03-27",102.59,102.67,98.16,98.32,1482000,75.97
"2008-03-28",97.18,97.35,95,95.1,1948400,74.15
"2008-03-31",96.63,99.68,95.91,96.52,1658400,75.26
"2008-04-01",98.48,102.63,98.48,102.24,1516500,79.72
"2008-04-02",103.76,103.76,100.51,101.19,1219400,78.9
"2008-04-03",100.84,104.33,100.1,104.24,1062400,81.28
"2008-04-04",104.18,105.45,102.83,104.01,1433700,81.1
"2008-04-07",105,105.93,103.51,105.55,1072100,82.3
"2008-04-08",105.01,105.01,102.21,102.24,1094100,79.72
"2008-04-09",101.51,102.34,97.48,97.66,1178400,76.15
"2008-04-10",98.14,98.44,96.27,97.27,1735500,75.85
"2008-04-11",96.1,97.52,95.35,96.33,979500,75.11
"2008-04-14",95.7,97.56,95.34,95.63,903600,74.57
"2008-04-15",96.63,97.11,95.19,97.11,782300,75.72
"2008-04-16",98.24,99.77,97.49,99.65,1184000,77.7
"2008-04-17",99.15,100.93,98.63,100.77,1021800,78.58
"2008-04-18",103.23,103.28,100.14,101.11,944100,78.84
"2008-04-21",100.4,101.67,100.09,101.13,747100,78.86
"2008-04-22",101.2,102.7,100.06,100.78,917700,78.58
"2008-04-23",101.57,103.42,100.64,102.94,648700,80.27
"2008-04-24",103.17,105.22,102.53,105.13,972200,81.98
"2008-04-25",104.84,105.38,103.57,104.88,974700,81.78
"2008-04-28",104.97,105.26,103.58,104.46,838800,81.45
"2008-04-29",104.36,104.36,101.95,103.53,922600,80.73
"2008-04-30",103.98,104.73,99.75,99.75,910100,77.78
"2008-05-01",102.53,104.11,99.75,104,1060100,81.09
"2008-05-02",105.16,107.37,104.55,105.37,1246200,82.16
"2008-05-05",104.42,105.41,103.7,104.03,646200,81.12
"2008-05-06",103.15,103.98,101.94,103.98,1034700,81.08
"2008-05-07",104.52,104.52,99.44,99.66,925700,77.71
"2008-05-08",99.9,101.15,98.59,99.87,838200,77.87
"2008-05-09",99.1,100.3,98.73,99.41,460600,77.52
"2008-05-12",100.25,102.08,98.93,101.73,673200,79.32
"2008-05-13",102.03,102.7,100.51,102.47,645400,79.9
"2008-05-14",103.02,105,102.37,103.92,969000,81.03
"2008-05-15",103.7,105.24,102.51,105.24,953900,82.06
"2008-05-16",105.09,105.97,103.68,104.19,810200,81.24
"2008-05-19",104.61,105.9,103.79,104.9,612300,81.8
"2008-05-20",104.4,105.01,103.31,104.07,624200,81.15
"2008-05-21",104.07,104.67,100.63,101.17,1037300,78.89
"2008-05-22",101.12,101.12,99.26,99.66,720000,77.71
"2008-05-23",99.08,99.43,97.9,98.49,759000,76.8
"2008-05-27",98.91,100.75,98.75,100.21,517900,78.14
"2008-05-28",100.8,101.78,100.08,101.1,498100,78.83
"2008-05-29",101.08,102.66,100.59,102.61,736400,80.01
"2008-05-30",102.64,102.85,100.88,101.2,702400,78.91
"2008-06-02",101.22,101.22,97.82,98.83,808300,77.06
"2008-06-03",99.55,100.15,98.38,99.89,706800,77.89
"2008-06-04",99.2,101.4,98.59,100.22,967300,78.15
"2008-06-05",101.05,105.09,100.75,105.09,951900,81.94
"2008-06-06",103.56,104.26,98.85,99.15,879500,77.31
"2008-06-09",100.1,101.03,96.45,96.62,1146600,75.34
"2008-06-10",95.89,98.24,95.01,98.14,1112000,76.52
"2008-06-11",97.75,98.28,95.48,95.63,1218700,74.57
"2008-06-12",96.8,97.99,95.04,96.27,1015600,75.07
"2008-06-13",97.31,98.46,95.44,98.46,719000,76.77
"2008-06-16",97.44,99.51,97,99.51,668400,77.59
"2008-06-17",99.75,99.75,95.48,95.49,979300,74.46
"2008-06-18",95.01,95.61,93.8,94.73,969000,73.87
"2008-06-19",94.29,96.45,94.18,96.42,1061800,75.18
"2008-06-20",96.16,96.16,92.41,92.69,1136700,72.28
"2008-06-23",92.93,93.38,90.14,90.69,929000,70.72
"2008-06-24",90.72,91.6,89.1,90.64,1281200,70.68
"2008-06-25",91.4,94.31,90.96,92.34,1157000,72
"2008-06-26",89.62,90.93,88.57,88.6,984400,69.76
"2008-06-27",89.1,89.78,87.61,88.21,1239200,69.45
"2008-06-30",88.36,90.87,87.64,89.16,855100,70.2
"2008-07-01",87.61,89.22,86.01,89.13,1637400,70.18
"2008-07-02",89.1,90.19,87.44,87.65,785200,69.01
"2008-07-03",89.33,89.33,86.34,86.97,447200,68.48
"2008-07-07",87.58,88.54,84.72,86.25,1302900,67.91
"2008-07-08",85.59,93.82,85.59,91.81,1795000,72.29
"2008-07-09",91.61,92.34,84.33,84.86,1645900,66.82
"2008-07-10",84.48,89.21,84.1,87.32,1569900,68.75
"2008-07-11",86,89.9,83.68,87.24,1796800,68.69
"2008-07-14",88.86,88.86,83.73,84.16,1388700,66.26
"2008-07-15",83.2,87.7,82.93,84.85,1803900,66.81
"2008-07-16",85.41,92.53,83.51,92.01,1772900,72.45
"2008-07-17",92.98,94.42,89.65,93.22,1832700,73.4
"2008-07-18",92.53,94.48,91.57,93.32,1321900,73.48
"2008-07-21",92.86,93.95,91.51,93.08,1009300,73.29
"2008-07-22",92.57,95.88,90.03,95.76,1545500,75.4
"2008-07-23",95.76,101.91,95.76,100.69,2713400,79.28
"2008-07-24",100.04,100.11,91.72,92.11,2236500,72.52
"2008-07-25",93.04,97.41,92.45,96.03,1522700,75.61
"2008-07-28",95.97,99.99,94.45,95.35,2227600,75.08
"2008-07-29",96.06,102.44,95.5,102.25,1749200,80.51
"2008-07-30",102.45,104.99,99.92,103.08,3011900,81.16
"2008-07-31",98.21,101.06,97.9,99.71,1882100,78.51
"2008-08-01",101.93,101.93,95.54,99.27,1383200,78.16
"2008-08-04",99.09,99.97,96.69,97.16,1503200,76.5
"2008-08-05",99.36,102,98.26,101.86,1803100,80.2
"2008-08-06",101.85,102.66,99.45,101.67,1092300,80.05
"2008-08-07",100.1,100.79,96.8,97.85,1349500,77.04
"2008-08-08",97.9,105.51,97.31,104.53,2189400,82.3
"2008-08-11",104.51,109.48,104.23,107.7,2387300,84.8
"2008-08-12",104.37,106.14,101.55,103.37,1683300,81.39
"2008-08-13",103.49,104.53,100.06,101.37,1412300,79.82
"2008-08-14",100.3,102.87,100,101.9,1176700,80.23
"2008-08-15",104.79,105.1,100.72,101.71,1106200,80.08
"2008-08-18",101.44,102.56,97.91,98.71,1072200,77.72
"2008-08-19",98.25,98.25,96.13,97.69,1050700,76.92
"2008-08-20",98.43,98.85,95.39,98.11,1116700,77.25
"2008-08-21",96.08,99.07,95.89,98.23,1022700,77.34
"2008-08-22",98.33,101.56,97.69,101.13,1062400,79.63
"2008-08-25",100.61,100.61,96.84,97.27,689800,76.59
"2008-08-26",96.8,98.77,95.99,98.39,702800,77.47
"2008-08-27",97.95,100,97.37,99.15,586900,78.07
"2008-08-28",99.41,101.28,99.01,101.14,1075000,79.63
"2008-08-29",100.84,101.86,99.14,100,901700,78.74
"2008-09-02",102.69,104.13,97.88,99.92,1222700,78.67
"2008-09-03",99.36,101.97,99.21,101.91,1014600,80.24
"2008-09-04",100.25,102.1,98.3,98.64,1441600,77.67
"2008-09-05",97.6,100.1,96.57,100.02,903000,78.75
"2008-09-08",104.99,105.99,101.23,104.46,2516600,82.25
"2008-09-09",103.96,104.39,98.5,99.39,1988800,78.26
"2008-09-10",99.34,101.21,98.23,100.15,1690500,78.85
"2008-09-11",99.3,100.13,97.35,99.45,1509900,78.3
"2008-09-12",97.9,100.22,97.81,100.16,1023200,78.86
"2008-09-15",97.12,97.9,90.82,91.41,2899300,71.97
"2008-09-16",88.16,98.5,88.16,96.86,2938800,76.26
"2008-09-17",94.45,96.64,89.1,90.72,2610100,71.43
"2008-09-18",91.55,101.74,88.75,98.46,3842600,77.52
"2008-09-19",104.96,113.07,96.02,103.9,4189300,81.81
"2008-09-22",102.65,103.38,92.68,95.16,1501200,74.93
"2008-09-23",94.72,98.4,93.77,94.8,1453700,74.64
"2008-09-24",96.24,96.24,92.39,93.5,1324600,73.62
"2008-09-25",94.9,97.92,93.17,96.45,1408800,75.94
"2008-09-26",94.32,99.84,93.63,99.26,1744400,78.15
"2008-09-29",97.56,97.56,91,93.3,2181600,73.46
"2008-09-30",95.24,98.87,91.4,98.42,1782900,77.49
"2008-10-01",96.96,96.96,93.29,96.45,1498100,76.64
"2008-10-02",95,95.49,89.5,89.63,2172800,71.22
"2008-10-03",92.78,93.93,85,86.14,2317800,68.44
