"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2008-10-07",55.16,55.45,50.34,50.66,2503700,43.37
"2008-10-08",49.7,53.99,49.49,50.97,2562900,43.63
"2008-10-09",51.07,52.47,47.18,47.27,2108000,40.47
"2008-10-10",45.97,48.96,43.63,46.3,2791100,39.64
"2008-10-13",47.75,51.22,46.61,50.99,1805900,43.65
"2008-10-14",52.34,53.04,49.05,50.27,2107000,43.03
"2008-10-15",49.48,49.48,43.86,44.49,1823200,38.09
"2008-10-16",43.46,51.09,43.46,51.09,4041300,43.74
"2008-10-17",47.41,50.79,47.41,48.17,2057900,41.24
"2008-10-20",48.73,50.5,48.01,50.5,1250600,43.23
"2008-10-21",51.48,52.06,49.38,49.66,1794100,42.51
"2008-10-22",49.36,49.36,45.06,46.7,1973900,39.98
"2008-10-23",47.2,48.94,44.22,46.35,2063600,39.68
"2008-10-24",43.38,46.52,43.02,45.11,1456900,38.62
"2008-10-27",44.59,46.73,43.84,43.88,1434100,37.56
"2008-10-28",45.21,47.88,43,47.85,1952000,40.96
"2008-10-29",46.18,49.78,46.18,47.87,1685700,40.98
"2008-10-30",49.09,49.6,47.16,49.2,983600,42.12
"2008-10-31",48.9,50.25,48.19,49.58,1175700,42.44
"2008-11-03",49.24,50.66,49.1,50.03,778900,42.83
"2008-11-04",51,51.92,50.4,51.52,1264400,44.1
"2008-11-05",50.88,51.45,48.12,48.22,1402600,41.28
"2008-11-06",47.73,48.35,44.28,44.67,2538200,38.67
"2008-11-07",44.9,46.86,44.52,46.81,1534600,40.52
"2008-11-10",48.32,48.48,45.31,46.05,1076000,39.86
"2008-11-11",46.62,46.76,44.65,45.87,1948400,39.7
"2008-11-12",45,45.75,44.07,44.19,1705500,38.25
"2008-11-13",44.55,48.52,43.6,48.38,2134600,41.88
"2008-11-14",47.86,47.97,45.25,45.38,1189400,39.28
"2008-11-17",45.07,46.42,44.1,44.11,1519100,38.18
"2008-11-18",44,45.47,43.01,44.35,1490300,38.39
"2008-11-19",43.98,44.74,41,41.19,1595600,35.65
"2008-11-20",40.77,42.1,36.86,36.98,2712400,32.01
"2008-11-21",37.87,38.73,35.94,38.52,3394900,33.34
"2008-11-24",39.15,42.77,39.15,41.69,2353100,36.09
"2008-11-25",42.28,43.41,40.82,42.53,1465000,36.81
"2008-11-26",42,43.92,41.17,43.89,1067100,37.99
"2008-11-28",43.59,44.27,43.2,43.92,472900,38.02
"2008-12-01",41.75,42.49,39.45,39.59,1732700,34.27
"2008-12-02",40.16,41.85,39.9,41.8,1254300,36.18
"2008-12-03",41,43.39,40.45,43.09,1345500,37.3
"2008-12-04",41.81,43.37,41.39,42.07,1201400,36.42
"2008-12-05",41.59,43.64,40.04,43.5,1325100,37.65
"2008-12-08",44.43,46.33,44.35,45.81,1597600,39.65
"2008-12-09",45.37,46.47,44.34,44.49,1181700,38.51
"2008-12-10",45,45.46,43.75,44.75,1168500,38.73
"2008-12-11",44.67,45.13,42.12,42.61,1301100,36.88
"2008-12-12",42.09,44.4,40.99,43.89,1394300,37.99
"2008-12-15",44.38,44.69,42.77,43.55,1236800,37.7
"2008-12-16",43.93,46.15,43.7,45.95,1296900,39.77
"2008-12-17",45.4,46,44.08,44.5,1612000,38.52
"2008-12-18",44.46,44.78,42.55,42.7,1514500,36.96
"2008-12-19",43,43.98,41.3,41.46,2795700,35.89
"2008-12-22",42.04,42.27,39.12,39.71,4060400,34.37
"2008-12-23",40.34,40.54,38.7,38.93,2367700,33.7
"2008-12-24",39.1,39.35,38.71,38.83,1035800,33.61
"2008-12-26",39.25,39.52,38.34,39.39,853000,34.1
"2008-12-29",39.57,39.57,38.37,38.83,1429800,33.61
"2008-12-30",39.01,40.47,38.75,40.47,1509000,35.03
"2008-12-31",40.28,42.64,40.28,42.43,1853300,36.73
"2009-01-02",42.45,43.73,41.7,43.55,1276100,37.7
"2009-01-05",43.22,43.82,42.5,43.28,1188100,37.46
"2009-01-06",43.7,45.45,43.52,45.03,1607300,38.98
"2009-01-07",44.77,44.77,42.94,43.14,1503300,37.34
"2009-01-08",42.94,44.23,42.5,44.19,1041900,38.25
"2009-01-09",44.44,44.75,43.03,43.31,1169900,37.49
"2009-01-12",43.11,43.32,42.25,42.58,1034900,36.86
"2009-01-13",42.31,42.45,41.31,41.7,1915600,36.09
"2009-01-14",40.83,41.42,40.01,40.27,1567500,34.86
"2009-01-15",40.21,42.22,39.64,41.41,2633900,35.84
"2009-01-16",39.64,41.96,39.64,41.43,2620400,35.86
"2009-01-20",41.08,41.42,39.35,39.6,3760500,34.28
"2009-01-21",40.32,40.6,38.78,40.46,3424700,35.02
"2009-01-22",39.25,40.03,38.79,39.29,2631000,34.01
"2009-01-23",38.51,39.85,38.2,39.21,2205000,33.94
"2009-01-26",39.51,40.23,38.37,38.85,1663800,33.63
"2009-01-27",39.16,39.74,38.31,39.13,2046900,33.87
"2009-01-28",39.99,41.26,39.64,40.91,1757800,35.41
"2009-01-29",40.43,40.79,39.24,39.38,1315500,34.09
"2009-01-30",39.33,39.5,37.41,37.58,1898900,32.53
"2009-02-02",37.17,37.94,36.4,37.49,1372100,32.45
"2009-02-03",37.68,38.05,36.84,37,3656400,32.03
"2009-02-04",37.31,37.32,36.38,36.47,2903900,31.57
"2009-02-05",36.41,38.03,36.09,37.66,2400900,32.6
"2009-02-06",37.64,39.32,37.64,39.12,1426000,33.86
"2009-02-09",39.05,40.15,38.68,39.26,1441300,33.98
"2009-02-10",38.97,39.7,37.12,37.39,2052700,32.36
"2009-02-11",37.69,37.95,36.87,37.36,1262700,32.34
"2009-02-12",37,37.09,35.62,36.92,1788800,31.96
"2009-02-13",36.71,36.86,34,36.21,1573200,31.34
"2009-02-17",35.28,35.98,34.38,34.38,2011700,29.76
"2009-02-18",34.27,34.63,33.38,34.09,1895600,29.97
"2009-02-19",34.8,35.09,33.24,33.43,2384900,29.39
"2009-02-20",33.07,33.79,31.6,32.67,3215100,28.72
"2009-02-23",33.25,33.25,31.04,31.08,2567500,27.32
"2009-02-24",31.31,32.71,30.8,32.48,2375800,28.55
"2009-02-25",32.59,32.78,31.64,31.98,2188900,28.11
"2009-02-26",32.05,32.91,31.34,31.44,1737400,27.64
"2009-02-27",30.85,31.9,30.65,31.06,1848500,27.31
"2009-03-02",30.68,30.93,29.89,30.04,2651700,26.41
"2009-03-03",30.54,30.75,29.61,29.8,3638000,26.2
"2009-03-04",30.24,31.41,30.05,30.92,2610300,27.18
"2009-03-05",30,30.17,28.16,28.48,3574600,25.04
"2009-03-06",28.72,29.76,28.16,29.42,4808400,25.86
"2009-03-09",29.19,29.88,28.98,29.5,3341100,25.93
"2009-03-10",29.85,32.72,29.85,32.69,3112400,28.74
"2009-03-11",32.97,33.22,32.45,32.91,2650200,28.93
"2009-03-12",32.84,34.56,32.59,34.34,3885900,30.19
"2009-03-13",33.07,33.37,32.63,33,4390400,29.01
"2009-03-16",33.36,33.73,32.79,32.94,2949800,28.96
"2009-03-17",32.93,33.97,32.41,33.97,2004900,29.86
"2009-03-18",34.08,35.31,33.32,34.99,2301100,30.76
"2009-03-19",35.33,35.55,34.74,35.1,2060200,30.86
"2009-03-20",35.16,35.42,34.49,34.71,3269100,30.51
"2009-03-23",35.43,37,35.03,37,1550400,32.53
"2009-03-24",36.59,37.36,36.33,36.59,1644400,32.17
"2009-03-25",36.59,38.06,35.66,36.88,2391800,32.42
"2009-03-26",37.22,39.05,37.19,38.71,2068300,34.03
"2009-03-27",37.75,37.75,35.5,36.8,3932100,32.35
"2009-03-30",36.34,36.94,35.33,36.87,3929700,32.41
"2009-03-31",37.3,37.53,36.4,36.9,2135700,32.44
"2009-04-01",36.44,39.63,35.61,39.47,3666600,34.7
"2009-04-02",40.3,42.4,39.8,42.05,3758700,36.97
"2009-04-03",41.12,44.56,41.02,44.56,4038400,39.17
"2009-04-06",44.18,44.43,43.66,44.27,2987200,38.92
"2009-04-07",43.49,43.74,41.91,42.8,3477900,37.63
"2009-04-08",42.97,43.16,41.88,42.87,2665000,37.69
"2009-04-09",43.77,45.02,43.44,44.97,1676000,39.53
"2009-04-13",44.65,45.55,43.55,45.13,1651200,39.68
"2009-04-14",44.72,45.41,43.78,44.13,1663900,38.8
"2009-04-15",44.05,44.44,43.66,44.44,2607900,39.07
"2009-04-16",44.67,46.3,44.06,46.11,3027000,40.54
"2009-04-17",46.14,46.15,44.15,45.29,2298300,39.82
"2009-04-20",45.33,45.33,42.6,43.19,2930600,37.97
"2009-04-21",42.8,43.73,42.25,43.64,2538800,38.37
"2009-04-22",42.8,45.28,42.8,44.08,1912200,38.75
"2009-04-23",44.1,44.46,42.32,43.45,1723700,38.2
"2009-04-24",43.44,45.78,43.44,45.46,2059300,39.97
"2009-04-27",44.81,44.97,43.55,44.03,1638600,38.71
"2009-04-28",43.52,43.77,42.9,43.24,1799500,38.01
"2009-04-29",43.77,44.61,43.76,44.12,1377100,38.79
"2009-04-30",44.64,45.07,43.61,44.05,1654200,38.73
"2009-05-01",43.98,44.54,43.56,44.02,1482100,38.7
"2009-05-04",44.24,46.58,43.97,46.5,1815800,40.88
"2009-05-05",46.71,46.75,45.18,45.77,1608900,40.24
"2009-05-06",46.23,46.32,45.11,45.93,1847500,40.38
"2009-05-07",45.76,46.91,43.27,43.73,2655200,38.89
"2009-05-08",44.08,44.78,43.53,44.72,1907400,39.77
"2009-05-11",44.1,44.31,43.08,43.54,1690600,38.72
"2009-05-12",43.89,44.1,42.86,43.69,1640000,38.86
"2009-05-13",42.96,43,41.77,41.89,2117600,37.26
"2009-05-14",41.73,42.92,41.63,42.41,1240400,37.72
"2009-05-15",42.63,43.18,41.82,42.2,1520800,37.53
"2009-05-18",42.63,44.14,42.56,44.08,1218600,39.2
"2009-05-19",44,45.04,43.75,44.66,1577200,39.72
"2009-05-20",44.96,46.79,44.71,45.5,2836300,40.47
"2009-05-21",45.1,45.1,43.58,44.03,1990100,39.16
"2009-05-22",44.2,45.14,43.95,44.63,906100,39.69
"2009-05-26",44.44,45.27,43.84,45.02,2028000,40.04
"2009-05-27",45,45.32,43.72,43.81,1213000,38.96
"2009-05-28",44.34,44.47,42.94,44.09,1537100,39.21
"2009-05-29",44.46,44.47,43.51,44.47,1270800,39.55
"2009-06-01",45.17,46.29,44.83,46.04,1187900,40.95
"2009-06-02",45.84,46.03,45.5,45.63,1532700,40.58
"2009-06-03",45.25,45.4,43.91,44.6,1651700,39.67
"2009-06-04",44.76,45.25,44.28,45,1302500,40.02
"2009-06-05",45.86,46,44.55,45.04,1732400,40.06
"2009-06-08",44.86,45,43.4,44.29,1580500,39.39
"2009-06-09",44.51,45.7,44.16,45.52,1510800,40.49
"2009-06-10",45.87,45.9,44.24,45.25,2081600,40.25
"2009-06-11",45.36,46.06,45.3,45.45,1208000,40.42
"2009-06-12",45.76,45.76,44.88,45.13,2123800,40.14
"2009-06-15",44.94,44.94,43.7,43.98,1216500,39.12
"2009-06-16",44.34,44.34,43,43.07,1704700,38.31
"2009-06-17",42.93,43.64,42.4,43.24,1454100,38.46
"2009-06-18",43.3,43.92,42.85,42.94,1380200,38.19
"2009-06-19",43.17,43.29,42.5,42.82,2059600,38.08
"2009-06-22",42.29,42.51,41.63,41.66,2125900,37.05
"2009-06-23",41.69,41.74,41.09,41.51,2029000,36.92
"2009-06-24",41.97,43.4,41.75,42.97,2062100,38.22
"2009-06-25",42.83,43.86,42.5,43.84,1367600,38.99
"2009-06-26",43.74,43.97,43.35,43.57,1763900,38.75
"2009-06-29",43.57,44.16,43.11,43.86,1134500,39.01
"2009-06-30",43.95,44.43,43.45,43.9,1695900,39.04
"2009-07-01",43.86,44.3,43.48,43.78,1260000,38.94
"2009-07-02",43.06,43.78,42.15,42.15,1084000,37.49
"2009-07-06",42,43.12,41.58,43.02,1383600,38.26
"2009-07-07",43.05,43.05,41.57,41.62,1508800,37.02
"2009-07-08",41.71,42.08,41.37,41.82,1749900,37.19
"2009-07-09",42.14,42.42,41.67,42.11,885100,37.45
"2009-07-10",41.77,42.25,41.21,41.94,1323600,37.3
"2009-07-13",41.88,43.68,41.59,43.57,1995400,38.75
"2009-07-14",43.56,44.41,43.33,44.13,1331200,39.25
"2009-07-15",44.79,46.11,44.77,46.1,2016700,41
"2009-07-16",47.15,49.5,47.1,49.27,5019300,43.82
"2009-07-17",48.85,50.15,48.81,49.56,2407200,44.08
"2009-07-20",49.93,50.67,49.54,50.45,2194200,44.87
"2009-07-21",50.93,51.9,49.37,50.43,2239600,44.85
"2009-07-22",50.02,51.34,50.01,50.75,1275700,45.14
"2009-07-23",50.75,52.57,50.52,52.47,2134200,46.67
"2009-07-24",52.13,52.56,51.44,52.56,1116800,46.75
"2009-07-27",52.45,53.3,52.22,52.81,1026900,46.97
"2009-07-28",52.35,52.74,51.8,52.55,982900,46.74
"2009-07-29",52.01,52.49,51.29,51.88,1505200,46.14
"2009-07-30",52.43,54.85,52.33,54.41,2489700,48.39
"2009-07-31",54.2,55.61,54.2,55,1793100,48.92
"2009-08-03",55.6,56.92,55.35,56.82,1447600,50.54
"2009-08-04",56.34,57.08,56.18,57.04,1416400,50.73
"2009-08-05",57.27,57.45,56.12,57.11,1725700,50.79
"2009-08-06",57.06,57.14,55.86,56.16,1663900,50.42
"2009-08-07",56.64,56.64,55.56,56.2,2223500,50.45
"2009-08-10",56.05,56.05,54.83,55.09,1738500,49.46
"2009-08-11",54.77,55.45,54.57,55.15,1501700,49.51
"2009-08-12",54.9,55.92,54.8,55.53,2724400,49.85
"2009-08-13",55.56,56.41,55.38,55.9,1847500,50.18
"2009-08-14",55.57,55.9,54.02,54.58,1142400,49
"2009-08-17",54.18,54.18,52.75,52.97,1657100,47.55
"2009-08-18",53.04,53.43,52.34,52.95,1658400,47.53
"2009-08-19",52.38,53.82,52.25,53.43,2072900,47.97
"2009-08-20",53.43,53.73,52.65,53.15,1172000,47.71
"2009-08-21",53.63,54.7,53.31,54.55,1141600,48.97
"2009-08-24",54.88,55.23,54.01,54.15,969400,48.61
"2009-08-25",54.6,55.43,54.16,54.29,1315700,48.74
"2009-08-26",54.16,54.75,53.5,53.74,1317700,48.24
"2009-08-27",53.66,55.41,53.06,55.19,2583800,49.55
"2009-08-28",55.54,56.42,54.9,55.94,2482000,50.22
"2009-08-31",55.24,55.47,54.77,55.4,1290600,49.73
"2009-09-01",55.07,55.86,53.93,54.08,1745000,48.55
"2009-09-02",53.82,54.19,53.31,53.93,1682300,48.41
"2009-09-03",54.3,54.3,53.47,54.11,1387700,48.58
"2009-09-04",54.06,54.92,53.5,54.89,1574900,49.28
"2009-09-08",55.14,55.6,54.76,55.39,2267000,49.73
"2009-09-09",55.29,56.64,54.84,56.46,2543800,50.69
"2009-09-10",56.4,57.08,55.91,56.99,2387700,51.16
"2009-09-11",57.22,57.65,56.72,57.3,1578900,51.44
"2009-09-14",56.94,57.95,56.52,57.91,1066500,51.99
"2009-09-15",57.92,59.6,57.58,59.41,2242200,53.33
"2009-09-16",60.05,60.45,59.67,59.89,2886500,53.77
"2009-09-17",59.95,60.23,58.86,59.28,2368500,53.22
"2009-09-18",59.41,60.01,59.33,59.65,1771700,53.55
"2009-09-21",58.82,60.01,58.43,59.69,1969400,53.59
"2009-09-22",60.43,60.44,59.85,60.12,1326900,53.97
"2009-09-23",60.38,60.38,59,59.05,1784600,53.01
"2009-09-24",59.33,59.63,58.17,58.52,1054800,52.54
"2009-09-25",58.1,58.52,57.33,57.65,1198100,51.75
"2009-09-28",58.05,59.25,57.81,58.76,1046100,52.75
"2009-09-29",58.75,59.51,58.62,58.74,1009600,52.73
"2009-09-30",58.78,59.03,57.63,58.21,2281700,52.26
"2009-10-01",58.2,58.34,56.49,56.56,1496500,50.78
"2009-10-02",55.94,56.93,55.27,56.26,1178800,50.51
"2009-10-05",56.52,57.64,56.2,57.54,1069100,51.66
"2009-10-06",58.03,58.81,57,58.03,1397300,52.1
"2009-10-07",58.03,58.32,57.45,57.87,679900,51.95
"2009-10-08",58.47,59.37,58.29,59.22,1211700,53.16
"2009-10-09",59.29,59.76,58.92,59.75,785000,53.64
"2009-10-12",59.74,60.48,59.69,60.11,815000,53.96
"2009-10-13",59.8,60.71,59.72,60.64,818200,54.44
"2009-10-14",61.11,61.85,61.06,61.53,1440900,55.24
"2009-10-15",59.85,62.23,59.85,62.08,2651100,55.73
"2009-10-16",61.89,61.89,60.73,61.3,1879100,55.03
"2009-10-19",61.17,62.31,61.17,61.97,1077100,55.63
"2009-10-20",61.92,61.92,60.62,61.21,1011200,54.95
"2009-10-21",61.21,61.87,59.54,59.67,1579700,53.57
"2009-10-22",59.67,60.86,58.95,60.68,1259100,54.47
"2009-10-23",60.77,60.97,59.02,59.34,1098400,53.27
"2009-10-26",59.34,60.14,57.82,58.21,1436900,52.26
"2009-10-27",58.07,59.47,58.02,59,1782600,52.97
"2009-10-28",58.99,59.57,57.13,57.25,2230500,51.4
"2009-10-29",57.89,58.46,57.55,58.41,2080500,52.44
"2009-10-30",58.2,58.2,55.89,56.43,1626500,50.66
"2009-11-02",56.74,57.74,56.21,57.49,1930800,51.61
"2009-11-03",56.99,58.14,56.17,57.98,1301300,52.05
"2009-11-04",58.53,58.7,57.53,57.66,1112800,51.76
"2009-11-05",58.15,59.35,57.95,59.19,1016600,53.14
"2009-11-06",58.61,59.51,58.21,58.8,1064900,53.27
"2009-11-09",59.27,60.87,59.16,60.87,1078800,55.15
"2009-11-10",60.71,61.25,60.41,60.97,1081000,55.24
"2009-11-11",61.49,61.73,60.79,61.18,818200,55.43
"2009-11-12",61.1,61.2,59.81,60.23,1087700,54.57
"2009-11-13",60.4,60.86,59.76,60.36,966300,54.69
"2009-11-16",60.72,61.66,60.72,61.43,929000,55.66
"2009-11-17",61.13,61.5,60.78,61.26,741000,55.5
"2009-11-18",61.39,61.39,60.08,60.51,1103700,54.82
"2009-11-19",60.17,60.17,58.91,59.48,1223300,53.89
"2009-11-20",59.09,59.53,58.67,59.25,1092600,53.68
"2009-11-23",59.79,61.15,59.79,60.53,1967800,54.84
"2009-11-24",60.39,60.85,59.69,59.85,1348000,54.22
"2009-11-25",60.12,60.97,59.91,60.67,587000,54.97
"2009-11-27",59.24,60.07,58.81,59.33,409000,53.75
"2009-11-30",59.33,59.9,58.85,59.43,918200,53.84
"2009-12-01",60.05,60.37,59.75,59.91,930700,54.28
"2009-12-02",60,61.07,59.68,60.55,1076400,54.86
"2009-12-03",60.76,60.81,59.55,59.59,827400,53.99
"2009-12-04",60.48,60.64,59.7,60.38,2130200,54.7
"2009-12-07",60.17,60.81,60.08,60.33,971700,54.66
"2009-12-08",59.87,59.98,58.65,58.84,1177600,53.31
"2009-12-09",58.95,59.49,58.15,59.44,1017500,53.85
"2009-12-10",59.72,60.13,58.72,59.04,1242100,53.49
"2009-12-11",59.42,59.42,58.03,58.51,1439600,53.01
"2009-12-14",58.9,59.76,58.65,59.69,1074800,54.08
"2009-12-15",59.35,59.98,58.68,58.81,1044100,53.28
"2009-12-16",59.21,59.61,58.96,59.28,874100,53.71
"2009-12-17",59.2,59.2,58.23,58.31,662200,52.83
"2009-12-18",58.74,58.9,57.65,57.78,1521800,52.35
"2009-12-21",58.08,58.65,57.85,58.23,683000,52.76
"2009-12-22",58.54,59.07,58.24,58.87,697700,53.34
"2009-12-23",59.14,59.33,58.44,59.3,626300,53.73
"2009-12-24",59.35,59.74,59.25,59.57,165800,53.97
"2009-12-28",59.5,60.16,59.36,59.79,1140500,54.17
"2009-12-29",59.75,60,59.17,59.36,861700,53.78
"2009-12-30",59.02,59.66,58.75,59.26,703900,53.69
"2009-12-31",59.45,59.45,58.49,58.54,384700,53.04
"2010-01-04",59.3,60.64,58.99,60.6,1206700,54.9
"2010-01-05",60.4,61.14,60.4,60.64,1129300,54.94
"2010-01-06",60.42,62,60.42,61.59,1514400,55.8
"2010-01-07",61.35,61.89,60.89,61.87,1219800,56.05
"2010-01-08",61.72,61.99,61.27,61.75,1348200,55.95
"2010-01-11",61.88,62,61.29,61.68,994400,55.88
"2010-01-12",61.01,61.32,60.16,60.83,1114700,55.11
"2010-01-13",61.18,61.52,60.42,61.47,859200,55.69
"2010-01-14",62.81,63.68,62.43,62.79,2242700,56.89
"2010-01-15",62.74,62.97,61.66,62.05,1503000,56.22
"2010-01-19",62.21,64.26,62.02,64.23,1666400,58.19
"2010-01-20",63.85,64.12,62.27,63.13,2117600,57.2
"2010-01-21",61.26,62.47,59,59.1,5474500,53.54
"2010-01-22",59.3,60.94,58.91,59.92,2977500,54.29
"2010-01-25",60.75,61.43,60.54,61.08,1784200,55.34
"2010-01-26",60.69,61.3,59.85,59.97,1323800,54.33
"2010-01-27",59.82,59.82,58.39,59.51,1630800,53.92
"2010-01-28",59.82,59.82,57.78,59.01,1497200,53.46
"2010-01-29",59.36,60.16,58.64,58.68,2003400,53.16
"2010-02-01",59.27,59.54,58.87,59.52,1364400,53.93
"2010-02-02",59.45,60.5,58.89,59.94,1084200,54.31
"2010-02-03",59.59,60.35,58.85,59.21,1481800,53.64
"2010-02-04",58.7,58.95,57.55,57.73,1446400,52.3
"2010-02-05",57.64,58.5,56.96,58.34,2170000,52.86
"2010-02-08",58.36,58.85,57.41,57.68,1537000,52.26
"2010-02-09",58.37,59.53,57.94,59.16,1532200,53.6
"2010-02-10",59.1,60.06,58.36,59.75,1790400,54.13
"2010-02-11",59.58,60.4,59.03,60.23,1437300,54.57
"2010-02-12",59.44,60.74,59.08,60.36,1475700,54.69
"2010-02-16",60.99,61.42,60.52,61.42,956500,55.65
"2010-02-17",61.29,61.95,61.07,61.81,1423800,56.5
"2010-02-18",61.76,62.26,61.45,62.11,996100,56.77
"2010-02-19",61.78,62.88,61.5,62.48,1006700,57.11
"2010-02-22",62.54,62.72,61.72,62.07,843400,56.73
"2010-02-23",61.91,62.06,61.06,61.45,989300,56.17
"2010-02-24",61.72,62.48,61.32,62.1,1188400,56.76
"2010-02-25",61.14,61.25,60.53,61.06,1883200,55.81
"2010-02-26",60.99,61.76,60.86,61.54,1012900,56.25
"2010-03-01",61.69,62.44,61.25,62.38,1014800,57.02
"2010-03-02",62.65,62.87,62.11,62.6,1241500,57.22
"2010-03-03",62.78,63.78,62.55,62.94,1224000,57.53
"2010-03-04",62.8,63.4,62.5,62.91,1156500,57.5
"2010-03-05",63.39,63.5,63.12,63.29,1154600,57.85
"2010-03-08",63.44,63.74,63.18,63.55,934000,58.09
"2010-03-09",63.27,63.56,62.69,62.93,793000,57.52
"2010-03-10",62.98,64,62.32,63.7,1357500,58.22
"2010-03-11",63.33,63.33,62.75,63.29,956500,57.85
"2010-03-12",63.86,64.65,63.63,64.16,1252700,58.64
"2010-03-15",64.33,64.63,64.04,64.49,862800,58.95
"2010-03-16",64.55,64.77,64.08,64.64,876900,59.08
"2010-03-17",64.59,66.08,64.52,65.9,1205700,60.23
"2010-03-18",65.73,65.73,64.5,64.74,1470600,59.17
"2010-03-19",64.92,65.38,64.68,64.93,1564700,59.35
"2010-03-22",64.39,65.59,64.09,65.48,989300,59.85
"2010-03-23",65.58,66.09,65.11,66.05,601900,60.37
"2010-03-24",65.62,65.91,65,65.43,904400,59.81
"2010-03-25",65.81,66.06,64.66,64.69,1053300,59.13
"2010-03-26",64.94,66.35,64.86,66.07,1333400,60.39
"2010-03-29",66.3,66.63,65.47,65.76,904000,60.11
"2010-03-30",65.89,66.4,65.29,66.05,597300,60.37
"2010-03-31",65.82,66.16,65.24,65.4,1139600,59.78
"2010-04-01",65.97,66.53,65.97,66.5,746500,60.78
"2010-04-05",66.63,67.12,66.18,66.92,678800,61.17
"2010-04-06",66.88,67.85,66.84,67.6,1053200,61.79
"2010-04-07",67.26,68.37,67.19,67.45,1254200,61.65
"2010-04-08",67.23,68,66.87,67.93,1487100,62.09
"2010-04-09",68.06,68.68,67.84,68.68,1494200,62.78
"2010-04-12",68.79,69.03,68.56,68.89,1352600,62.97
"2010-04-13",68.84,69.47,68.2,69.33,1079100,63.37
"2010-04-14",69.33,69.56,68.73,69.51,1821500,63.53
"2010-04-15",69.75,70,68.21,69.73,2047700,63.74
"2010-04-16",69.75,70.24,68.64,69.16,1717100,63.21
"2010-04-19",69.11,70.3,68.81,70.2,1646000,64.17
"2010-04-20",70.37,70.78,69.86,70.41,1151100,64.36
"2010-04-21",70.08,70.68,69.65,70.49,964200,64.43
"2010-04-22",70.02,70.28,69.36,70.25,1831900,64.21
"2010-04-23",70.24,71.28,69.76,71.27,1357500,65.14
"2010-04-26",71.25,71.81,70.69,70.72,958600,64.64
"2010-04-27",70.81,70.98,68.9,68.96,1495600,63.03
"2010-04-28",69.31,70.1,68.84,69.92,1285900,63.91
"2010-04-29",70.47,71.31,70.06,71.24,1294900,65.12
"2010-04-30",71.44,72.24,70.36,70.37,1617000,64.32
"2010-05-03",70.82,71.38,70.39,71.28,1456400,65.15
"2010-05-04",70.42,70.77,67.83,68.47,2017400,62.58
"2010-05-05",67.93,68.23,66.92,67.47,2214000,61.67
"2010-05-06",66.63,67.35,60.89,64.75,2422200,59.66
"2010-05-07",64.65,66,63.35,63.79,2307900,58.78
"2010-05-10",66.82,67.23,65.75,67.09,1532100,61.82
"2010-05-11",66.26,67.22,65.9,66.43,1423900,61.21
"2010-05-12",66.81,67.68,66.38,67.64,894200,62.32
"2010-05-13",67.32,67.95,66.64,66.78,895400,61.53
"2010-05-14",66.1,66.3,64.54,65.09,985500,59.97
"2010-05-17",65.41,66.89,64.82,66.12,2162300,60.92
"2010-05-18",66.66,68.06,65.59,65.63,1977500,60.47
"2010-05-19",65.45,65.45,63.29,64.36,2591300,59.3
"2010-05-20",63.15,63.2,61.56,61.56,3127400,56.72
"2010-05-21",60.25,62.91,60.11,62.69,2628000,57.76
"2010-05-24",62.46,62.53,61.52,61.53,2180600,56.69
"2010-05-25",59.55,62.24,59.01,62.22,1946500,57.33
"2010-05-26",62.83,62.83,61.46,61.86,3220400,57
"2010-05-27",63.26,65.09,62.72,65.09,1895300,59.97
"2010-05-28",64.89,65.05,63.89,64.07,2078200,59.03
"2010-06-01",63.35,64.19,62.54,62.54,1544100,57.62
"2010-06-02",62.88,64.76,62.82,64.73,1695100,59.64
"2010-06-03",64.8,65.16,63.45,63.96,1738500,58.93
"2010-06-04",62.19,63.06,61.6,61.79,1823200,56.93
"2010-06-07",61.79,62.45,60.46,60.52,2573000,55.76
"2010-06-08",60.56,62.32,60.28,62.13,2710200,57.25
"2010-06-09",62.65,63.25,61.58,61.91,2723700,57.04
"2010-06-10",62.88,63.69,62.66,63.32,2379600,58.34
"2010-06-11",62.78,64.93,62.78,64.78,2296000,59.69
"2010-06-14",65.32,65.61,64.02,64.07,2047500,59.03
"2010-06-15",64.77,65.6,64.56,65.58,1073900,60.43
"2010-06-16",68.5,68.5,66.3,66.54,2981600,61.31
"2010-06-17",66.91,66.94,64.7,66.16,2227100,60.96
"2010-06-18",66.14,67.29,66.14,66.66,1743400,61.42
"2010-06-21",67.71,68.28,66.4,66.81,1146200,61.56
"2010-06-22",66.96,67.27,65.5,65.54,1348700,60.39
"2010-06-23",65.59,65.82,64.32,65.1,1456000,59.98
"2010-06-24",64.61,64.66,63,63.11,1512700,58.15
"2010-06-25",63.21,63.7,62.37,62.95,2615500,58
"2010-06-28",63.22,63.49,62.39,62.89,968700,57.95
"2010-06-29",61.78,61.78,60.63,61,1744600,56.21
"2010-06-30",60.99,62.03,60.23,60.41,1181900,55.66
"2010-07-01",60.21,61.33,59.69,61.05,2383600,56.25
"2010-07-02",61.21,61.68,59.92,60.57,1159000,55.81
"2010-07-06",61.25,61.87,59.95,60.56,1551100,55.8
"2010-07-07",60.42,63.07,60.31,63.07,1588800,58.11
