"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2007-08-31",69.97,70.9,69.65,70.46,1058500,59.98
"2007-09-04",70.3,71.87,69.96,71.14,963700,60.56
"2007-09-05",70.8,71,69.91,70.89,1526200,60.35
"2007-09-06",70.9,71.68,69.93,71.43,1077800,60.81
"2007-09-07",70.42,70.44,68.53,68.83,932400,58.59
"2007-09-10",69.05,69.3,66.74,67.82,1002800,57.74
"2007-09-11",67.9,69.76,67.52,69.3,1251700,58.99
"2007-09-12",69.3,69.75,68.5,68.85,1116100,58.61
"2007-09-13",69.4,69.69,68.4,68.59,807200,58.39
"2007-09-14",68.1,68.73,67.86,68.48,911000,58.3
"2007-09-17",68.3,69.09,68,68.12,904200,57.99
"2007-09-18",68.55,71.31,68.44,71.31,1344300,60.71
"2007-09-19",71.95,72.64,71.33,71.69,1145600,61.03
"2007-09-20",71.48,71.69,70.14,70.24,1229500,59.8
"2007-09-21",70.31,70.86,68.82,69.98,2491100,59.57
"2007-09-24",68.1,69.47,67.39,68.05,1759700,57.93
"2007-09-25",67.75,68.65,67.16,68.26,1871400,58.11
"2007-09-26",68.9,70,68.75,69.71,1708900,59.34
"2007-09-27",69.7,70.81,69.7,70.3,908400,59.85
"2007-09-28",70.39,70.47,69.34,69.51,972300,59.17
"2007-10-01",69.3,71,69.3,71,895700,60.44
"2007-10-02",71.18,71.38,70.43,71.34,757600,60.73
"2007-10-03",71.38,71.38,70.09,70.39,751700,59.92
"2007-10-04",70.44,70.61,69.46,70.45,527300,59.97
"2007-10-05",70.9,73,70.56,72.72,874100,61.91
"2007-10-08",72.19,72.56,71.27,71.81,841600,61.13
"2007-10-09",72.2,72.59,71.52,72.56,655000,61.77
"2007-10-10",72.56,73.36,72.15,73.27,899500,62.37
"2007-10-11",73.82,73.86,71.46,71.98,593600,61.28
"2007-10-12",72.06,72.06,71.02,71.68,610900,61.02
"2007-10-15",71.9,72.37,69.87,70.31,1301600,59.85
"2007-10-16",70.21,70.89,68.61,69.49,1206100,59.16
"2007-10-17",69.88,70.15,68.5,68.81,1010500,58.58
"2007-10-18",68.15,68.63,67.65,67.81,1429200,57.73
"2007-10-19",67.5,68,66.23,66.39,1446300,56.52
"2007-10-22",66.05,67.81,65.74,67.25,1606900,57.25
"2007-10-23",67.43,67.71,66.95,67.4,1304300,57.38
"2007-10-24",67.17,68.3,66.4,67.88,1626100,57.79
"2007-10-25",67.95,67.95,66.74,67.25,1231700,57.25
"2007-10-26",67.83,68.15,66.89,67.63,828800,57.57
"2007-10-29",67.9,68.07,66.95,67.75,614800,57.68
"2007-10-30",67.7,68.69,66.98,67.39,846400,57.37
"2007-10-31",67.65,69,66.78,68.88,1033800,58.64
