"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"2012-01-03",54.48,54.84,53.89,53.94,1958100,52.82
"2012-01-04",53.66,53.92,52.99,53.21,1755000,52.1
"2012-01-05",52.97,53.97,52.7,53.84,2199000,52.72
"2012-01-06",53.86,54.31,53.64,53.98,1643000,52.86
"2012-01-09",53.94,54.5,53.89,54.38,1711600,53.25
"2012-01-10",54.83,55.79,54.54,55.52,2765600,54.37
"2012-01-11",55.19,55.5,54.87,55.3,1182400,54.15
"2012-01-12",55.42,55.42,54.62,55.06,1557400,53.92
"2012-01-13",54.85,55.19,54.61,55.04,1046300,53.9
"2012-01-17",55.53,56.22,55.05,55.19,1452300,54.04
"2012-01-18",55.3,55.7,54.79,55.55,1308700,54.4
"2012-01-19",55.29,56.47,55,56.14,1818900,54.97
"2012-01-20",56.11,56.24,55.67,56.05,1028600,54.89
"2012-01-23",55.91,56.42,55.72,56.06,1002500,54.89
"2012-01-24",55.58,56.7,54.96,56.55,1861500,55.37
"2012-01-25",56.31,58.07,55.98,57.75,2796700,56.55
"2012-01-26",60.91,61.89,59.05,59.61,4641400,58.37
"2012-01-27",59.57,60.92,59.38,60.5,1766700,59.24
"2012-01-30",60.05,61.2,59.64,60.95,2432500,59.68
"2012-01-31",61.12,61.6,60.42,60.75,1873800,59.49
"2012-02-01",60.64,61.58,60.32,60.85,2630600,59.59
"2012-02-02",60.9,61.57,60.8,61.36,1818500,60.08
"2012-02-03",61.95,62.68,61.76,62.51,2026600,61.21
"2012-02-06",62.41,62.78,61.98,62.59,1623700,61.29
"2012-02-07",62.31,62.5,61.77,62.36,1119700,61.06
"2012-02-08",62.46,63.02,62.09,62.47,1768700,61.17
"2012-02-09",62.44,62.44,60.45,61.03,3199900,59.76
"2012-02-10",60.71,60.86,59.76,60.84,2737700,59.58
"2012-02-13",60.9,61.74,60.9,61.25,1686600,59.98
"2012-02-14",61.41,61.8,61.15,61.79,2151000,60.51
"2012-02-15",61.88,62,61.19,61.56,1472700,60.28
"2012-02-16",61.53,61.66,61,61.54,1636100,60.26
"2012-02-17",61.87,62,61.32,61.53,1268300,60.25
"2012-02-21",61.55,61.97,61.05,61.25,849700,59.98
"2012-02-22",60.49,61.44,60.49,61.01,1079600,59.74
"2012-02-23",61.13,61.55,60.82,61.4,1465200,60.12
"2012-02-24",61.41,62.36,61.38,62.21,1379600,60.92
"2012-02-27",61.77,62.29,61.17,62.01,1086700,60.72
"2012-02-28",61.96,62.02,61.11,61.42,1389700,60.14
"2012-02-29",61.5,61.5,60.49,60.75,2429500,59.49
"2012-03-01",60.87,60.93,60.14,60.37,1451200,59.12
"2012-03-02",60.3,60.5,60.07,60.24,635400,58.99
"2012-03-05",60.08,60.53,59.96,60.44,1015500,59.18
"2012-03-06",59.86,60.05,59.67,59.84,1239000,58.6
"2012-03-07",60,60.54,59.89,60.33,1130300,59.08
"2012-03-08",60.67,61.22,60.27,60.95,997900,59.68
"2012-03-09",60.98,61.8,60.83,61.56,1766500,60.28
"2012-03-12",61.59,61.73,61.16,61.46,812000,60.18
"2012-03-13",61.84,63.12,61.58,62.99,1357900,61.68
"2012-03-14",62.99,63.48,62.43,62.73,1093600,61.43
"2012-03-15",62.97,63.9,62.72,63.87,958400,62.54
"2012-03-16",63.77,64.29,63.59,64.1,1810600,62.77
"2012-03-19",63.99,64.53,63.73,64.32,839300,62.98
"2012-03-20",63.85,64.14,63.71,63.85,993600,62.52
"2012-03-21",63.98,64.01,63.44,63.62,761100,62.3
"2012-03-22",63.24,63.48,62.79,63.16,867100,61.85
"2012-03-23",63.2,63.69,63.1,63.49,839200,62.17
"2012-03-26",63.89,64.65,63.81,64.43,758000,63.09
"2012-03-27",64.59,64.81,64.11,64.25,1301600,62.91
"2012-03-28",64.06,64.33,63.43,63.62,1266800,62.47
"2012-03-29",63.31,63.52,62.59,63.29,1668600,62.15
"2012-03-30",63.43,64.33,63.43,64.28,1787400,63.12
"2012-04-02",64.5,65.77,64.22,65.25,2510600,64.07
"2012-04-03",65.12,65.78,64.66,65.12,1618600,63.95
"2012-04-04",64.67,65.14,64.34,64.57,1770400,63.41
"2012-04-05",64.32,64.81,64.07,64.72,1084300,63.55
"2012-04-09",63.91,64.31,63.35,64.15,1193500,62.99
"2012-04-10",63.98,64.24,63.15,63.15,1738000,62.01
"2012-04-11",63.6,63.96,63.09,63.19,1312100,62.05
"2012-04-12",63.15,64.56,63.02,64.22,2584400,63.06
"2012-04-13",64.24,64.76,63.28,63.37,1824900,62.23
"2012-04-16",63.75,63.75,62.67,63.21,1676200,62.07
"2012-04-17",63.5,64.83,63.5,64.65,1778000,63.48
"2012-04-18",65,66.41,64.22,64.29,3091000,63.13
"2012-04-19",64.35,64.44,62.83,63.06,2874100,61.92
"2012-04-20",63.07,63.28,62.71,63.08,2940300,61.94
"2012-04-23",62.4,62.49,61.65,62.13,1645600,61.01
"2012-04-24",62.2,62.39,61.9,62.39,1345600,61.27
"2012-04-25",63.08,63.89,62.94,63.43,1928700,62.29
"2012-04-26",61.15,62.54,60.28,62.07,2857200,60.95
"2012-04-27",63.01,64.49,62.51,63.02,2334900,61.88
"2012-04-30",63,63.12,62.57,62.93,1598200,61.8
"2012-05-01",62.99,64.84,62.63,64.49,2733700,63.33
"2012-05-02",63.99,64.06,63.38,63.77,2163800,62.62
"2012-05-03",63.79,64.78,63.46,64.02,2255400,62.87
"2012-05-04",63.56,63.85,63.13,63.15,1838600,62.01
"2012-05-07",62.79,63.74,62.74,63.49,1849600,62.35
"2012-05-08",63.03,63.09,62,62.76,1375000,61.63
"2012-05-09",61.9,62.59,61.62,62.08,1271900,60.96
"2012-05-10",62.41,63.03,61.95,62.13,832100,61.01
"2012-05-11",61.79,62.35,61.49,61.9,831100,60.78
"2012-05-14",61.45,61.71,61.01,61.36,650200,60.25
"2012-05-15",61.26,61.56,60.69,60.81,1000300,59.71
"2012-05-16",61.17,61.18,60.66,60.76,972500,59.66
"2012-05-17",60.64,60.83,59.5,59.5,1122500,58.43
"2012-05-18",59.76,59.86,58.57,58.86,1432900,57.8
"2012-05-21",59.38,60.22,58.95,60.17,812300,59.09
"2012-05-22",60.18,60.5,59.71,60.14,1757500,59.06
"2012-05-23",59.73,60.31,59.28,60,1787600,58.92
"2012-05-24",60.32,61.98,60.32,61.9,2185300,60.78
"2012-05-25",61.64,62.32,61.64,62.04,1535000,60.92
"2012-05-29",62.4,62.7,61.93,62.28,1656100,61.16
"2012-05-30",61.75,61.95,60.93,61.08,1344300,59.98
"2012-05-31",61.1,61.19,60.43,60.65,1485600,59.56
"2012-06-01",59.76,59.97,58.93,58.93,1447400,57.87
"2012-06-04",58.65,59.09,58.23,58.74,1163200,57.68
"2012-06-05",58.45,59.72,58.36,59.54,812200,58.47
"2012-06-06",59.84,60.05,59.59,59.95,928900,58.87
"2012-06-07",60.39,60.69,60.06,60.17,897000,59.09
"2012-06-08",59.89,60.96,59.89,60.96,966600,59.86
"2012-06-11",61.29,61.34,59.98,60.02,740000,58.94
"2012-06-12",60.26,60.48,59.65,60.47,664100,59.38
"2012-06-13",60.34,60.71,59.77,59.96,805700,58.88
"2012-06-14",60.01,60.94,60.01,60.63,966000,59.54
"2012-06-15",60.75,63.58,60.72,63.2,3290800,62.06
"2012-06-18",62.77,63.68,62.61,62.75,1828800,61.62
"2012-06-19",63.18,63.66,62.97,63.3,1234000,62.16
"2012-06-20",63.22,63.54,62.52,63.07,1374600,61.93
"2012-06-21",63.18,63.46,61.67,61.74,1150100,60.63
"2012-06-22",61.79,63.42,61.65,63.17,1828200,62.03
"2012-06-25",62.54,63.09,61.85,61.87,1528000,60.75
"2012-06-26",61.61,62.01,61.31,61.66,1208500,60.72
"2012-06-27",61.84,62.8,61.84,62.56,893800,61.61
"2012-06-28",62.2,62.55,60.89,62.37,1455200,61.42
"2012-06-29",63.36,64.41,63.24,64.36,1241000,63.38
"2012-07-02",64.27,64.5,63.78,64.49,861500,63.51
"2012-07-03",64.6,64.71,63.93,64.69,644700,63.71
"2012-07-05",64.5,64.59,63.78,63.79,666400,62.82
"2012-07-06",63.1,63.33,62.64,62.72,947900,61.77
"2012-07-09",62.96,63.89,62.55,63.82,1049500,62.85
"2012-07-10",64.2,64.66,63.12,63.33,1280500,62.37
"2012-07-11",63.4,63.5,62.79,63.26,921700,62.3
"2012-07-12",62.85,63.14,62.49,62.81,1143200,61.86
"2012-07-13",62.84,63.48,62.78,63.35,1073800,62.39
"2012-07-16",63.16,63.35,62.74,62.98,818200,62.02
"2012-07-17",63.46,64.67,63.46,64.48,1615900,63.5
"2012-07-18",64.12,65.56,63.91,64.69,1143300,63.71
"2012-07-19",64.65,64.65,63.6,64.32,1507100,63.34
"2012-07-20",63.93,64.25,62.55,62.64,1357800,61.69
