"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2011-06-02",63.69,64.19,63.47,63.8,1899900,58.53
"2011-06-03",63.16,64.11,62.89,63.5,1619900,58.26
"2011-06-06",63.27,63.86,63.06,63.17,2625700,57.95
"2011-06-07",63.44,64.05,63.29,63.34,1618100,58.11
"2011-06-08",63.27,63.51,62.97,63.13,1484100,57.92
"2011-06-09",63.17,64.05,62.97,63.65,1868100,58.39
"2011-06-10",63.29,63.47,62.5,62.51,2333300,57.35
"2011-06-13",63.53,63.74,62.73,63.53,1772100,58.28
"2011-06-14",64.16,64.65,63.97,64.47,2122300,59.15
"2011-06-15",63.85,64.54,63.44,63.5,2206000,58.26
"2011-06-16",63.65,64.83,63.4,64.72,2673800,59.38
"2011-06-17",65.18,65.72,64.57,64.69,2707700,59.35
"2011-06-20",64.53,65.83,64.53,65.73,1655800,60.3
"2011-06-21",65.93,66.92,65.84,66.55,3084800,61.05
"2011-06-22",66.12,67.31,66.12,66.51,2590200,61.02
"2011-06-23",65.76,66.34,65.11,66.17,2404700,60.71
"2011-06-24",66.3,66.67,65.37,66.35,3060400,60.87
"2011-06-27",66.42,67.21,66.21,66.97,2020600,61.44
"2011-06-28",67.09,68.17,66.92,68.11,2110500,62.49
"2011-06-29",68.21,69.23,68.04,68.81,2096200,63.13
"2011-06-30",69,69.9,68.81,69.35,2855000,63.62
"2011-07-01",69.59,70.5,69.4,70.33,2103200,64.52
"2011-07-05",70.38,70.56,69.41,69.99,2092000,64.21
"2011-07-06",69.95,70.61,69.68,70,1715500,64.22
"2011-07-07",68.89,69.74,68.06,68.5,5732300,62.84
"2011-07-08",67.71,68,67.03,67.96,3285200,62.35
"2011-07-11",67.48,67.84,67,67.31,2703500,61.75
"2011-07-12",67.35,67.36,66.63,66.82,2085500,61.3
"2011-07-13",66.93,67.25,66.38,66.5,2600800,61.01
"2011-07-14",66.8,66.83,65.18,65.52,3856400,60.11
"2011-07-15",65.72,65.72,63.84,64.62,4245200,59.28
"2011-07-18",64.51,64.63,63.58,64.37,3165700,59.05
"2011-07-19",64.54,64.78,64,64.41,3135900,59.09
"2011-07-20",65.69,65.89,64.76,64.98,2256900,59.61
"2011-07-21",65.47,65.89,65.26,65.55,3040400,60.14
"2011-07-22",65.45,65.45,64.55,65.27,1684100,59.88
"2011-07-25",64.85,65.42,64.51,65.12,2090800,59.74
"2011-07-26",65.41,65.62,64.94,65.4,3335500,60
"2011-07-27",65.04,65.25,62.2,62.68,4691700,57.5
"2011-07-28",62.32,62.38,60.25,60.71,4332400,55.7
"2011-07-29",60.14,61.18,59.58,60.51,3941500,55.51
"2011-08-01",59.62,60.17,58.4,59.6,3960100,54.68
"2011-08-02",58.97,59.6,57.53,57.53,3716000,52.78
"2011-08-03",57.32,57.67,55.85,57.11,4197400,52.39
"2011-08-04",56.5,56.83,55.19,55.31,5135500,50.74
"2011-08-05",55.73,56.51,54.95,55.49,6414500,50.91
"2011-08-08",54.48,55.12,51.75,51.75,5813100,47.48
"2011-08-09",52.23,53.36,50.36,53.24,6148600,48.84
"2011-08-10",52.29,52.6,50,50.09,7614800,45.95
"2011-08-11",50.09,52.45,49.9,51.78,9151900,47.5
"2011-08-12",51.8,52.2,50.78,51.89,5973100,47.61
"2011-08-15",52.19,53.37,51.57,53.05,5311500,48.67
"2011-08-16",52.59,54.12,52.35,53.24,3871500,48.84
"2011-08-17",53.53,53.86,52.44,52.76,3160000,48.4
"2011-08-18",51.58,51.58,49.71,50.04,4232200,45.91
"2011-08-19",49.36,50.23,49.2,49.26,3735100,45.19
"2011-08-22",50.41,50.63,49.85,50.03,3892400,45.9
"2011-08-23",50.23,51.48,50,51.48,3587100,47.23
"2011-08-24",51.29,52.83,51.04,52.72,2393900,48.37
"2011-08-25",52.46,52.75,50.95,51.24,2816400,47.46
"2011-08-26",50.93,52.46,50.1,52.16,2048100,48.31
