"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2008-09-24",200.02,202.76,193.07,194.35,30168000,19.11
"2008-09-25",196.19,198,188.51,190.36,44080000,18.72
"2008-09-26",183,186,178.28,185.07,48386000,18.2
"2008-09-29",179.99,181.25,150.6,168.03,94509000,16.53
"2008-09-30",168.43,181.84,167.8,177.33,45565000,17.44
"2008-10-01",177.23,177.23,163.34,171.34,39524000,16.85
"2008-10-02",167,169.79,157.59,160.13,37716000,15.75
"2008-10-03",162.05,171.84,160.2,160.2,41917000,15.76
"2008-10-06",151.16,170.9,148,167.41,54245000,16.47
"2008-10-07",169.72,171.49,155.28,158.7,46915000,15.61
"2008-10-08",151.22,174.33,149.85,163.54,78642000,16.1
"2008-10-09",170.08,172.13,154.98,155.7,46233000,15.33
"2008-10-10",146.74,161.53,140,151.71,71283000,14.94
"2008-10-13",160.45,178,156.65,173.6,43379000,17.09
"2008-10-14",183.9,184.3,165.24,174.07,42357000,17.14
"2008-10-15",170.48,171.76,150,153.55,51063000,15.12
"2008-10-16",155.74,158,143.72,156.68,56496000,15.42
"2008-10-17",149.79,167.25,149.5,156.75,39666000,15.43
"2008-10-20",160.26,161.79,147.5,150.14,39522000,14.78
"2008-10-21",149.9,156.85,145.47,149.78,35590000,14.75
"2008-10-22",144.98,149.87,134.96,140.93,40966000,13.87
"2008-10-23",141,143.8,130.56,136,50130000,13.39
"2008-10-24",121.01,138.46,120.02,130.62,53071000,12.86
"2008-10-27",127.63,134.66,126,126.35,32187000,12.44
"2008-10-28",130.96,137,123.5,136.01,42837000,13.39
"2008-10-29",135.74,144.31,132.46,135.73,50699000,13.36
"2008-10-30",138.52,143.26,136.98,140.06,38696000,13.79
"2008-10-31",141.43,148.71,138.54,147.82,32040000,14.55
"2008-11-03",149.04,149.49,142.13,143.89,31438000,14.17
"2008-11-04",159,171.97,155.61,170.24,118329000,16.76
"2008-11-05",167.87,169,154.2,155.87,70599000,15.34
"2008-11-06",152.75,155.67,138.55,143.3,92732000,14.11
"2008-11-07",144.02,151.71,142,147.73,30609000,14.54
