"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2008-09-26",75.7,77.49,73.68,77.33,6378900,68.16
"2008-09-29",73.87,73.87,64.5,65,14421800,57.29
"2008-09-30",67.69,70.8,67,70.45,7811500,62.09
"2008-10-01",70.11,70.11,65.18,67.42,9306500,59.42
"2008-10-02",65.88,65.88,60.59,61.9,11740700,54.56
"2008-10-03",62.83,66.65,61.02,61.53,9119400,54.23
"2008-10-06",59,59.94,52.62,58.81,14781000,51.83
"2008-10-07",60.07,60.81,53.53,53.88,11942300,47.49
"2008-10-08",52.26,57.78,51.15,54.55,17896700,48.08
"2008-10-09",56.19,56.57,47.77,48,11654000,42.31
"2008-10-10",44.62,47.89,40.69,43.9,20790200,38.69
"2008-10-13",48.03,51.91,46.01,51.27,16710400,45.19
"2008-10-14",53.93,55.26,49.85,52.56,13030700,46.32
"2008-10-15",49.94,50.29,42.2,42.84,15687700,37.76
"2008-10-16",43.76,46.78,39.93,46.34,19072300,40.84
"2008-10-17",44.95,51,44.09,46.5,12611200,40.98
"2008-10-20",48.6,53.88,47.67,53.53,9084700,47.18
"2008-10-21",51.69,52.24,48,49.53,10816200,43.65
"2008-10-22",46.85,47.25,43.62,44.9,11656700,39.57
"2008-10-23",45.82,49.3,43.92,48.59,11304800,42.83
"2008-10-24",42.6,47.12,41.6,45.69,8862700,40.27
"2008-10-27",44.03,46.4,41.5,42.08,11110400,37.09
"2008-10-28",45.37,49.77,42.01,49.7,10185500,43.8
"2008-10-29",51.35,54.44,47.8,50.81,13820500,44.78
"2008-10-30",52.11,55.11,50.14,54.73,10617200,48.24
"2008-10-31",53.81,57.74,53.03,55.54,8947600,48.95
"2008-11-03",54.71,56.25,51.98,53.17,6684700,46.86
"2008-11-04",54.28,58.64,54.22,58.08,10659100,51.19
"2008-11-05",56,57.67,53.44,53.94,8682700,47.54
"2008-11-06",53.12,53.98,51.02,51.51,9786300,45.4
"2008-11-07",52.62,53.2,50.11,52.46,8555600,46.24
"2008-11-10",55.84,55.84,51.21,52.99,5785000,46.7
"2008-11-11",51.04,52.05,49.39,50.41,7543300,44.43
"2008-11-12",49.07,49.2,45.01,45.07,10422400,39.72
"2008-11-13",45.39,50.22,42.09,50.13,13658500,44.18
"2008-11-14",48.5,51.38,46.55,48.19,10480300,42.47
"2008-11-17",47.69,49.48,46.92,47.01,5777000,41.43
"2008-11-18",47.15,49.69,46.36,48.63,8822800,42.86
"2008-11-19",48.09,49.4,45.8,46.12,9444600,40.65
"2008-11-20",45.12,45.84,40.18,40.72,12117800,35.89
"2008-11-21",42.4,47.56,41.5,47.01,15324700,41.43
"2008-11-24",47.91,52.08,47,50.55,11046000,44.55
"2008-11-25",51.79,51.94,48.55,51.03,10184000,44.98
"2008-11-26",49.7,55.41,49.7,55.28,7865800,48.72
"2008-11-28",54.06,54.62,52.37,54.14,4356900,47.72
"2008-12-01",51.15,51.5,45.68,45.89,11999000,40.45
"2008-12-02",48.12,48.74,45.4,47.33,11400900,41.72
"2008-12-03",46.25,48.18,45.1,47.96,10072900,42.27
"2008-12-04",46.4,47.33,43.2,43.94,9803000,38.73
"2008-12-05",43.24,46.84,41.27,46.19,9492200,40.71
"2008-12-08",48.54,52.18,47.54,51.18,10952600,45.42
"2008-12-09",50.06,52.56,49.54,51.57,8468700,45.77
"2008-12-10",52.81,57.5,52.8,57.28,11147100,50.84
"2008-12-11",58.29,60.9,56.42,57.83,12861100,51.33
"2008-12-12",54.86,56.35,53.43,55.12,8867600,48.92
"2008-12-15",57.05,58.5,53.52,54.77,7648100,48.61
"2008-12-16",55.3,57.57,53.66,57.44,9057900,50.98
"2008-12-17",56.49,59.42,56.09,57.46,7793700,51
"2008-12-18",56.99,57.5,54.17,54.92,8572600,48.74
"2008-12-19",53.66,57.37,53.66,56.55,11189900,50.19
"2008-12-22",56.72,57.71,53.27,54.38,6853300,48.26
"2008-12-23",56.1,56.8,53.1,53.76,6009200,47.71
"2008-12-24",53.36,53.69,51.87,52.94,1946300,46.99
"2008-12-26",53.45,54.26,52.79,54.14,2207100,48.05
"2008-12-29",56.1,57.15,55.21,56.36,6026000,50.02
"2008-12-30",56.59,58.68,55.98,58.44,6560900,51.87
"2008-12-31",57.99,60.97,57.5,59.99,7618200,53.24
"2009-01-02",60.61,62.65,59.5,62.16,6795800,55.17
"2009-01-05",61.94,63.97,60.88,61.74,9914900,54.8
"2009-01-06",62.79,64,61.03,61.64,13243600,54.71
"2009-01-07",60.92,61.05,57.3,58.11,8589600,51.57
"2009-01-08",57.76,59.44,57.64,59,6232300,52.36
"2009-01-09",58.95,59.23,56.08,56.3,7039300,49.97
"2009-01-12",55.25,55.92,53.94,54.37,7378300,48.25
"2009-01-13",55.34,56.58,54.1,56.31,8528800,49.98
"2009-01-14",54.99,55.45,53,53.74,8493500,47.7
"2009-01-15",53.59,53.92,51.08,53.53,11258900,47.51
"2009-01-16",54.81,55.79,52.56,53.53,8254300,47.51
"2009-01-20",52.25,54.21,50.54,50.88,9253700,45.16
"2009-01-21",51.43,56.1,51.3,55.79,9205100,49.51
"2009-01-22",54.61,55.6,52.95,54.16,7317100,48.07
"2009-01-23",52.72,56.1,52.15,55.54,9358900,49.29
"2009-01-26",55.62,58.22,55.57,56.82,7916500,50.43
"2009-01-27",56.88,57.33,55.28,56.73,8628500,50.35
"2009-01-28",58.22,59.9,56.81,59.38,9403600,52.7
"2009-01-29",58.06,59.52,56.81,56.82,9502300,50.43
"2009-01-30",57.97,57.99,54.04,54.55,9940200,48.41
"2009-02-02",53.39,54.75,52.8,54.15,6565300,48.06
"2009-02-03",54.61,55.93,54.22,55.28,7126400,49.06
"2009-02-04",56.01,57.13,54.95,55.73,9026200,49.46
"2009-02-05",55,56.7,54.92,56.15,9143900,49.83
"2009-02-06",55.52,57.07,54.66,56.77,7939000,50.38
"2009-02-09",57.08,59.03,56.85,58.61,9088200,52.02
"2009-02-10",58.74,59.37,54.66,55.44,11386100,49.2
"2009-02-11",56.4,57.53,54.96,55.79,10536500,49.51
"2009-02-12",54.87,55.95,53.56,55.84,9199700,49.56
"2009-02-13",55.44,57.49,55.24,56.58,6715900,50.22
"2009-02-17",54.66,54.71,52.35,52.36,9250800,46.47
"2009-02-18",52.85,53.21,51.05,51.54,7838500,45.74
"2009-02-19",51.89,52.91,51.05,51.31,9019900,45.54
"2009-02-20",50.1,50.92,48.65,50.06,9292000,44.43
"2009-02-23",50.99,51.48,47.5,47.56,8119200,42.21
"2009-02-24",48.34,50.76,47.66,50.47,9469000,44.79
"2009-02-25",50.15,51.41,48.76,50.13,8610500,44.49
"2009-02-26",51.11,54.02,50.84,52.5,10650800,46.59
"2009-02-27",51.33,53.42,50.68,51.87,10559300,46.04
"2009-03-02",50.3,50.34,48.27,48.87,12723800,43.37
"2009-03-03",49.33,50.51,48.24,48.78,11280300,43.29
"2009-03-04",49.97,53.64,49.82,52.82,12717800,46.88
"2009-03-05",51.11,52.45,49.25,50.04,10624300,44.41
"2009-03-06",50.7,52.33,48.7,50.54,11148700,45.14
"2009-03-09",49.6,51.8,48.93,50.39,8386200,45.01
"2009-03-10",52.27,54.93,51.54,53.56,10912400,47.84
"2009-03-11",53.24,55.27,52.55,53.82,8764500,48.07
"2009-03-12",54.45,56.84,53.77,56.46,9377700,50.43
"2009-03-13",56.75,56.99,53.6,54.69,9052300,48.85
"2009-03-16",53.91,54.83,53.2,53.59,9695400,47.87
"2009-03-17",53.8,55.59,52.79,55.59,7638400,49.65
"2009-03-18",54.95,57.78,53.39,56.84,9294400,50.77
"2009-03-19",57.95,60.8,57.7,58.98,10956600,52.68
"2009-03-20",59.18,60,56.56,56.74,9673600,50.68
"2009-03-23",58.58,60.98,58.12,60.97,9003600,54.46
"2009-03-24",59.89,60.17,58.49,58.93,7138000,52.64
"2009-03-25",59.24,59.72,57,58.76,9045500,52.49
"2009-03-26",59.56,59.8,57.79,58.78,8921700,52.5
"2009-03-27",57.57,58.76,56.99,57.96,9424000,51.77
"2009-03-30",56.46,56.77,55.3,56.2,8176900,50.2
"2009-03-31",56.98,57.53,55.63,55.65,7480600,49.71
"2009-04-01",54.62,57.63,54,57.33,8359600,51.21
"2009-04-02",59.42,62,59.35,60.11,9566300,53.69
"2009-04-03",59.94,61.57,59.4,60.39,9030500,53.94
"2009-04-06",59.41,59.69,56.85,57.72,9708100,51.56
"2009-04-07",56.8,56.83,55.42,55.73,7420500,49.78
"2009-04-08",55.96,57.35,54.22,56.77,6011900,50.71
"2009-04-09",58.51,59.06,57.88,58.53,5822200,52.28
"2009-04-13",57.75,59.48,56.71,58.72,5096900,52.45
"2009-04-14",57.9,59.44,57.6,57.85,6002400,51.67
"2009-04-15",57.76,59.38,57.41,58.34,4934500,52.11
"2009-04-16",59.3,59.57,57.43,58.98,5307700,52.68
"2009-04-17",59.32,59.97,58.74,59.64,7304900,53.27
"2009-04-20",58.18,58.46,55.51,55.88,7135900,49.91
"2009-04-21",55.04,56.3,51.52,56.06,8461300,50.07
"2009-04-22",55.27,56.73,55,55.56,7745500,49.63
"2009-04-23",56.29,56.39,54.63,55.97,9513700,49.99
"2009-04-24",56.78,57.49,55.41,55.87,8708800,49.9
"2009-04-27",54.83,55.18,53.73,54.81,6775800,48.96
"2009-04-28",54.19,55.87,53,54.77,6108400,48.92
"2009-04-29",55.93,58.33,55.25,57.4,7931300,51.27
"2009-04-30",57.75,58.46,55.41,56.29,6741700,50.28
"2009-05-01",56.56,58.95,56.35,58.47,6452200,52.23
"2009-05-04",59.06,61.14,58.41,60.9,7855600,54.4
"2009-05-05",61.41,61.71,59.9,60.47,5250500,54.01
"2009-05-06",61.59,65.45,61.45,64.58,9242800,57.68
"2009-05-07",66.01,66.1,61.33,62.47,8077600,55.8
"2009-05-08",63.65,66.14,63.51,65.32,7528200,58.35
"2009-05-11",64.41,64.41,61.95,62.88,5769700,56.17
"2009-05-12",63.37,64.2,61.28,63.17,7824400,56.43
"2009-05-13",62.14,62.79,60.85,61.33,6064200,54.78
"2009-05-14",60.78,62.08,60.28,61.41,4616100,54.85
"2009-05-15",61.31,61.9,59.5,60.03,6452200,53.62
"2009-05-18",60.79,62.26,60.79,61.96,5906400,55.34
"2009-05-19",61.9,63.31,61.52,62.28,5155900,55.63
"2009-05-20",63.09,65.13,62.78,63.01,7217000,56.28
"2009-05-21",61.42,61.46,60.09,61.24,7024200,54.7
"2009-05-22",61.77,62.88,61.24,62.03,4788800,55.41
"2009-05-26",61.44,63.64,60.87,63.39,6246400,56.62
"2009-05-27",63.83,64.9,62.58,62.83,4855500,56.12
"2009-05-28",63.91,66.27,63.16,65.47,7231000,58.48
"2009-05-29",66.64,67.65,65.94,67.11,6742700,59.94
"2009-06-01",68.74,69.97,68.51,69.34,7176500,61.94
"2009-06-02",68.76,69.87,68.42,69.35,6960500,61.95
"2009-06-03",68.39,68.39,65.58,66.87,7903100,59.73
"2009-06-04",67.83,69.11,67.41,68.62,5471700,61.29
"2009-06-05",69.37,69.68,67.24,68.56,6648800,61.24
"2009-06-08",68.08,68.88,66.49,68.33,5516500,61.33
"2009-06-09",69.19,69.75,68.37,69.04,4730300,61.97
"2009-06-10",69.86,70.35,67.72,69.27,6794500,62.17
"2009-06-11",69.33,71.59,69.18,70.63,5816400,63.39
"2009-06-12",69.97,69.97,68.25,68.97,5535400,61.9
"2009-06-15",68.07,68.41,66.15,67.08,6152200,60.21
"2009-06-16",67.71,67.85,63.47,64.36,9381100,57.77
"2009-06-17",63.82,64.34,62.3,63.8,6640300,57.26
"2009-06-18",63.75,65.19,63.52,64.45,6122900,57.85
"2009-06-19",65.09,65.28,64.22,64.52,10435400,57.91
"2009-06-22",63.21,63.52,60.87,61.37,7380700,55.08
"2009-06-23",62.15,63.01,60.97,62.73,7107300,56.3
"2009-06-24",63.23,64.71,62.73,64.12,9162800,57.55
"2009-06-25",63.89,65.79,63.74,65.46,9010800,58.75
"2009-06-26",64.93,65.26,63.88,64.3,18211900,57.71
"2009-06-29",64.99,66.62,64.47,66.13,9559000,59.36
"2009-06-30",66.18,66.68,63.96,65.81,8734800,59.07
"2009-07-01",66.99,66.99,64.91,65.18,8173000,58.5
"2009-07-02",64.17,64.39,62.6,63.28,6773500,56.8
"2009-07-06",61.53,61.89,60.47,61.7,10889100,55.38
"2009-07-07",61.58,61.99,59.77,59.86,7026100,53.73
"2009-07-08",59.63,60.84,58.67,59.57,9160500,53.47
"2009-07-09",60.59,62.25,60.22,61.03,6578900,54.78
"2009-07-10",59.83,61.15,59.33,60.75,4565700,54.53
"2009-07-13",61.25,62.93,60.03,62.78,6459800,56.35
"2009-07-14",63.32,64.67,63.31,64.29,7123900,57.7
"2009-07-15",65.22,66.9,65.22,66.74,7086500,59.9
"2009-07-16",66.19,67.7,65.78,67.27,6089800,60.38
"2009-07-17",67.1,67.98,66.82,67.75,9112900,60.81
"2009-07-20",68.56,69.66,68.24,69.52,6960900,62.4
"2009-07-21",70.51,70.89,68.81,70.22,5126100,63.03
"2009-07-22",69.41,70.81,68.81,69.99,7579100,62.82
"2009-07-23",70.25,72.26,69.8,71.95,8454000,64.58
"2009-07-24",71.6,72.55,70.98,72.43,4820600,65.01
"2009-07-27",72.48,73.47,71.93,72.99,4513500,65.51
"2009-07-28",72.08,72.74,70.13,71.69,7428100,64.35
"2009-07-29",70.47,70.63,68.6,69.48,6570000,62.36
"2009-07-30",71.13,71.79,70.28,70.59,5732600,63.36
"2009-07-31",69.98,72.2,69.72,71.34,5469400,64.03
"2009-08-03",72.47,73.75,72.25,72.39,6274900,64.97
"2009-08-04",72,72.68,70.8,71.94,5938700,64.57
"2009-08-05",71.73,71.93,70.4,70.73,5624000,63.48
"2009-08-06",70.83,70.85,69.49,69.88,5447000,62.72
"2009-08-07",70.27,70.97,69.89,70.06,4468700,62.88
"2009-08-10",69.72,70.1,69.29,70.05,3223100,62.87
"2009-08-11",69.38,69.61,68.21,68.72,3770200,61.68
"2009-08-12",68.51,70.23,68.37,69.86,4722800,62.7
"2009-08-13",70.2,71.13,69.8,70.98,4965400,63.71
"2009-08-14",71.02,71.29,69.48,70.33,3946000,63.12
"2009-08-17",68.8,69,67.18,68.34,5041400,61.34
"2009-08-18",68.75,70.02,68.42,69.5,4338800,62.38
"2009-08-19",68.58,72.1,68.29,71.53,6130900,64.2
"2009-08-20",71.45,72.53,71.26,72.24,3723300,64.84
"2009-08-21",73.67,74.95,72.92,74.78,5532000,67.12
"2009-08-24",75.18,76,74.57,75.19,4793100,67.49
"2009-08-25",75.56,76.15,73.59,73.91,5033900,66.34
"2009-08-26",73.42,74.7,73.01,74.16,4931900,66.56
"2009-08-27",73.55,74.73,71.87,74.57,4716300,66.93
"2009-08-28",75.07,75.5,74.19,74.52,4310300,66.89
"2009-08-31",73.45,73.81,72.34,73.1,4686400,65.61
"2009-09-01",73.12,73.87,71.8,72.23,6399100,64.83
"2009-09-02",72.22,72.66,71.44,71.81,5870100,64.45
"2009-09-03",72.6,72.63,71.53,71.99,4197000,64.61
"2009-09-04",71.91,73.01,71.89,72.73,3977800,65.28
"2009-09-08",74.04,75.26,73.6,75.07,6634100,67.69
"2009-09-09",75.23,76.49,74.62,75.85,5537600,68.39
"2009-09-10",76.05,76.87,75.51,76.78,5620000,69.23
"2009-09-11",77.23,77.8,76.27,76.97,4907300,69.4
"2009-09-14",75.96,77.09,75.87,76.99,4711800,69.42
"2009-09-15",77.47,78.5,76.76,78.02,4994500,70.35
"2009-09-16",78.59,79.58,78.09,79.15,5561800,71.37
"2009-09-17",78.66,79.58,78.48,78.64,4734700,70.91
"2009-09-18",78.9,79.15,76.38,77.15,7001500,69.56
"2009-09-21",76,77.36,75.62,77.09,4098200,69.51
"2009-09-22",78.01,78.99,77.91,78.32,3646000,70.62
"2009-09-23",78.21,78.48,76.17,76.35,4120200,68.84
"2009-09-24",76.2,76.61,74.04,74.49,6947500,67.16
"2009-09-25",75.64,77.48,75,77.03,8404200,69.45
"2009-09-28",77.3,79.57,76.84,79.15,4925800,71.37
"2009-09-29",78.98,79.41,77.84,78.29,4653800,70.59
"2009-09-30",78.68,79.04,76.65,78.4,6904600,70.69
"2009-10-01",78.11,78.56,75.33,75.37,5601900,67.96
"2009-10-02",74.51,75.4,73.74,74.33,4598000,67.02
"2009-10-05",74.27,75.98,73.81,75.51,4454800,68.08
"2009-10-06",76.36,78.29,76.27,77.59,5335700,69.96
"2009-10-07",77.3,78.02,76.33,77.43,3991300,69.81
"2009-10-08",78.01,80.29,77.8,80.09,5416400,72.21
"2009-10-09",79.88,81.49,79.02,79.54,4570500,71.72
"2009-10-12",79.42,80.77,79.28,80.31,4736000,72.41
"2009-10-13",80.69,80.69,79.21,80.3,4039500,72.4
"2009-10-14",81.4,81.99,80.92,81.77,3719100,73.73
"2009-10-15",81.03,83.25,80.89,83.14,5300300,74.96
"2009-10-16",82,83,81.12,82.4,5039200,74.3
"2009-10-19",82.22,82.97,82.1,82.61,3869200,74.48
"2009-10-20",82.56,82.56,80.38,81.69,3412400,73.66
"2009-10-21",81.18,84.75,81.02,81.55,6538500,73.53
"2009-10-22",82.09,84.2,79.71,84,6477700,75.74
"2009-10-23",84.32,84.73,81.55,82.15,4799500,74.07
"2009-10-26",82.4,84.12,80.37,80.71,4571600,72.77
"2009-10-27",80.99,81.55,80.01,80.29,5347200,72.39
"2009-10-28",79.79,79.98,77.54,77.83,5837200,70.17
"2009-10-29",78.62,80.11,78.37,79.14,5529100,71.36
"2009-10-30",78.6,78.94,74.92,75.88,9112800,68.42
"2009-11-02",76.46,78.31,74.89,76.82,8299600,69.26
"2009-11-03",76.16,79.87,75.25,79.49,7990400,71.67
"2009-11-04",80.57,81.52,79.91,80.1,5933100,72.22
"2009-11-05",80.86,81.58,79.7,80.94,4320800,72.98
"2009-11-06",80.3,81.6,79.75,80.88,3460500,72.92
"2009-11-09",82,83.4,82,83.05,3859300,74.88
"2009-11-10",82.94,84.47,82.63,84.17,4607300,75.89
"2009-11-11",84.83,84.98,82.17,83.13,4280600,74.95
"2009-11-12",82.56,83.06,81.02,81.81,4871600,73.76
"2009-11-13",81.69,82.95,81.08,82.45,3563000,74.34
"2009-11-16",83.14,85.2,83.13,84.48,4526000,76.17
"2009-11-17",84.13,84.87,83.47,84.05,3878400,75.78
"2009-11-18",84.24,84.48,82.62,83.21,3826600,75.03
"2009-11-19",82.76,83,80.35,81.53,5969300,73.51
"2009-11-20",81.12,81.12,79.08,79.99,6446400,72.12
"2009-11-23",81.23,82.96,81.18,82.14,4440700,74.06
"2009-11-24",81.71,82.92,80.81,82.73,4127800,74.59
"2009-11-25",82.99,84.16,82.47,84.03,3336800,75.77
"2009-11-27",80.65,81.68,79.3,81.2,3070000,73.21
"2009-11-30",80.77,81.66,80.01,80.79,4331600,72.84
"2009-12-01",82.02,83.13,81.79,82.18,3265800,74.1
"2009-12-02",82.01,82.1,80.46,81.21,3572800,73.22
"2009-12-03",81.05,81.66,80.01,80.15,3954700,72.27
"2009-12-04",80.99,81.75,77.9,78.65,7056300,70.91
"2009-12-07",78.27,78.79,77.21,78.24,6299300,70.54
"2009-12-08",77.3,77.75,76.4,76.92,5470100,69.65
"2009-12-09",77.27,77.77,75.8,76.95,4664600,69.68
"2009-12-10",77.3,77.9,76.2,76.95,6392500,69.68
"2009-12-11",77.31,77.49,75.69,76,4893800,68.82
"2009-12-14",77.51,77.97,76.7,77.41,5680700,70.09
"2009-12-15",77.09,79.74,76.9,78.87,6034200,71.41
"2009-12-16",79.36,80.5,78.79,78.82,5514400,71.37
"2009-12-17",78.3,78.8,77.54,78.32,4624400,70.92
"2009-12-18",79.04,80.42,78.91,79.98,7748900,72.42
"2009-12-21",80.4,81.44,80.32,80.67,3834800,73.04
"2009-12-22",80.5,81.9,80.37,81.41,2692400,73.71
"2009-12-23",81.87,82.7,81.61,82.46,2723400,74.66
"2009-12-24",82.16,82.77,82.05,82.47,869500,74.67
"2009-12-28",82.65,83.24,81.97,82.51,2111400,74.71
"2009-12-29",82.79,83,81.56,82.1,2083100,74.34
"2009-12-30",81.82,82.58,81.44,82.37,2071000,74.58
"2009-12-31",82.43,82.57,81.22,81.35,1832600,73.66
"2010-01-04",82.66,83.51,82.2,83.1,3478100,75.24
"2010-01-05",83.18,83.23,82.03,82.5,3368000,74.7
"2010-01-06",82.4,83.87,81.83,83.49,5344700,75.6
"2010-01-07",82.95,83.63,82.37,82.87,4120200,75.04
"2010-01-08",82.52,83.78,81.53,83.72,4154600,75.81
"2010-01-11",84.15,84.83,82.3,82.96,3908300,75.12
"2010-01-12",81.8,82.17,79.91,80.16,6775100,72.58
"2010-01-13",80.34,80.7,78.6,79.63,7363200,72.1
"2010-01-14",79.15,80.43,79.12,80.25,4519700,72.66
"2010-01-15",80.04,80.27,78.35,78.92,7906800,71.46
"2010-01-19",78.65,79.43,78.25,79.36,5461000,71.86
"2010-01-20",78.6,78.6,76.81,78.21,6026000,70.82
"2010-01-21",78.15,78.51,75.89,76.01,7288300,68.82
"2010-01-22",76.59,78.16,75.72,76.1,9715400,68.91
"2010-01-25",77.03,78.53,76.8,77.65,6442600,70.31
"2010-01-26",76.21,77.97,76.21,76.66,8728100,69.41
"2010-01-27",76.7,77.2,75.39,76.43,5060700,69.2
"2010-01-28",77.46,78.82,74.38,77.5,11353800,70.17
"2010-01-29",78.14,79.82,77.75,78.34,10751600,70.93
"2010-02-01",79.09,79.92,78.95,79.83,6083000,72.28
"2010-02-02",80.11,80.93,79.21,80.78,5158700,73.14
"2010-02-03",80.66,81.13,79.64,80.13,3532000,72.55
"2010-02-04",79.43,79.43,76.3,76.44,7646700,69.21
"2010-02-05",76.38,77.16,74.27,76.71,10234900,69.46
"2010-02-08",76.77,78.58,76.02,76.3,6633500,69.09
"2010-02-09",77.4,78.9,76.48,77.91,8068600,70.54
"2010-02-10",78.41,78.92,77.1,78.39,5895800,70.98
"2010-02-11",78.46,80.52,77.75,80.46,6212300,72.85
"2010-02-12",79.21,79.9,78.29,79.8,6187800,72.26
"2010-02-16",81,81.46,79.88,81.18,5824800,73.51
"2010-02-17",81.18,81.44,79.86,80.94,4749400,73.29
"2010-02-18",80.62,81.18,79.79,80.99,4118900,73.33
"2010-02-19",80.77,82,80.58,81.51,3877900,73.8
"2010-02-22",82,82.12,79.84,80.01,5310700,72.45
"2010-02-23",80.1,80.42,78.89,79.01,7339100,71.54
"2010-02-24",79.77,79.95,78.77,79.55,3658700,72.03
"2010-02-25",77.99,79.18,77.04,79.03,5130300,71.56
"2010-02-26",79.53,80.1,78.67,79.85,4398000,72.3
"2010-03-01",80.26,81.12,80.14,80.75,4165000,73.12
"2010-03-02",81.23,81.86,80.9,81.2,4038200,73.52
"2010-03-03",81.53,82.07,80.84,81.03,6757000,73.37
"2010-03-04",80.92,81.85,80.83,81.25,4340300,73.57
"2010-03-05",81.96,82.24,81.33,81.94,3836300,74.19
"2010-03-08",81.77,82.08,81.03,81.49,3469500,74.08
"2010-03-09",80.9,82.37,80.8,81.49,6125700,74.08
"2010-03-10",81.34,82.23,80.99,81.97,4322100,74.52
"2010-03-11",81.65,82.45,81.44,81.86,3902200,74.42
"2010-03-12",82.38,82.49,81.43,81.84,3944100,74.4
"2010-03-15",81.46,81.64,80.17,81.06,3190300,73.69
"2010-03-16",81.58,82.45,80.93,82.37,5519700,74.88
"2010-03-17",82.65,83.74,82.52,83.21,6983100,75.65
"2010-03-18",82.88,83.29,81.53,82.51,4552500,75.01
"2010-03-19",83.19,83.19,81.84,82.58,6781100,75.08
"2010-03-22",81.54,82.84,81.26,82.57,3759700,75.07
"2010-03-23",82.57,83.46,81.94,83.32,7503700,75.75
"2010-03-24",82.87,83.55,82.36,82.95,5154900,75.41
"2010-03-25",83.74,83.95,81.41,81.51,6761700,74.1
"2010-03-26",81.92,82.06,81.14,81.73,8075500,74.3
"2010-03-29",82.24,84.46,81.94,84.14,8140700,76.49
"2010-03-30",84.7,84.81,84,84.27,5093400,76.61
"2010-03-31",84.36,85.05,83.89,84.54,5475600,76.86
"2010-04-01",85.25,86.97,85.25,86.6,5436300,78.73
"2010-04-05",87.01,88.74,86.81,88.41,4603100,80.38
"2010-04-06",88.08,88.8,87.88,88.49,4296300,80.45
"2010-04-07",88.05,88.08,86,86.3,8444500,78.46
"2010-04-08",85.77,86.78,84.7,86.58,5645000,78.71
"2010-04-09",86.61,87.08,85.59,86.56,4527200,78.69
"2010-04-12",86.71,87.01,86.31,86.79,4951900,78.9
"2010-04-13",86.34,86.66,84.74,85.69,4457200,77.9
"2010-04-14",86.17,86.19,85,86.16,4926000,78.33
"2010-04-15",86.04,86.93,85.31,86.47,4824300,78.61
"2010-04-16",85.79,86.6,84.59,85.06,6834600,77.33
"2010-04-19",84.16,84.82,83.4,84.69,4680800,76.99
"2010-04-20",85.59,87.55,85.39,86.59,4832300,78.72
"2010-04-21",86.45,87.22,85.11,85.88,4306800,78.08
"2010-04-22",85.05,85.42,84.21,85.3,4556700,77.55
"2010-04-23",85.45,87.52,84.58,87.48,4627600,79.53
"2010-04-26",87.66,88.78,87.18,87.41,3873700,79.47
"2010-04-27",86.82,87.54,84.04,84.35,5494700,76.68
"2010-04-28",84.87,85.32,83.87,84.9,4917400,77.18
"2010-04-29",84.93,86.61,84.72,86.25,5441800,78.41
"2010-04-30",86.64,90.43,86.42,88.66,9954900,80.6
"2010-05-03",89.17,90.99,88.98,89.99,6658700,81.81
"2010-05-04",88.01,88.1,85.25,86.54,5760700,78.68
"2010-05-05",85.02,85.27,82.34,82.88,8825400,75.35
"2010-05-06",82.34,83.64,74.2,80.42,11560900,73.11
"2010-05-07",80.27,81.61,77.78,80.61,12369200,73.28
"2010-05-10",83.23,85.29,82.63,84.16,8177900,76.51
"2010-05-11",83.08,84.54,82.64,83.03,5380600,75.48
"2010-05-12",83.18,85,83.18,84.75,4934900,77.05
"2010-05-13",84.39,84.8,83.23,83.42,4671500,75.84
"2010-05-14",82.73,83.25,80.28,81.96,5465000,74.51
"2010-05-17",82.07,82.57,79.32,80.53,6971800,73.21
"2010-05-18",82,82.77,80.57,80.93,7882600,73.58
"2010-05-19",80.5,80.99,78.17,79.54,7894000,72.31
"2010-05-20",77.62,79.6,76.61,77.66,10753900,70.6
"2010-05-21",76.08,79.72,75.63,79.41,9072100,72.19
"2010-05-24",79.5,79.64,77.77,77.9,5661700,70.82
"2010-05-25",76,79.03,74.9,78.94,7548800,71.77
"2010-05-26",79.91,80.4,77.93,78.18,6565600,71.08
"2010-05-27",80,82.52,79.7,82.43,6316200,74.94
"2010-05-28",82.41,83.88,81.62,82.51,6659200,75.01
"2010-06-01",81.5,83.45,80,80.07,9419100,72.79
"2010-06-02",80.73,81.93,79.42,81.85,7227500,74.41
"2010-06-03",81.94,83.42,80.2,82.92,7087200,75.38
"2010-06-04",80.78,81.77,77.59,78.42,8345800,71.29
"2010-06-07",78.8,80.45,78.49,78.74,5842000,71.58
"2010-06-08",78.54,80.3,78.09,80.09,4910900,73.16
"2010-06-09",81.31,81.96,79.39,79.97,5744500,73.06
"2010-06-10",81.35,83.65,81.15,83.49,5378700,76.27
"2010-06-11",82.51,85.11,82.25,85.01,5693800,77.66
"2010-06-14",85.74,87.2,84.61,84.71,6481900,77.39
"2010-06-15",85.54,87.06,85.18,86.74,4962300,79.24
"2010-06-16",86.06,87.78,85.45,87.08,3916000,79.55
"2010-06-17",87.38,87.61,85.54,86.62,4143100,79.13
"2010-06-18",86.67,87.55,86.18,86.98,4824100,79.46
"2010-06-21",88.12,88.84,85.1,85.8,6392600,78.38
"2010-06-22",86.04,86.35,83.39,83.66,5210900,76.43
"2010-06-23",83.19,84.64,82.7,83.81,4177300,76.56
