"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2007-08-20",125.99,130.71,124.21,128.27,8288800,56
"2007-08-21",127.63,130.33,126.85,129.3,5100000,56.45
"2007-08-22",130.45,132.25,129.29,130.72,6070600,57.07
"2007-08-23",131.5,131.69,126.71,127.38,5525400,55.61
"2007-08-24",127.88,130.45,126.52,130.26,4729800,56.87
"2007-08-27",129.25,132,129.25,130.27,4387400,56.87
"2007-08-28",129.25,129.74,126.42,126.42,4296000,55.19
"2007-08-29",127.58,132,126.56,131.45,6223400,57.39
"2007-08-30",130.23,133.9,130.23,131.9,4188200,57.58
"2007-08-31",133.99,137.1,133.5,136.06,5383400,59.4
"2007-09-04",136.72,140.09,136.3,138.64,6578000,60.53
"2007-09-05",137.49,139.3,136.3,137.56,6254400,60.05
"2007-09-06",138.35,138.72,135.06,136.79,4698200,59.72
"2007-09-07",133.95,136.44,132.55,135.86,5529200,59.31
"2007-09-10",136.74,138.53,134.3,136.98,5054800,59.8
"2007-09-11",137.03,139.14,136,138.29,5598800,60.37
"2007-09-12",138.19,140.52,137.16,137.83,4898800,60.17
"2007-09-13",138.15,139.1,137.17,137.95,4219600,60.23
"2007-09-14",136.62,138.99,136.26,137.93,3578800,60.22
"2007-09-17",137.15,141.17,137.06,139.43,5657400,60.87
"2007-09-18",140.25,145.86,139.76,145.86,5784200,63.68
"2007-09-19",147.34,149.18,143.57,145.1,7611400,63.35
"2007-09-20",144.5,146.02,143.24,144.48,3610400,63.08
"2007-09-21",145.89,147.45,144.48,147.28,4499400,64.3
"2007-09-24",146.85,146.96,145.43,145.75,3963200,63.63
"2007-09-25",144.5,144.82,140.6,142.17,7014200,62.07
"2007-09-26",143.39,146.89,142.95,146.15,5135000,64.03
"2007-09-27",146.25,148.79,146,147.39,4331800,64.57
"2007-09-28",147.4,149.9,147.32,148.42,4387000,65.02
"2007-10-01",148.61,151.17,148.4,150.92,3995000,66.12
"2007-10-02",151.37,151.73,147,148.25,4548000,64.95
"2007-10-03",147.71,148.8,144.9,145.01,5421800,63.53
"2007-10-04",146.01,148.38,145.77,147.61,3304800,64.67
"2007-10-05",148.73,149.99,146.84,147.27,4345200,64.52
"2007-10-08",147.27,149,145.01,148.62,2271800,65.11
"2007-10-09",149.89,151.77,148.95,151.51,4303000,66.38
"2007-10-10",150.79,155.04,150.2,154.7,4858600,67.78
"2007-10-11",156.09,157.3,150,152.78,5204400,66.93
"2007-10-12",153.54,156.18,153.02,154.22,4185400,67.57
"2007-10-15",154.83,155.44,152.02,154.42,4035800,67.65
"2007-10-16",153.65,153.94,150.16,151.04,5192600,66.17
"2007-10-17",153.99,154.3,149.35,150.6,4569800,65.98
"2007-10-18",149.2,153.81,149.09,152.55,3880800,66.83
"2007-10-19",151.72,151.89,144.82,145.14,6110400,63.59
"2007-10-22",142.51,145.15,141,144.84,6162800,63.46
"2007-10-23",147.73,150,146.23,149.87,3791800,65.66
"2007-10-24",148.89,149.19,145.01,148.87,4969200,65.22
"2007-10-25",148.59,148.59,143.29,147.34,5275400,64.55
"2007-10-26",148.46,150,143.51,145.44,4818800,63.72
"2007-10-29",146.52,151.05,146.03,150.96,4108800,66.14
"2007-10-30",155.4,155.4,150.3,150.65,4709200,66
"2007-10-31",151.24,155,150.86,154.9,4289200,67.86
"2007-11-01",152.5,153.3,150.1,150.55,4840600,65.96
"2007-11-02",151.59,153.2,148.5,152.73,4291400,66.91
"2007-11-05",150,155.98,149.9,154.28,4819800,67.59
"2007-11-06",154.4,160.49,154.4,160.3,5237000,70.23
"2007-11-07",159.22,159.35,154.13,154.32,4492800,67.61
"2007-11-08",154.45,158.8,153.73,157.91,5241200,69.18
"2007-11-09",155.83,155.95,152.85,153.03,5501800,67.04
"2007-11-12",153.07,153.07,140.35,141.84,8393000,62.14
"2007-11-13",144.5,146.85,141,145.87,6068200,63.91
"2007-11-14",148.75,151.36,145.2,147.1,5744000,64.45
"2007-11-15",147.25,147.46,140.68,141.94,6831600,62.19
"2007-11-16",143.18,145.25,140.7,145.06,6989600,63.55
"2007-11-19",144.43,145.7,140.53,141.51,5398000,62
"2007-11-20",143.59,146.2,140.9,145,5809400,63.53
"2007-11-21",146.35,154.74,141.94,152.06,14294800,66.62
"2007-11-23",155,156.64,153.04,156.64,3007400,68.63
"2007-11-26",159.1,163.02,158.06,158.46,7052600,69.42
"2007-11-27",160.66,161.59,157.23,161.04,6098000,70.55
"2007-11-28",162.58,170.17,162,170,7548000,74.48
"2007-11-29",168.09,172,168.01,169.29,5598400,74.17
"2007-11-30",170.68,174.75,169.2,171.8,7133200,75.27
"2007-12-03",171.84,179.9,170.2,177.04,9888000,77.56
"2007-12-04",87.99,89.2,86.92,87.69,3610100,76.84
"2007-12-05",89.3,89.9,87.75,88.9,3795400,77.9
"2007-12-06",88.87,90.95,88,90.49,3285100,79.29
"2007-12-07",90.5,90.5,87.6,88.11,5369400,77.2
"2007-12-10",87.65,89.25,86.39,88.89,3554300,77.89
"2007-12-11",89.21,89.85,84.64,85.39,5242100,74.82
"2007-12-12",88.07,89.14,86.36,87.9,5483500,77.02
"2007-12-13",87.55,88.97,87.32,88.85,3411400,77.85
"2007-12-14",89.48,90.49,86.99,87.16,4526200,76.37
"2007-12-17",86.27,87.47,84.15,84.27,3725300,73.84
"2007-12-18",85.05,85.95,82.03,83.85,5286000,73.47
"2007-12-19",84.66,84.73,82.31,83.63,3216300,73.28
"2007-12-20",84.87,87.35,84.18,86.63,4969900,75.91
"2007-12-21",87.39,90,87.26,89.83,5595200,78.71
"2007-12-24",90.88,91.9,90,91.66,1665200,80.31
"2007-12-26",91,92.98,91,92.67,2433500,81.2
"2007-12-27",91.47,92.77,90.31,90.37,3450300,79.4
"2007-12-28",91.71,92.4,90.92,92.28,3700900,81.08
"2007-12-31",92.01,93.74,91.5,93.12,3426800,81.81
"2008-01-02",94.01,94.01,89.52,90.2,5109500,79.25
"2008-01-03",90.67,94.39,90.64,93.9,4780100,82.5
"2008-01-04",92.9,92.9,89.98,89.98,4068700,79.06
"2008-01-07",90.71,92.32,87.34,88.4,5491400,77.67
"2008-01-08",88.68,91.21,87.77,88.06,4933900,77.37
"2008-01-09",88.07,88.67,83.61,87.65,8440300,77.01
"2008-01-10",87.17,91.23,86.25,90.24,4912100,79.28
"2008-01-11",89.59,92.64,89,89.26,4912200,78.42
"2008-01-14",90.16,94.77,90.16,94.69,6023300,83.19
"2008-01-15",93.43,94.27,90.94,92.36,6693900,81.15
"2008-01-16",91.76,92.75,86.35,87.86,7837400,77.19
"2008-01-17",87.94,88.27,78.37,79.09,13420700,69.49
"2008-01-18",79.8,81.72,75.22,76.4,10869500,67.12
"2008-01-22",71.58,84.39,71.2,83.15,13697400,73.06
"2008-01-23",79.1,83,74,82.94,9462500,72.87
"2008-01-24",84.26,86.94,81,82.59,8533900,72.56
"2008-01-25",83.56,86,81.88,82.88,5422300,72.82
"2008-01-28",81.32,85.51,81.32,85.43,3912000,75.06
"2008-01-29",86.56,87.96,85.78,86.74,3995800,76.21
"2008-01-30",86.53,89.5,84.26,86.47,4763500,75.97
"2008-01-31",85.28,88.29,83.51,87.56,5929000,76.93
"2008-02-01",87.75,90.49,87.51,88.91,5293000,78.12
"2008-02-04",90.28,90.28,87.51,88.2,3404200,77.49
"2008-02-05",86.65,87.5,83.41,83.48,4421200,73.35
"2008-02-06",84.18,86.24,82.89,83.3,3893000,73.19
"2008-02-07",81.7,82.82,80.15,81.98,6815100,72.03
"2008-02-08",81.7,83.03,81,82.46,3966800,72.45
"2008-02-11",82.6,84.69,81.8,84.34,3616800,74.1
"2008-02-12",85.1,87.47,85.08,86.48,5747800,75.98
"2008-02-13",86.7,87.31,83.94,85.54,8321400,75.15
"2008-02-14",86.64,87.79,85.26,86.34,5324100,75.86
"2008-02-15",86.01,86.5,83.74,85,5518000,74.68
"2008-02-19",85.9,86.34,82.36,83.49,6154400,73.35
"2008-02-20",82.93,86.08,82.22,85.78,5096800,75.37
"2008-02-21",86.48,87.58,85.5,85.88,4860600,75.45
"2008-02-22",86.06,87.25,85.38,87.17,4071300,76.59
"2008-02-25",87.39,89.6,87.08,88.99,5452400,78.19
"2008-02-26",88.6,89.22,86.85,87.46,4682400,76.84
"2008-02-27",86.7,87.76,85.71,86.24,4746800,75.77
"2008-02-28",85.79,87.53,85.08,86.97,4087000,76.41
"2008-02-29",86.85,87.24,84.85,85.21,5207800,74.87
"2008-03-03",85,87.9,85,87.57,4355200,76.94
"2008-03-04",86.93,87.94,85,86.69,5229300,76.17
"2008-03-05",86.99,89.47,86.44,89.28,4912300,78.44
"2008-03-06",89.02,89.75,87.55,87.85,4970400,77.18
"2008-03-07",86.85,86.99,82.81,83.22,8069700,73.12
"2008-03-10",83.46,83.74,80.66,81.25,7046600,71.39
"2008-03-11",83.25,85.73,82.55,85.73,5293600,75.32
"2008-03-12",86.09,86.46,83.74,83.98,4649700,73.78
"2008-03-13",82.27,84.98,81.63,84.23,6238900,74
"2008-03-14",85.01,85.24,81.11,82.88,6036200,72.82
"2008-03-17",80.13,83.09,78.55,81.03,5077100,71.19
"2008-03-18",83.83,83.9,80.52,83.43,6680500,73.3
"2008-03-19",82.6,84.2,79.37,79.49,5346100,69.84
"2008-03-20",79.01,79.94,76.55,79.23,7815200,69.61
"2008-03-24",80,82.1,79.45,81.45,4030900,71.56
"2008-03-25",82.6,83.37,80.9,82.24,4496100,72.26
"2008-03-26",81.98,82.39,80.5,80.82,4602100,71.01
"2008-03-27",79.99,81.26,76.59,79.15,4697000,69.76
"2008-03-28",79.7,81.43,79.05,79.94,3068000,70.45
"2008-03-31",80.02,81.3,79.75,80.44,3556800,70.89
"2008-04-01",81.59,82.98,79.3,81.04,5651000,71.42
"2008-04-02",81.18,82.08,79.31,79.82,5938500,70.35
"2008-04-03",79.5,83.43,79.44,83,5679900,73.15
"2008-04-04",83.3,87.13,82.61,85.74,6664600,75.56
"2008-04-07",86.35,89.5,86.35,88.4,6733400,77.91
"2008-04-08",87.7,89.03,87.33,88.67,3159000,78.15
"2008-04-09",88.89,89.27,85.9,86.92,3613600,76.6
"2008-04-10",87,87.94,85.63,86.91,3082700,76.6
"2008-04-11",85.2,87.13,85,86.31,3252800,76.07
"2008-04-14",86.11,87,85.5,86,2880300,75.79
"2008-04-15",86.73,87.48,85.09,86.22,3041800,75.99
"2008-04-16",87.25,90.3,86.95,90.18,10555200,79.48
"2008-04-17",90.1,91.39,87.9,89.55,5295900,78.92
"2008-04-18",91,94.89,91,92.68,9025200,81.68
"2008-04-21",92.65,94.05,92,93.35,4040600,82.27
"2008-04-22",93.5,93.75,90.65,91.9,4047800,80.99
"2008-04-23",92.44,92.5,89.9,90.5,3768500,79.76
"2008-04-24",90.48,90.48,87.12,88.89,5655300,78.34
"2008-04-25",89.5,90.31,88.09,90,4035600,79.32
"2008-04-28",90.74,91.25,89.36,89.53,3265500,78.9
"2008-04-29",89.24,89.43,83.71,84.09,6434900,74.11
"2008-04-30",84.26,86.27,83.51,84.07,5524000,74.09
"2008-05-01",84.11,84.69,81.05,84.4,5877300,74.38
"2008-05-02",85.6,85.6,83.58,85.24,4037800,75.12
"2008-05-05",84.98,85.79,82.86,84.37,4199700,74.36
"2008-05-06",83.7,86.2,83.7,86.08,3648000,75.86
"2008-05-07",86.3,87.39,84.55,84.97,3431200,74.89
"2008-05-08",85.47,86.82,85.07,86.82,3069300,76.52
"2008-05-09",86.51,86.66,84.6,86.31,3276200,76.07
"2008-05-12",87.5,89.89,86.53,89.37,4282100,78.76
"2008-05-13",90,90.73,88.82,90.19,5213800,79.49
"2008-05-14",85.33,85.5,80.75,81.25,32298200,71.61
"2008-05-15",82.2,83.69,81.63,83.61,13154000,73.69
"2008-05-16",83.74,84.14,82.78,83.53,5996200,73.62
"2008-05-19",83.7,84.1,80.24,80.8,9358900,71.21
"2008-05-20",80.57,82.5,79.92,82.01,7590700,72.28
"2008-05-21",82.32,83.9,81.63,81.83,6127100,72.12
"2008-05-22",81.78,82.38,80.22,80.95,5420400,71.34
"2008-05-23",80.64,81.42,79.05,80.42,3770900,70.88
"2008-05-27",80.42,80.7,78.63,79.86,4839400,70.38
"2008-05-28",80.05,82.84,79.55,82.58,6514600,72.78
"2008-05-29",82.5,82.7,80.81,81.34,5223400,71.69
"2008-05-30",81.75,82.26,81.17,81.34,3818600,71.69
"2008-06-02",81.33,82.4,80.13,80.78,3721200,71.19
"2008-06-03",81,81.38,79.41,80.93,5839300,71.33
"2008-06-04",80.45,81.84,80.26,80.65,3487400,71.08
"2008-06-05",81.11,82.96,80.35,82.85,5690600,73.02
"2008-06-06",82,83.65,81.17,81.31,6356100,71.66
"2008-06-09",81.95,82.23,81,81.68,3727200,71.99
"2008-06-10",81.25,82.74,80.75,81.66,4746000,71.97
"2008-06-11",82,82,78.55,79,6395400,69.62
"2008-06-12",79.5,80.54,77.12,77.96,6855900,68.71
"2008-06-13",78.65,79.13,77.32,77.92,6508800,68.67
"2008-06-16",78.58,81.22,78.14,80.6,6011400,71.03
"2008-06-17",80.9,81,79.19,79.2,3643500,69.8
"2008-06-18",78.72,79.84,77.77,78.06,4451400,68.8
"2008-06-19",77.99,78.36,77.4,77.68,3367800,68.46
"2008-06-20",77.5,78,75.57,76.37,5600500,67.31
"2008-06-23",77.14,77.74,75.76,77.48,4743200,68.28
"2008-06-24",76.51,77.67,74.93,75.34,5771700,66.4
"2008-06-25",75.48,76.09,73.35,73.56,7251600,64.83
"2008-06-26",72.33,73.09,70.32,71.5,7749600,63.26
"2008-06-27",70.74,71.96,70.16,71.38,9666400,63.15
"2008-06-30",71.42,72.91,70.69,72.13,4866000,63.81
"2008-07-01",70.93,73.84,70.12,73.42,6692500,64.95
"2008-07-02",73.84,74.18,70.2,70.25,6417600,62.15
"2008-07-03",70.27,70.99,67.86,68.45,5584000,60.56
"2008-07-07",68.75,70.98,68.36,69.82,5577700,61.77
"2008-07-08",69.39,69.82,66.43,66.96,9238800,59.24
"2008-07-09",67.75,67.84,63.94,64.01,8409500,56.63
"2008-07-10",64.29,66.31,64,65.84,6541700,58.25
"2008-07-11",65.2,66.49,64,64.99,4973800,57.5
"2008-07-14",65.82,67.64,65.66,67.3,5160900,59.54
"2008-07-15",66.5,67.03,64.55,64.76,6238500,57.29
"2008-07-16",64.97,65.77,63.51,65.15,9580300,57.64
"2008-07-17",65.68,68.68,65.68,67.86,6963800,60.03
"2008-07-18",68.05,69.08,66.85,67.33,5279300,59.57
"2008-07-21",68.1,71.29,67.56,70.96,6200400,62.78
"2008-07-22",70.78,71.57,69.21,70.58,6022500,62.44
"2008-07-23",71.85,73,71.31,71.52,5585900,63.27
"2008-07-24",71.5,72.23,67.3,67.79,6011000,59.97
"2008-07-25",68.27,69.36,66.96,69.18,4179700,61.2
"2008-07-28",69.3,70.46,69.04,69.71,5423300,61.67
"2008-07-29",71.07,72.36,69.95,70.8,5461100,62.64
"2008-07-30",71.46,73.57,70.87,73.47,5907800,65
"2008-07-31",72.67,72.67,69.99,70.16,6587700,62.07
"2008-08-01",70.71,71.37,69.88,70.22,4583500,62.12
"2008-08-04",68.53,68.85,65.05,65.24,9149800,57.72
"2008-08-05",66.07,66.8,65.51,66.67,5869200,58.98
"2008-08-06",66.52,68.4,66.04,67.41,3823600,59.64
"2008-08-07",66.95,68.47,66,66.97,4522900,59.25
"2008-08-08",66.59,69.72,66,69.06,3606100,61.1
"2008-08-11",68.78,70,67.84,69.58,6013000,61.56
"2008-08-12",69.01,70.66,68.42,69.35,4210400,61.35
"2008-08-13",62.43,67.37,60.99,67.1,28749100,59.36
"2008-08-14",67.66,68.04,66.55,66.9,6951500,59.19
"2008-08-15",68.06,68.28,65.55,66.65,4838900,58.96
"2008-08-18",67.13,67.93,65.8,66.62,3772600,58.94
"2008-08-19",66.34,66.6,65.24,65.5,2844600,57.95
"2008-08-20",65.6,66.57,65.01,66.33,3067200,58.68
"2008-08-21",65.68,67.5,65.5,66.98,3923700,59.26
"2008-08-22",67.26,68.15,66.86,67.54,2352600,59.75
"2008-08-25",67.27,67.4,65.75,66.04,2336900,58.42
