"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"2012-01-10",75.24,76.35,74.84,76.03,4722200,72.09
"2012-01-11",75.58,76.97,75.5,76.7,4598100,72.73
"2012-01-12",77.16,77.51,76.51,77.24,3713700,73.24
"2012-01-13",76.56,76.74,75.81,76.08,3473600,72.14
"2012-01-17",77.21,78.22,76.99,77.04,5144100,73.05
"2012-01-18",76.8,77.86,76.57,77.6,3763500,73.58
"2012-01-19",77.65,77.85,77.07,77.19,4495000,73.19
"2012-01-20",76.73,77.77,75.69,76.69,6517500,72.72
"2012-01-23",76.47,77.54,76.47,76.86,4325800,72.88
"2012-01-24",76.63,77.8,76.5,77.78,5606500,73.75
"2012-01-25",76.95,78.66,75.63,77.65,7294400,73.63
"2012-01-26",78.86,78.86,77.02,77.41,4923500,73.4
"2012-01-27",77.16,77.87,76.91,77.62,4073400,73.6
"2012-01-30",76.96,77.63,76.42,77.61,4773300,73.59
"2012-01-31",77.64,78.75,77.64,78.35,6005600,74.29
"2012-02-01",78.97,80.38,78.97,80.22,6779800,76.06
"2012-02-02",80.48,80.63,79.8,80.02,5028900,75.87
"2012-02-03",80.96,81.5,80.8,81.05,5385400,76.85
"2012-02-06",80.5,80.81,80.12,80.57,3853600,76.4
"2012-02-07",80.34,80.49,79.67,80.28,2799700,76.12
"2012-02-08",80.53,81.86,79.77,81.74,6913800,77.5
"2012-02-09",82.74,84.31,82.5,83.78,8907500,79.44
"2012-02-10",82.92,83.5,82.65,83.5,4509400,79.17
"2012-02-13",84.2,85.2,84.08,84.88,5564700,80.48
"2012-02-14",84.46,84.65,83.97,84.64,3555200,80.25
"2012-02-15",84.64,84.68,82.48,82.6,6471400,78.77
"2012-02-16",82.55,83.33,82.48,83.22,4170500,79.36
"2012-02-17",83.83,84.19,83.47,83.78,3817400,79.89
"2012-02-21",84.3,84.64,83.26,83.96,3600700,80.06
"2012-02-22",83.9,84.3,83.44,83.95,3175500,80.05
"2012-02-23",84.2,84.64,83.01,83.49,4703500,79.62
"2012-02-24",83.71,84.54,83.57,83.97,3289000,80.07
"2012-02-27",83.32,84.12,82.83,83.63,3054100,79.75
"2012-02-28",83.72,83.79,83.11,83.47,2573400,79.6
"2012-02-29",83.8,84.32,83.53,83.87,4177400,79.98
"2012-03-01",83.86,84.44,83.67,84.16,4036300,80.25
"2012-03-02",83.92,84.64,83.9,84.54,3601200,80.62
"2012-03-05",84.12,84.2,82.86,83.29,3156600,79.42
"2012-03-06",82.61,82.68,81.01,81.39,4840100,77.61
"2012-03-07",81.9,82.87,81.71,82.57,4266100,78.74
"2012-03-08",83.52,83.99,83.01,83.53,2739600,79.65
"2012-03-09",83.49,83.92,83.23,83.55,2511100,79.67
"2012-03-12",83.84,84.23,83.69,83.99,3592400,80.09
"2012-03-13",84.51,86.73,84.06,86.57,7594700,82.55
"2012-03-14",86.35,86.9,85.85,86.81,6995900,82.78
"2012-03-15",86.89,87.5,85.9,86.89,7203200,82.86
