"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2013-02-21",62.92,63.59,62.35,62.39,4956800,60.89
"2013-02-22",62.78,62.98,62.21,62.9,3342400,61.39
"2013-02-25",63.25,63.25,60.82,60.82,3890300,59.36
"2013-02-26",61.13,61.29,60.37,61.14,3306300,59.67
"2013-02-27",61.13,61.8,60.84,61.68,2511700,60.2
"2013-02-28",61.64,62.61,61.57,62.39,3825700,60.89
"2013-03-01",62.02,62.94,61.52,62.78,3522200,61.27
"2013-03-04",62.64,63.58,62.42,63.52,2322100,61.99
"2013-03-05",63.9,64.36,63.37,63.66,5066600,62.13
"2013-03-06",64.1,64.46,63.36,64.16,3746400,62.62
"2013-03-07",64.3,64.99,64.16,64.81,2665500,63.25
"2013-03-08",65.03,65.19,64.44,65.02,3631900,63.46
"2013-03-11",65.03,65.9,64.95,65.87,1991900,64.29
"2013-03-12",65.78,65.87,65.11,65.42,1747300,63.85
"2013-03-13",65.55,65.99,65.3,65.93,1643300,64.35
"2013-03-14",66.02,66.48,65.82,66.26,2127700,64.67
"2013-03-15",66,66.93,65.84,66.8,3445500,65.2
"2013-03-18",65.9,66.47,65.52,66.25,2055800,64.66
"2013-03-19",66.28,66.65,65.71,66.25,2333900,64.66
"2013-03-20",66.63,66.93,66.44,66.7,2279800,65.1
"2013-03-21",66.33,66.62,65.83,66.03,2724500,64.44
"2013-03-22",66.19,66.48,65.97,66.21,1950300,64.62
"2013-03-25",66.44,66.63,65.73,66.14,1684900,64.55
"2013-03-26",66.63,66.64,66.08,66.28,1681500,64.69
"2013-03-27",65.9,66.27,65.53,66.19,2342200,64.6
"2013-03-28",66.06,66.58,65.8,66.5,2089500,64.9
"2013-04-01",66.41,66.55,65.61,65.79,1259300,64.21
"2013-04-02",66.15,66.87,65.96,66.81,3206100,65.21
"2013-04-03",66.68,66.76,64.91,65.13,3052800,63.57
"2013-04-04",65.38,65.99,65,65.6,2481200,64.02
"2013-04-05",64.73,65.35,64.21,65.24,1848900,63.67
"2013-04-08",65.15,66.09,64.79,66.07,1695100,64.48
"2013-04-09",66.13,66.67,65.98,66.35,2278100,64.76
"2013-04-10",66.59,67.32,66.53,67.19,2891500,65.58
"2013-04-11",67.28,67.57,66.96,67.31,2878800,65.69
"2013-04-12",66.33,66.48,65.63,65.81,2716500,64.65
"2013-04-15",65.69,66.51,63.74,63.75,3143200,62.63
"2013-04-16",64.28,64.86,63.69,64.79,3717500,63.65
"2013-04-17",65.61,66.25,64.47,65.05,5697800,63.91
"2013-04-18",65.26,65.95,64.76,65.24,4073500,64.09
"2013-04-19",65.5,65.56,64.93,65.23,3972000,64.08
"2013-04-22",65.43,65.71,65.11,65.41,2835200,64.26
"2013-04-23",65.56,67.44,65.18,67.21,4874800,66.03
"2013-04-24",67.34,68.47,67,68.44,4529600,67.24
"2013-04-25",68.69,69.65,68.52,68.7,6241300,67.49
"2013-04-26",68.61,68.98,67.89,68.1,3146200,66.9
"2013-04-29",68.17,68.57,68.03,68.41,2656900,67.21
"2013-04-30",68.22,68.34,67.54,67.88,4437400,66.69
"2013-05-01",67.8,67.98,67.08,67.17,2585300,65.99
"2013-05-02",67.22,67.55,67.03,67.18,2393700,66
"2013-05-03",67.92,68.57,67.9,68.11,2596800,66.91
"2013-05-06",68.12,68.46,67.98,68.26,2605900,67.06
"2013-05-07",68.47,68.86,68.01,68.76,2611600,67.55
"2013-05-08",68.68,69.03,68.4,68.97,3326600,67.76
"2013-05-09",68.96,69.09,68.5,68.72,2711200,67.51
"2013-05-10",68.89,69,68.38,68.57,1787100,67.36
"2013-05-13",68.5,69.02,67.97,68.76,2038200,67.55
"2013-05-14",68.86,70.4,68.74,70.17,3046600,68.94
