"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2010-07-23",75.5,77.98,74.6,76.97,3089100,72.56
"2010-07-26",76.9,78.43,76.7,77.85,2917300,73.39
"2010-07-27",82.18,82.34,78.62,79.43,6302100,74.88
"2010-07-28",79.25,80.39,79.01,79.76,3043500,75.19
"2010-07-29",80.93,81.09,78.27,79.14,2400000,74.6
"2010-07-30",77.7,80.14,77.01,79.61,2580900,75.05
"2010-08-02",81.48,82.13,80.78,81.41,2388000,76.74
"2010-08-03",81.2,81.87,79.47,80.04,3143900,75.45
"2010-08-04",80.52,81.64,79.47,81.49,2886500,76.82
"2010-08-05",81.05,81.98,80.15,81.64,1940900,76.96
"2010-08-06",80.94,82.21,79.65,81.13,2542100,76.48
"2010-08-09",82.04,82.46,80.76,81.12,1879800,76.47
"2010-08-10",80,81.88,79.56,81.48,3047300,76.81
"2010-08-11",79.26,80.13,77.17,77.81,4582600,73.35
"2010-08-12",75.51,78.52,75,77.97,4736600,73.5
"2010-08-13",77.7,78.42,77.02,77.75,2055400,73.29
"2010-08-16",77.06,78.42,76,77.77,1508900,73.31
"2010-08-17",78.86,81.24,78.69,80.57,2447000,75.95
"2010-08-18",80.6,82.17,79.37,81.83,2484100,77.14
"2010-08-19",81.24,82.69,80.39,81.24,3441900,76.83
"2010-08-20",82.07,82.15,78.65,79.51,2834100,75.2
"2010-08-23",80.19,80.19,76.04,76.5,3334200,72.35
"2010-08-24",75,76.24,73.76,74.77,3401100,70.71
"2010-08-25",73.8,74.3,71.51,73.48,4159100,69.49
"2010-08-26",74.23,75.62,72.48,72.57,3194400,68.63
"2010-08-27",73.71,76.5,71.97,76.19,3183400,72.06
"2010-08-30",75.32,76,73.66,73.82,1961500,69.81
"2010-08-31",73.24,75.23,72.51,74.41,2664900,70.37
"2010-09-01",77.07,81.21,77,79.88,5080100,75.55
"2010-09-02",79.74,81.84,79.09,81.8,3320500,77.36
"2010-09-03",82.91,84.69,82.16,83.16,3054500,78.65
"2010-09-07",82.43,82.75,80.75,80.88,2242200,76.49
"2010-09-08",81,82.42,80.34,81.96,1915200,77.51
"2010-09-09",83.33,83.49,80.85,81.44,1508400,77.02
"2010-09-10",81.88,82.82,81.24,81.92,1734600,77.47
"2010-09-13",84.28,84.93,83.34,84.81,2502600,80.21
"2010-09-14",84.18,85.58,83.65,85.02,1744000,80.41
"2010-09-15",84.15,84.49,82.3,83.32,3102000,78.8
"2010-09-16",83.03,84.5,82.77,84.08,2203300,79.52
"2010-09-17",84.74,85.57,83.02,85.14,2746500,80.52
"2010-09-20",85.86,88.43,85.32,87.95,2676500,83.18
"2010-09-21",88.6,90.47,87.85,89.13,3432300,84.29
"2010-09-22",89.11,90,87.67,88.39,2249000,83.59
"2010-09-23",87.16,89.62,86.75,88.31,3239800,83.52
"2010-09-24",90,92.5,90,90.86,3285600,85.93
"2010-09-27",90.86,90.86,89.34,89.6,1831200,84.74
"2010-09-28",90.06,91.17,88.24,90.96,1971400,86.02
"2010-09-29",90.77,91.9,90.35,91.3,1917100,86.35
"2010-09-30",92.4,92.86,89.68,90.58,2607700,85.66
"2010-10-01",91.37,91.7,89.66,91.31,2543500,86.36
"2010-10-04",91.25,91.68,88.85,89.69,3094400,84.82
"2010-10-05",91.35,92.97,90.63,92.24,2479800,87.23
"2010-10-06",92.19,93.6,91.93,93.22,1873300,88.16
"2010-10-07",93.7,93.8,90.83,92.28,2555200,87.27
"2010-10-08",92.59,93.66,91.52,92.91,1812800,87.87
"2010-10-11",93.19,94.19,92.5,93.06,1070000,88.01
"2010-10-12",92.88,92.88,90.68,92.26,1774500,87.25
"2010-10-13",93,93.75,92.55,92.82,1697500,87.78
"2010-10-14",93.01,94.77,93,93.76,1900600,88.67
"2010-10-15",94.37,94.87,92.41,93.64,1855300,88.56
"2010-10-18",93.64,93.64,90.8,91.35,2866500,86.39
"2010-10-19",89.74,91.58,88.8,90.17,2494900,85.28
"2010-10-20",90.58,93.14,90.36,92.05,1583100,87.05
"2010-10-21",92.58,93.81,91.83,93.75,2588700,88.66
"2010-10-22",94.09,94.09,92.5,93.63,1328200,88.55
"2010-10-25",94.77,96.13,94.26,94.49,2034800,89.36
"2010-10-26",87.41,91.56,87,89,10456900,84.17
"2010-10-27",89.27,90.25,88.22,89.26,4038400,84.42
"2010-10-28",90.23,90.23,88.24,89.01,3118400,84.18
"2010-10-29",89.26,89.86,87.94,88.1,2839600,83.32
"2010-11-01",87.9,89.5,87.51,88.2,2821900,83.41
"2010-11-02",88.8,91.76,88.49,91.37,3400100,86.41
"2010-11-03",91.4,91.68,89.87,91.47,1885200,86.51
"2010-11-04",93.22,95.72,92.78,95.64,2937700,90.45
"2010-11-05",95.64,96.63,95.26,96.39,1713800,91.16
"2010-11-08",95.85,96.1,94.91,95.4,1828000,90.22
"2010-11-09",95.2,95.51,92.85,93.3,2052700,88.24
"2010-11-10",93.78,94.97,92.48,94.53,1619100,89.4
