"","APOL.Open","APOL.High","APOL.Low","APOL.Close","APOL.Volume","APOL.Adjusted"
"2009-11-04",57.03,57.73,56.68,56.8,3132100,56.8
"2009-11-05",57.11,57.39,56.14,56.47,3104600,56.47
"2009-11-06",56.27,56.42,55.63,55.99,2886900,55.99
"2009-11-09",55.99,56.03,52.79,55.88,6755200,55.88
"2009-11-10",55.19,56.34,54.24,54.51,4241300,54.51
"2009-11-11",55,55.54,54.29,54.7,3087800,54.7
"2009-11-12",54.9,55.78,54.25,54.54,3067000,54.54
"2009-11-13",55.14,55.14,52.88,53.86,4170200,53.86
"2009-11-16",56.98,58.49,56.41,57,4937900,57
"2009-11-17",57.54,57.56,56.21,56.39,1868900,56.39
"2009-11-18",56.28,56.5,55.75,56.23,1639200,56.23
"2009-11-19",55.76,56,54.55,55.15,2732400,55.15
"2009-11-20",55.47,55.69,54.89,55.1,1895400,55.1
"2009-11-23",55.21,55.72,54.8,55.57,2091100,55.57
"2009-11-24",55.66,56.11,55.04,55.81,1955400,55.81
"2009-11-25",55.33,55.8,54.8,55.63,1508000,55.63
"2009-11-27",54.99,56.18,54.82,55.76,1033900,55.76
"2009-11-30",56.37,57.58,55.13,57.07,3765500,57.07
"2009-12-01",56.45,57.1,54.76,55.81,5781900,55.81
"2009-12-02",55.75,56.58,55.67,56.4,2240900,56.4
"2009-12-03",56.37,56.59,54.51,54.65,2962800,54.65
"2009-12-04",54.94,55.77,54.52,54.76,2906800,54.76
"2009-12-07",54.96,55.15,54.26,54.31,1551600,54.31
"2009-12-08",54.16,55.12,53.81,54.67,1989500,54.67
"2009-12-09",54.41,55.64,53.59,55.34,2477500,55.34
"2009-12-10",55.75,56,55.2,55.89,1973200,55.89
"2009-12-11",56.38,56.86,56.03,56.58,2135800,56.58
"2009-12-14",57,62.29,55.76,62.06,9392800,62.06
"2009-12-15",61.66,62.48,60.51,60.93,4497700,60.93
"2009-12-16",61.27,62,60.31,60.45,2373500,60.45
"2009-12-17",60.39,60.47,57.27,57.38,5305300,57.38
"2009-12-18",57.58,58.84,55.81,58.4,4406100,58.4
"2009-12-21",58.05,58.52,57.12,57.83,2848500,57.83
"2009-12-22",58,58.03,57.5,57.85,2295400,57.85
"2009-12-23",58.03,58.5,57.9,58.44,1337200,58.44
"2009-12-24",58.33,59.74,58.11,59.27,726400,59.27
"2009-12-28",59.54,61.81,59.2,61.63,2964100,61.63
"2009-12-29",61.68,61.7,60.77,61.02,1315300,61.02
"2009-12-30",60.8,61.81,60.45,61.22,1170500,61.22
"2009-12-31",61.03,61.57,60.58,60.58,1067000,60.58
