"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2009-06-05",54.98,55.29,52.56,52.94,2344600,25.49
"2009-06-08",52.62,52.62,50.93,51.3,2721000,24.7
"2009-06-09",51.74,54.38,51.31,53.93,2099400,25.97
"2009-06-10",54.67,54.97,52.12,53.25,1124000,25.64
"2009-06-11",53.2,54.21,53.08,53.27,1833000,25.65
"2009-06-12",52.59,52.81,52.02,52.45,1683200,25.25
"2009-06-15",51.79,51.97,50.18,51.05,1453600,24.58
"2009-06-16",51.5,52.29,49.98,50.12,1913000,24.13
"2009-06-17",49.76,50.63,48.8,49.94,2023000,24.05
"2009-06-18",49.85,50.25,48.88,49.07,1326800,23.63
"2009-06-19",49.6,50.09,48.5,48.8,1356200,23.5
"2009-06-22",48.54,48.54,45.92,45.94,1775200,22.12
"2009-06-23",46.04,46.58,45.25,45.98,1481200,22.14
"2009-06-24",46.32,46.91,45.48,45.75,1757400,22.03
"2009-06-25",45.66,48,45.34,47.27,2276200,22.76
"2009-06-26",47.15,47.85,47.05,47.37,3855200,22.87
"2009-06-29",46.91,48.78,46.72,48.11,2552400,23.23
"2009-06-30",47.95,48.52,47.05,47.3,2905000,22.83
"2009-07-01",47.63,48.28,46.55,46.63,2391400,22.51
"2009-07-02",46.07,46.07,44.74,44.87,2742200,21.66
"2009-07-06",44.29,44.29,42.89,43.38,3719000,20.94
"2009-07-07",43.15,43.45,41.53,41.78,3558800,20.17
"2009-07-08",41.76,42.76,41.75,42.4,3318200,20.47
"2009-07-09",42.94,43.41,41.86,42,2613000,20.28
"2009-07-10",41.51,42.06,40.69,41.19,2739600,19.89
"2009-07-13",41.07,43.45,41.03,43.33,2451200,20.92
"2009-07-14",43.7,44.36,43.05,43.29,2348400,20.9
"2009-07-15",43.71,44.5,43.71,44.45,2305400,21.46
"2009-07-16",44.48,45.3,43.91,44.37,1703800,21.42
"2009-07-17",44.19,44.4,43.55,43.84,1737200,21.16
"2009-07-20",44.47,44.77,43.31,44.01,2174800,21.25
"2009-07-21",44.61,45.13,43.28,44.29,2200200,21.38
"2009-07-22",43.72,44.59,43.54,43.8,1442200,21.15
"2009-07-23",43.71,45.58,43.26,45.29,3106400,21.86
"2009-07-24",44.97,46.16,44.4,45.75,2032200,22.09
"2009-07-27",45.72,46.18,45.07,45.82,1756000,22.12
"2009-07-28",45.3,46.06,44.65,44.86,2528400,21.66
"2009-07-29",44.33,44.67,42.82,42.94,3786000,20.73
"2009-07-30",42.96,46.39,42.81,46.09,5305000,22.25
"2009-07-31",45.79,48.81,45.79,48.64,4819800,23.48
"2009-08-03",49.37,50.26,49.37,49.93,3015800,24.1
"2009-08-04",49.49,50.77,49.48,50.74,1648200,24.5
"2009-08-05",50.65,51,49.8,50.4,2384000,24.33
"2009-08-06",50.55,51.15,49.34,49.5,2055400,23.9
"2009-08-07",50.29,50.71,49.2,50.45,1574000,24.36
"2009-08-10",49.98,50.42,48.92,49.64,1911800,23.96
"2009-08-11",49.41,50.05,48.9,49.75,1325200,24.02
"2009-08-12",50.9,52.18,50.84,51.53,2560200,24.88
"2009-08-13",51.75,52.3,51.01,51.66,2476400,24.94
"2009-08-14",51.7,51.74,50.59,50.96,1665600,24.6
"2009-08-17",49.96,50.36,49.26,49.97,1448000,24.12
"2009-08-18",50.3,50.86,49.72,49.72,35783400,24
"2009-08-19",49.35,49.63,48.38,48.7,4180000,23.51
"2009-08-20",49.14,49.32,48.7,49.01,2642400,23.66
"2009-08-21",49.31,50.2,49.31,50.16,2287400,24.22
"2009-08-24",50.16,51.49,49.65,49.82,1389000,24.05
"2009-08-25",49.71,50.93,49.26,49.62,1557000,23.95
"2009-08-26",49.4,49.85,48.52,48.74,1404600,23.53
"2009-08-27",48.8,49.73,47.9,49.35,1806000,23.82
"2009-08-28",50.13,50.13,48.8,49.4,1176400,23.85
"2009-08-31",48.57,48.85,47.5,47.7,1758400,23.03
"2009-09-01",47.15,48.36,46.64,47.15,2248800,22.76
"2009-09-02",46.93,48.11,46.25,47.8,2321800,23.08
"2009-09-03",48.18,48.71,47.75,48.68,1673200,23.5
"2009-09-04",48.64,49.18,48.03,49.17,1482000,23.74
"2009-09-08",50.08,52.28,49.68,51.08,2613800,24.66
"2009-09-09",50.96,52.18,50.42,52.08,3848800,25.14
"2009-09-10",52.17,53.47,51.61,53.46,2609800,25.81
"2009-09-11",53.62,54.42,52.83,53.86,2031200,26
"2009-09-14",53.13,55.13,52.77,54.98,2338800,26.54
"2009-09-15",54.95,57.52,54.94,57.32,2507200,27.67
"2009-09-16",57.35,57.71,56.7,57.64,1404200,27.83
"2009-09-17",57.51,57.84,56.57,56.98,1506400,27.51
"2009-09-18",57.21,58.13,56.44,57.99,2062800,28
"2009-09-21",57.24,57.55,56.75,57.32,1741000,27.67
"2009-09-22",58.06,58.06,57,57.12,1235800,27.58
"2009-09-23",57.16,57.68,56.45,56.46,1115200,27.26
"2009-09-24",56.5,56.92,55.13,55.93,1592600,27
"2009-09-25",55.56,56.66,55.05,55.43,1107000,26.76
"2009-09-28",55.86,56.9,55.58,56.32,818000,27.25
"2009-09-29",56.36,57.18,55.83,56.65,1330200,27.41
"2009-09-30",56.68,56.97,55.66,56.25,1241800,27.22
"2009-10-01",55.72,55.72,51.71,51.75,5522000,25.04
"2009-10-02",51.1,53.17,50.87,52.7,2552600,25.5
"2009-10-05",53,54.54,52.86,54.23,1619200,26.24
"2009-10-06",55.05,55.45,54.1,54.71,2042000,26.47
"2009-10-07",54.71,55.4,53.41,54.14,1398600,26.2
"2009-10-08",54.83,55.22,54.03,54.82,1775200,26.52
"2009-10-09",55.04,55.27,54.58,54.99,1175200,26.61
"2009-10-12",55.68,56.2,55.29,56.1,1057000,27.14
"2009-10-13",56,56,54.96,55.14,1334400,26.68
"2009-10-14",56.17,56.3,55.13,56.19,1552400,27.19
"2009-10-15",55.92,56.49,55.81,56.26,821000,27.22
"2009-10-16",56.04,56.04,55.15,55.6,1106000,26.9
"2009-10-19",55.59,57.27,55.59,56.83,820200,27.5
"2009-10-20",56.67,56.7,55.02,55.36,1403000,26.79
"2009-10-21",55.18,56.19,54.88,54.95,1540200,26.59
"2009-10-22",54.71,56.26,53.91,56.2,1023600,27.19
"2009-10-23",56.75,57.14,54.69,54.88,1377600,26.55
"2009-10-26",55.06,56.39,53.5,54.3,1395800,26.27
"2009-10-27",54.36,54.9,53.41,53.67,1563600,25.97
"2009-10-28",53.7,53.82,50.87,50.97,2307800,24.66
"2009-10-29",50.19,53.13,50.19,52.8,2689600,25.55
"2009-10-30",52.52,53.17,50.48,51.1,2796600,24.73
"2009-11-02",51.71,52.43,49.53,50.88,2965600,24.62
"2009-11-03",50.24,52.2,50,52.06,2594400,25.19
"2009-11-04",52.8,52.8,51.28,51.51,1495400,24.92
"2009-11-05",52.12,52.62,51.68,52.48,1180600,25.39
"2009-11-06",51.94,53.47,51.46,52.15,1970000,25.23
"2009-11-09",52.79,54.51,52.68,54.51,1306200,26.37
"2009-11-10",54.16,54.89,53.88,54.75,1812600,26.49
"2009-11-11",55.43,55.5,54.13,54.53,1439400,26.38
"2009-11-12",54.44,54.98,53.76,54.25,1663800,26.25
"2009-11-13",54.45,55.24,54.08,54.99,1051400,26.61
"2009-11-16",55.56,57.06,55.56,56.95,2152800,27.56
"2009-11-17",56.82,57.35,56.47,57.31,1738600,27.73
"2009-11-18",57.38,57.47,56.66,56.99,1555200,27.57
"2009-11-19",56.52,56.69,55.73,56.49,1690800,27.33
"2009-11-20",55.88,56.44,55.75,56.33,845600,27.26
"2009-11-23",57.14,57.7,56.49,56.78,804600,27.47
"2009-11-24",56.56,57.13,55.98,56.63,782200,27.4
"2009-11-25",56.69,57.05,56.21,56.7,1113200,27.43
"2009-11-27",55.03,56.2,54.76,55.32,482600,26.77
"2009-11-30",55.3,56.08,55,55.99,1387400,27.09
"2009-12-01",56.46,57.03,56.31,56.68,1202200,27.42
"2009-12-02",56.57,57.75,56.56,57.06,1191200,27.61
"2009-12-03",56.94,57.55,55.79,55.97,1411600,27.08
"2009-12-04",57.06,57.59,55.53,56.43,1201200,27.3
"2009-12-07",56.22,56.91,56.22,56.68,815200,27.42
"2009-12-08",56.19,56.32,55.59,55.69,1242800,26.95
"2009-12-09",55.77,55.99,55.11,55.77,1128400,26.98
"2009-12-10",56.44,56.57,55.53,55.84,711400,27.02
"2009-12-11",55.97,56.24,55.52,56.16,756000,27.17
"2009-12-14",56.88,56.96,56.09,56.76,587800,27.46
"2009-12-15",56.23,57.01,56,56.02,897600,27.11
"2009-12-16",56.29,57.07,56.03,56.38,810600,27.28
"2009-12-17",55.97,56.12,55.29,55.85,952600,27.02
"2009-12-18",56.26,56.46,55.42,55.85,2008000,27.02
"2009-12-21",55.97,56.67,55.97,56.27,773200,27.23
"2009-12-22",56.28,56.98,56.28,56.58,626200,27.38
"2009-12-23",56.87,56.92,56.2,56.78,677400,27.47
"2009-12-24",56.9,57.1,56.58,56.93,180600,27.55
"2009-12-28",57.1,57.21,56.31,56.59,615600,27.38
"2009-12-29",56.79,56.9,56.43,56.6,724000,27.45
"2009-12-30",56.15,56.76,56.03,56.43,449400,27.36
"2009-12-31",56.62,56.96,55.76,55.76,405400,27.04
"2010-01-04",56.55,56.89,55.87,56.82,1789400,27.55
"2010-01-05",56.9,56.99,56.09,56.63,1064000,27.46
"2010-01-06",56.68,57.63,56.31,57.18,1485800,27.73
"2010-01-07",57.08,57.46,56.26,56.47,1722200,27.38
"2010-01-08",56.25,56.53,55.2,55.97,2468800,27.14
"2010-01-11",56.28,56.64,54.24,54.44,2155000,26.4
"2010-01-12",53.86,54.41,53.31,54.25,1382200,26.31
"2010-01-13",54.34,54.75,53.8,54.46,824200,26.41
"2010-01-14",54.16,54.54,53.5,53.65,1307200,26.02
"2010-01-15",53.43,53.48,52.61,53.21,3046400,25.8
"2010-01-19",53.2,54.16,53.03,54.04,1350400,26.21
"2010-01-20",53.38,54.03,52.66,53.84,1849000,26.11
"2010-01-21",54,55.42,53.42,53.85,2103000,26.11
