"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2007-11-08",71.5,72.76,70.64,71.95,1165200,58.27
"2007-11-09",70.29,76.72,70.29,75.08,2106800,60.81
"2007-11-12",75.36,77.92,75.15,76.2,1512200,61.71
"2007-11-13",77.03,79.04,76.69,78.81,1258100,63.83
"2007-11-14",78.89,79.85,76.78,77.12,1011200,62.46
"2007-11-15",76.11,77.94,75.37,76.53,1179400,61.98
"2007-11-16",77.2,77.36,74.44,75.19,1318100,60.89
"2007-11-19",74.89,75.92,74.13,74.45,1071200,60.29
"2007-11-20",74.31,76.36,72.47,73.96,1761900,59.9
"2007-11-21",73,74.95,72.51,74.72,1346600,60.51
"2007-11-23",75.15,76.75,75.12,76.25,467100,61.75
"2007-11-26",74.13,75.45,71.54,71.84,1356400,58.18
"2007-11-27",72.07,74.06,71.73,74.06,2132800,59.98
"2007-11-28",74.24,76.57,74.24,76.19,1630800,61.7
"2007-11-29",75.79,77.02,74.33,76,1090800,61.55
"2007-11-30",76.76,78.79,76.76,77.34,1662800,62.64
"2007-12-03",76.73,77.24,75.7,76.24,1001400,61.74
"2007-12-04",75.94,76.76,74.3,74.3,877300,60.17
"2007-12-05",74.86,77.56,74.86,77.55,1050500,62.81
"2007-12-06",77.43,80.32,76.8,80.18,950100,64.94
"2007-12-07",79.68,80.99,78.95,79.22,947900,64.16
"2007-12-10",79.22,81.81,79.12,81.81,721400,66.26
"2007-12-11",82,83,76.71,76.71,1378600,62.51
"2007-12-12",78.59,80.95,75.86,76.95,1370000,62.7
"2007-12-13",76.57,77.44,74.83,76.54,919800,62.37
"2007-12-14",75.76,76.44,73,73.01,1055300,59.49
"2007-12-17",72.55,74.05,71.69,73,1313400,59.48
"2007-12-18",73.78,75.21,72.43,74.51,1155200,60.71
"2007-12-19",74.67,75.57,73.75,75.21,927700,61.29
"2007-12-20",75.62,75.81,73.8,75.5,709000,61.52
"2007-12-21",76,77.38,75.93,76.98,964300,62.73
"2007-12-24",77,79.8,77,79.72,374100,64.96
"2007-12-26",79,79.13,77.46,77.59,719900,63.22
"2007-12-27",77.13,77.66,74.7,74.97,858500,61.09
"2007-12-28",75.86,76.23,72.48,73.16,1149900,59.61
"2007-12-31",72.78,74.2,72.78,73.41,923400,59.82
"2008-01-02",73.56,75.11,73,74.04,1067100,60.33
"2008-01-03",74.63,74.89,72.15,72.57,1348700,59.13
"2008-01-04",72.03,72.03,69.91,69.91,1579100,56.97
"2008-01-07",70.4,70.72,68.52,69.92,1258400,56.97
"2008-01-08",69.99,72.13,66.48,66.78,1516500,54.42
"2008-01-09",67.04,69.73,65.66,69.47,2517200,56.61
"2008-01-10",68.81,72.88,68.53,71.73,1785900,58.45
"2008-01-11",71.19,72.96,69.09,71.86,1638700,58.56
"2008-01-14",72.3,73.3,70.28,73.05,1392700,59.52
"2008-01-15",71.65,73.07,70.7,71.77,1550800,58.48
"2008-01-16",71.65,73.85,71.5,72.19,1747400,58.82
"2008-01-17",72.68,73.7,71.42,72.03,1846500,58.69
"2008-01-18",72.17,73.62,70.64,72.02,2126900,58.69
"2008-01-22",69.03,74.92,68.22,74.44,2485400,60.66
"2008-01-23",73.17,81.42,72.58,80.45,2756600,65.55
"2008-01-24",80.63,80.63,76.62,78.78,1818400,64.19
"2008-01-25",79.39,79.85,76.42,76.92,1923600,62.68
"2008-01-28",77.8,79.93,75.57,79.9,1055800,65.11
"2008-01-29",80.1,80.17,78.33,78.63,1101700,64.07
"2008-01-30",78.91,80.43,76.71,77.04,1324900,62.78
"2008-01-31",77.04,79.27,74.36,78.16,2037700,63.69
"2008-02-01",78.54,81.35,77.5,81.07,2513900,66.06
"2008-02-04",80.82,81.04,78.8,80.43,937100,65.54
"2008-02-05",78.64,80.2,77.08,77.08,1256200,62.81
"2008-02-06",77.45,78.35,76.06,76.19,1636700,62.08
"2008-02-07",75.93,77.19,74.95,77.14,1387500,62.86
"2008-02-08",76.35,77.01,72.9,73.74,1641000,60.09
"2008-02-11",73.85,74.31,72.26,72.64,1392200,59.19
"2008-02-12",73.29,75.02,73.19,74.59,1583100,60.78
"2008-02-13",75.4,75.96,73.77,75.24,1108900,61.31
"2008-02-14",75.08,75.68,73.56,73.57,885600,59.95
"2008-02-15",73.4,74.22,72.37,74.01,1241000,60.31
"2008-02-19",74.78,75.28,72.51,72.97,1064400,59.46
"2008-02-20",72.28,75.87,72.23,75.87,1417200,61.82
"2008-02-21",75.98,76.99,74.81,75.05,1239800,61.15
"2008-02-22",75.37,76.96,73.77,76.96,1116700,62.71
"2008-02-25",76.86,80.09,75.76,80.09,1439000,65.26
"2008-02-26",79.48,80.86,78.8,80.5,1485500,65.6
"2008-02-27",80.01,81.1,79.43,80.48,1095400,65.58
"2008-02-28",81.09,83.06,81.06,81.79,1436300,66.65
"2008-02-29",81.23,82.75,80.7,81.36,1434600,66.3
"2008-03-03",80.03,82.9,80.03,82.63,1810900,67.33
"2008-03-04",81.74,81.92,79.63,81.26,1534500,66.21
"2008-03-05",81.6,82.78,80.13,81.18,1613400,66.15
"2008-03-06",80.75,80.9,77.64,77.8,1756600,63.4
"2008-03-07",77.5,79.95,76.96,78.92,2213900,64.31
"2008-03-10",78.84,79.95,78.52,79.2,2012700,64.54
"2008-03-11",80.92,85.32,80.72,84.94,2204900,69.21
"2008-03-12",84.32,85.79,83.73,83.8,2050300,68.73
"2008-03-13",82.48,86.99,80.58,86.18,2642600,70.68
"2008-03-14",86.18,87.35,82.86,85.03,2752900,69.74
"2008-03-17",82.66,85.23,82.47,84.56,2508400,69.35
"2008-03-18",86.34,89.92,85.9,89.33,2733500,73.27
"2008-03-19",90.08,90.85,89,89.5,2225400,73.4
"2008-03-20",89.61,92.3,88.95,91.99,2105500,75.45
"2008-03-24",92.84,94.98,91.22,94.5,1767300,77.51
"2008-03-25",91.47,91.47,88.69,90.21,2481000,73.99
"2008-03-26",89.7,90.67,88.81,89.08,1626400,73.06
"2008-03-27",89.4,90.32,88.35,88.45,1639700,72.54
"2008-03-28",88.95,89.56,88,88.2,1276700,72.34
"2008-03-31",88.13,91.29,88.13,88.62,1340700,72.68
"2008-04-01",90.7,94.6,89.02,94.52,2012400,77.52
"2008-04-02",94.52,94.52,91.2,91.89,1706500,75.36
"2008-04-03",91.01,92.8,90.71,92.8,1723000,76.11
"2008-04-04",92.76,92.8,90.27,90.76,1419700,74.44
"2008-04-07",91.72,93,90.85,92.24,1057400,75.65
"2008-04-08",91.73,91.89,90.38,90.52,1120200,74.24
"2008-04-09",90.77,91.4,89.3,89.51,972100,73.41
"2008-04-10",89.41,92.42,89.09,91.75,1248000,75.25
"2008-04-11",90.55,91.13,89.63,89.79,909000,73.64
"2008-04-14",89.53,91.83,89.17,90.2,814500,73.98
"2008-04-15",91.15,92.91,91.15,92.91,1168200,76.2
"2008-04-16",93.78,96.08,93.08,96.04,1500000,78.77
"2008-04-17",95.3,95.62,94.44,95.15,1278900,78.04
"2008-04-18",96.56,96.75,93.58,94.46,1558900,77.47
"2008-04-21",93.8,94.21,92.79,93.5,1118500,76.69
"2008-04-22",93.4,94.39,92.49,94.1,799800,77.18
"2008-04-23",94.8,95.44,93.56,94.44,758300,77.46
"2008-04-24",94.05,97.15,93.54,97.12,1065200,79.65
"2008-04-25",97.58,98.01,96.26,96.79,906100,79.38
"2008-04-28",96.43,96.92,95.26,95.5,926400,78.33
"2008-04-29",95.51,95.62,92.78,92.8,1107600,76.11
"2008-04-30",93.5,93.9,90.66,90.7,1668500,74.39
"2008-05-01",91.18,93.38,90.78,93.38,1098100,76.59
"2008-05-02",95.24,95.44,91.83,92.1,1182500,75.54
"2008-05-05",91.46,93.81,91.2,93.32,1184600,76.54
"2008-05-06",91.88,94.48,91.83,93.72,1257300,76.87
"2008-05-07",93.32,94.34,91.24,91.36,1386400,74.93
"2008-05-08",91.81,92.46,91.15,91.81,853200,75.3
"2008-05-09",90,90,85.86,86.26,1865100,70.75
"2008-05-12",84,87.01,83.01,87.01,1324300,71.36
"2008-05-13",87.93,89.55,87.93,89.53,1387200,73.43
"2008-05-14",89.8,89.9,87.17,87.85,1387100,72.05
"2008-05-15",87.89,89.54,87.54,89.51,922900,73.41
"2008-05-16",89.22,90.01,88.74,89.52,1004400,73.42
"2008-05-19",89.27,89.64,87.97,88.65,917600,72.71
"2008-05-20",88.2,88.45,86.7,87.2,1016200,71.52
"2008-05-21",86.95,88.5,85.4,85.4,1057700,70.04
"2008-05-22",85.12,86.6,84.79,86.03,952700,70.56
"2008-05-23",85.8,86.25,85.17,85.59,697100,70.2
"2008-05-27",86.02,87,85.49,86.99,797200,71.35
"2008-05-28",87.63,87.63,85.35,86.11,869900,70.62
"2008-05-29",85.67,87.76,85.44,87.68,831600,71.91
"2008-05-30",87.49,88.96,86.82,88.13,975000,72.28
"2008-06-02",87.61,87.79,85.34,85.42,1059000,70.06
"2008-06-03",86.03,87.35,85.61,86.94,1348100,71.3
"2008-06-04",87.03,88.69,86.58,87.85,1132600,72.05
"2008-06-05",88,90.07,87.65,90.06,791300,73.86
"2008-06-06",89.17,89.32,85.28,85.73,1452600,70.31
"2008-06-09",85.87,87.15,85.1,85.49,1431200,70.12
"2008-06-10",84.5,85.89,83.6,85.45,1475100,70.08
"2008-06-11",84.58,85.16,83.56,83.93,1152800,69.28
"2008-06-12",84.91,85.15,82.18,82.84,2343300,68.38
"2008-06-13",83.66,85.87,82.78,85.85,992400,70.87
"2008-06-16",81.56,85.52,80.58,85.52,994100,70.59
"2008-06-17",85.89,85.94,81.82,81.82,1121200,67.54
"2008-06-18",81.64,81.88,79.72,80.36,1099600,66.34
"2008-06-19",80,83.13,79.75,82.89,1290900,68.42
"2008-06-20",81.98,83.08,80.27,82.14,1896100,67.8
"2008-06-23",82.51,82.67,80.23,80.31,1185600,66.29
"2008-06-24",80.27,82.24,79.07,81.55,1290400,67.32
"2008-06-25",81.61,84.37,81.55,83.17,1116900,68.65
"2008-06-26",82.2,83.35,80.87,80.96,1608400,66.83
"2008-06-27",80.5,80.92,79.43,79.59,1589700,65.7
"2008-06-30",81.26,81.87,78.85,80.79,1126600,66.69
"2008-07-01",79.49,81.33,78.98,81.33,1871800,67.14
"2008-07-02",81.4,82.59,79.98,80.34,1654100,66.32
"2008-07-03",81.3,81.66,79.52,80.06,724700,66.09
"2008-07-07",80.42,80.9,77.39,77.41,1921300,63.9
"2008-07-08",77.71,84.24,76.65,82.49,2277200,68.09
"2008-07-09",82.29,82.85,76.24,76.39,2157100,63.06
"2008-07-10",76.5,78.98,76.2,78,1887800,64.39
"2008-07-11",76.01,81.13,76.01,78.39,2012100,64.71
"2008-07-14",79.63,80.36,75.5,75.84,2181200,62.6
"2008-07-15",75.53,79.76,75,76.69,2492400,63.31
"2008-07-16",76.95,82.39,75.07,81.65,2247100,67.4
"2008-07-17",82.12,84.47,80.01,83.87,2198800,69.23
"2008-07-18",83.9,84.68,82.7,84.39,1566600,69.66
"2008-07-21",82,82.7,79.81,82.2,1862800,67.85
"2008-07-22",81.24,84.98,79.51,84.7,1800400,69.92
"2008-07-23",84.85,86.99,83.54,85.49,1906700,70.57
"2008-07-24",85.93,86.41,79.29,79.79,1770400,65.86
"2008-07-25",80.58,82.42,78.85,81.97,1514200,67.66
"2008-07-28",82.04,82.38,78.87,79.7,1610800,65.79
"2008-07-29",80.09,85.29,80.01,84.53,2081600,69.78
"2008-07-30",85.06,85.06,80.65,83.7,1706700,69.09
"2008-07-31",82.5,83.44,81.06,81.89,1529600,67.6
"2008-08-01",82.04,82.23,79.79,81.32,1166800,67.13
"2008-08-04",80.92,82.62,79.68,81.57,1406100,67.33
"2008-08-05",82.77,86.04,81.79,85.75,1650800,70.78
"2008-08-06",85.25,85.39,83.8,84.3,1675600,69.59
"2008-08-07",81.83,83.53,78.87,80.11,2737100,66.13
"2008-08-08",80.38,89.19,80.25,87,3993900,71.82
"2008-08-11",86.58,89.31,83.01,88.27,2018000,72.86
"2008-08-12",88.05,88.78,85.5,86.45,1790300,71.36
"2008-08-13",86.4,87,83.9,85.28,1210000,70.4
"2008-08-14",83.59,88.8,83.59,87.84,1457000,72.51
"2008-08-15",87.83,89.28,86.73,88.44,1205600,73.01
"2008-08-18",88.54,89.34,86.96,88,2131700,72.64
"2008-08-19",86.38,86.64,84.25,84.88,1909900,70.07
"2008-08-20",85.1,86.36,83.8,86.12,1611200,71.09
"2008-08-21",84.92,85.45,84.02,84.52,1669600,69.77
"2008-08-22",85.52,88.95,85.25,88.19,1906200,72.8
"2008-08-25",87.34,87.6,84.96,85.34,1215500,70.45
"2008-08-26",85.82,87.1,84.16,86.57,1318700,71.46
"2008-08-27",87,88.17,85.74,87.25,864600,72.02
"2008-08-28",87.56,90.12,87.56,89.74,1141200,74.08
"2008-08-29",88.79,89.64,87.85,88.32,1033600,72.91
"2008-09-02",90.9,91.77,89.88,91.06,2216200,75.17
"2008-09-03",90.6,91.78,89.98,91.61,1489800,75.62
"2008-09-04",90.13,91.62,88.81,89,1614700,73.47
"2008-09-05",88.5,88.79,86.47,88.52,1384600,73.07
"2008-09-08",91.99,93.54,90.21,93.1,2466000,76.85
"2008-09-09",92.89,93,87.17,88.41,2833300,72.98
"2008-09-10",89.37,89.53,84.75,86.24,2312900,71.19
"2008-09-11",84.49,88.94,83.95,88.83,2028300,73.8
"2008-09-12",87.52,89.57,86.97,89.51,1413900,74.36
"2008-09-15",86.75,89.63,81.7,81.7,2848100,67.87
"2008-09-16",82.39,91.66,82,91.3,3402900,75.85
"2008-09-17",88.96,91.76,86.03,86.84,2599800,72.14
"2008-09-18",89.52,99.99,87.23,99.99,4629400,83.07
"2008-09-19",100.63,102.48,96.08,100.77,4296600,83.72
"2008-09-22",100.11,100.51,90.93,92.8,2312200,77.1
"2008-09-23",93.02,95.14,90.64,91.69,2467000,76.17
"2008-09-24",92.03,92.84,89.77,90.97,1422400,75.58
"2008-09-25",90.13,94.05,89.4,93.33,1533400,77.54
"2008-09-26",91.28,98.39,90.81,97.67,1467900,81.14
