"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2009-03-13",43.92,43.92,40.65,42.08,9695800,39.19
"2009-03-16",42.44,43.46,41.2,41.35,7437000,38.51
"2009-03-17",41.35,42.56,40.39,42.26,7232400,39.35
"2009-03-18",41.53,42.81,40.63,42.54,6601400,39.61
"2009-03-19",44,44.93,43.33,43.5,8638300,40.51
"2009-03-20",43.91,44.47,41.14,41.62,6910700,38.76
"2009-03-23",43.24,44.77,42.48,44.77,7790100,41.69
"2009-03-24",43.48,46.83,43.3,45.01,10378500,41.91
"2009-03-25",46.09,47,43.63,45.47,8351900,42.34
"2009-03-26",46.12,48.3,46.12,48.2,9723000,44.89
"2009-03-27",47.76,49.78,46.28,47.05,10063900,43.81
"2009-03-30",45,45,42.19,42.74,10014200,39.8
"2009-03-31",43.72,43.9,41.75,41.98,7877700,39.09
"2009-04-01",41.25,44.47,40.77,43.93,8838100,40.91
"2009-04-02",45.64,45.85,43.52,43.87,8732300,40.85
"2009-04-03",42.92,45.64,42.9,45.64,6337200,42.5
"2009-04-06",44.23,45.02,43.41,44.89,5605100,41.8
"2009-04-07",43.88,44.17,42.75,42.94,8056200,39.99
"2009-04-08",40.99,45.67,40.38,45.61,17971400,42.47
"2009-04-09",45.94,46.73,44.03,44.57,10615200,41.51
"2009-04-13",43.6,44.66,43.31,44.25,5336200,41.21
"2009-04-14",43.79,45.23,43.6,44.51,4730100,41.45
"2009-04-15",44.11,44.63,43.53,44.62,4973700,41.55
"2009-04-16",44.72,44.99,43.37,43.69,3864600,40.69
"2009-04-17",43.69,43.73,42.16,42.18,4643600,39.28
"2009-04-20",41.37,41.58,38.89,39.33,7907400,36.63
"2009-04-21",38.51,39.94,38.16,38.88,5381600,36.21
"2009-04-22",38.19,39.89,37.08,38.59,7149800,35.94
"2009-04-23",38.49,39.6,37.79,38.21,6834400,35.58
"2009-04-24",38.87,41.19,38.6,40.96,6270400,38.14
"2009-04-27",39.74,40.11,38.62,38.97,5993700,36.29
"2009-04-28",38.41,39.38,37.89,38.9,4127900,36.23
"2009-04-29",39.3,40.24,39,40.03,4186200,37.28
"2009-04-30",40.97,42.25,40.12,40.45,5532100,37.67
"2009-05-01",40.78,43.2,40.53,42.35,6788300,39.44
"2009-05-04",43.41,44.5,43,44.27,8080400,41.23
"2009-05-05",44.18,46.62,43.79,46.27,9261700,43.14
"2009-05-06",47.06,47.34,45.15,45.8,6307300,42.7
"2009-05-07",46.79,47.28,44.05,45.53,8630700,42.45
"2009-05-08",46.17,46.46,44.44,45.45,5274700,42.37
"2009-05-11",44.89,45.62,43.95,44.57,4476100,41.55
"2009-05-12",45.29,48,44.21,47.67,9394100,44.44
"2009-05-13",47.63,49.25,45.63,46.34,10745500,43.2
"2009-05-14",46.06,50.84,45.7,50.33,12234400,46.92
"2009-05-15",51.47,52.82,49.9,51.3,11526600,47.83
"2009-05-18",52.44,55,52.02,55,9182100,51.28
"2009-05-19",54.95,57.45,54.73,56.87,10912200,53.02
"2009-05-20",57.94,59.34,56.47,56.82,10380700,52.97
"2009-05-21",54.85,54.9,52.4,53.35,9879100,49.74
"2009-05-22",54.67,56.5,54.51,55.36,8339900,51.61
"2009-05-26",54.61,56.65,54.05,56.37,6614400,52.55
"2009-05-27",56.15,57.46,54.18,54.56,8713300,50.87
"2009-05-28",55.33,55.74,53.84,55.18,5455200,51.44
"2009-05-29",56.01,56.35,53.83,54.7,5943900,51
"2009-06-01",55.89,56.97,55.5,56.47,7176700,52.65
"2009-06-02",56.57,57.25,53.6,55.97,5342500,52.18
"2009-06-03",54.9,55.11,51.85,52.44,8072900,48.89
"2009-06-04",52.62,54.7,52.46,53.68,6844600,50.05
"2009-06-05",54.5,54.57,52.25,53.13,5704900,49.53
"2009-06-08",52.25,52.28,50.78,51.76,4560600,48.26
"2009-06-09",52.65,54.31,52.27,53.73,4546000,50.09
"2009-06-10",54.87,56.48,53.8,55.28,6988200,51.54
"2009-06-11",55.07,57.24,54.79,56.33,6038300,52.52
"2009-06-12",55.51,56.62,54.64,55.48,4698100,51.72
"2009-06-15",54.4,54.48,52.64,53.12,4687000,49.52
"2009-06-16",53.81,53.95,50.5,51.21,5394300,47.74
"2009-06-17",49,49,46.05,46.25,13898200,43.12
"2009-06-18",45.95,47.27,45.6,45.78,7283500,42.68
"2009-06-19",46.46,47.23,45.94,46.45,5684400,43.3
"2009-06-22",45.17,45.64,42.2,42.27,7914900,39.41
"2009-06-23",42.75,44.31,42.17,43.85,6778800,40.88
"2009-06-24",44.6,45.62,43.69,44.09,6024400,41.1
"2009-06-25",43.63,44.23,43,43.79,5234900,40.82
"2009-06-26",42.62,43.97,42.4,43.35,7033000,40.41
"2009-06-29",43.99,46.7,43.3,45.94,10055100,42.83
"2009-06-30",45.21,45.82,44.16,44.3,9681300,41.3
"2009-07-01",45.2,45.67,43.64,43.8,5126400,40.83
"2009-07-02",43.13,46.5,43.13,45.11,7741000,42.06
"2009-07-06",44.03,44.38,42.42,43.64,5175100,40.69
"2009-07-07",43.52,43.8,41.09,41.25,6198300,38.46
"2009-07-08",41.33,42.15,39.82,40.67,6160300,37.92
"2009-07-09",41.71,43.2,41.5,42.76,6005900,39.86
"2009-07-10",42.2,44.74,39.64,41.13,21331900,38.35
"2009-07-13",40.6,42.46,39.39,42.46,10696700,39.59
"2009-07-14",43.18,43.95,42.44,43.22,7229100,40.29
"2009-07-15",43.99,45.09,43.42,44.55,6952000,41.53
"2009-07-16",48.65,50.66,47.9,49.98,19976100,46.6
"2009-07-17",49.6,54.36,48.35,49.56,27362900,46.2
"2009-07-20",49.27,50.71,48.04,49.12,11001900,45.79
"2009-07-21",49.81,50.85,48.52,49.13,6135000,45.8
"2009-07-22",48.33,48.57,47.11,48.42,6390300,45.14
"2009-07-23",47.76,52.49,47.76,51.45,10285600,47.97
"2009-07-24",50.89,53.74,50.83,53.45,8622100,49.83
"2009-07-27",53.57,54.6,52.33,52.72,6503400,49.15
"2009-07-28",51.84,52.1,49.93,50.85,6361400,47.41
"2009-07-29",50.13,50.13,48.56,49.23,5513800,45.9
"2009-07-30",50.34,52.47,50.32,51.71,5496000,48.21
"2009-07-31",51.22,52.66,50.76,52.15,4721100,48.62
"2009-08-03",53.89,55.34,53.5,55.13,6428400,51.4
"2009-08-04",54.38,55.05,53.3,53.68,4789900,50.09
"2009-08-05",54.29,55.6,53.9,54.05,6337500,50.44
"2009-08-06",54.86,55.15,53.22,54.39,4585100,50.75
"2009-08-07",55,55.26,53.35,53.78,4679200,50.18
"2009-08-10",53.58,54.19,52.29,52.9,3178200,49.36
"2009-08-11",52.14,53.19,51.66,51.92,4012900,48.45
"2009-08-12",51.41,53.64,51.2,53.04,5365100,49.49
"2009-08-13",54.15,55.44,53.15,54.65,4256500,51
"2009-08-14",54.47,54.57,53.6,54.07,3144200,50.45
"2009-08-17",52.11,52.2,50.86,51.12,4148800,47.7
"2009-08-18",51.81,53.08,51.29,52.68,3557600,49.16
"2009-08-19",51.6,54,51.28,53.34,3883700,49.77
"2009-08-20",53.62,54.79,53.45,54.47,4761800,50.83
