"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2007-09-25",48.06,49.95,47.75,49.91,8191200,12.48
"2007-09-26",49.98,51.34,49.79,50.47,10719600,12.62
"2007-09-27",50,51.75,49.84,50.94,6677600,12.73
"2007-09-28",50.44,51.75,50.14,51.32,7479200,12.83
"2007-10-01",51.39,52.98,51.39,52.89,4530000,13.22
"2007-10-02",52.86,53.46,50.13,51.77,7422400,12.94
"2007-10-03",51.21,52.68,50.83,52.16,5765200,13.04
"2007-10-04",52.06,52.18,51.07,51.56,4121200,12.89
"2007-10-05",52.21,54.11,52,53.23,4984400,13.31
"2007-10-08",53.26,56.14,52.86,55.25,7436000,13.81
"2007-10-09",55.31,57.45,55,56.32,7546400,14.08
"2007-10-10",56.3,56.74,55.78,55.79,5253600,13.95
"2007-10-11",56.01,57.53,53.54,54.89,5573200,13.72
"2007-10-12",55.65,57.53,54.46,57.06,4886800,14.27
"2007-10-15",55.86,56.44,53.45,54.6,6368400,13.65
"2007-10-16",54.7,56.74,54.7,56.24,5408800,14.06
"2007-10-17",56.76,57.1,53.73,54.24,6142800,13.56
"2007-10-18",54.29,57.15,53.86,54.96,8486800,13.74
"2007-10-19",54.98,55.34,52.04,52.28,7014000,13.07
"2007-10-22",51.32,52.97,50,52.21,6922800,13.05
"2007-10-23",52.23,54.56,51.85,54.22,6253200,13.56
"2007-10-24",53.63,54.63,51.81,53.27,4385600,13.32
"2007-10-25",53.4,53.4,50.59,51.08,4119200,12.77
"2007-10-26",51.49,51.94,50,51.44,5526000,12.86
"2007-10-29",52,54.04,51.2,53.35,5684000,13.34
"2007-10-30",53,54.43,52.48,53.75,3004800,13.44
"2007-10-31",54.01,56.5,53.17,56.37,6966000,14.09
"2007-11-01",55.03,55.5,53.28,53.52,5481200,13.38
"2007-11-02",54.09,55.21,53.29,54.4,3520800,13.6
"2007-11-05",53.7,53.93,51.79,52.57,4466800,13.14
"2007-11-06",52.61,54.24,51.43,52.31,3630800,13.08
"2007-11-07",52.12,52.12,50.06,50.75,7518800,12.69
"2007-11-08",50.75,50.92,46.4,48.53,10594000,12.13
"2007-11-09",47.65,50.68,45.59,50,10060800,12.5
"2007-11-12",51.87,52.64,50.29,50.89,8931200,12.72
"2007-11-13",50.36,52.72,50.36,52,5360000,13
"2007-11-14",52.7,53,50.85,52,4525200,13
"2007-11-15",52.45,54.4,50.46,50.79,11237200,12.7
"2007-11-16",49.71,57.4,48.27,57.35,18163600,14.34
"2007-11-19",57,57,53.66,54.09,8741200,13.52
"2007-11-20",54.51,58,53.65,57.4,13722000,14.35
"2007-11-21",56.15,57.33,56.15,56.36,8075600,14.09
"2007-11-23",56.5,56.5,53.88,55.16,3143600,13.79
"2007-11-26",53.83,56.25,51.66,52.1,8430400,13.02
"2007-11-27",51.82,53.28,51.55,52.48,5493600,13.12
"2007-11-28",52.48,55.68,52.42,54.43,6338000,13.61
"2007-11-29",53.54,55.52,53.06,55.26,6567200,13.81
"2007-11-30",55.62,57.73,55.29,56.73,13260000,14.18
"2007-12-03",56.79,57.26,54.1,55.78,6007600,13.94
"2007-12-04",55.16,55.83,54.88,55.33,4118400,13.83
"2007-12-05",56,56.9,55.24,56.06,4464800,14.02
"2007-12-06",55.79,57.03,55.24,56.54,4120400,14.14
"2007-12-07",57.09,59.15,56.5,57.84,7637600,14.46
"2007-12-10",58.11,58.11,56.25,57.7,4537200,14.43
"2007-12-11",57.06,59.83,57,57.32,7197200,14.33
"2007-12-12",58.18,59.44,57.33,58.21,5797200,14.55
"2007-12-13",58.1,59.81,57.88,59.29,4985600,14.82
"2007-12-14",59.28,60.3,58.22,59.55,5088000,14.89
"2007-12-17",59,59.71,58.37,58.73,7094000,14.68
"2007-12-18",59.45,59.45,57.7,58.5,7680400,14.62
"2007-12-19",57.74,60.82,57.74,59.95,9344800,14.99
"2007-12-20",60.77,65,60.77,64.99,12336400,16.25
"2007-12-21",65,65.52,62.66,63.75,7774400,15.94
"2007-12-24",63.02,64.75,62.9,63.98,1468800,15.99
"2007-12-26",63.81,64.24,62.3,63.87,2811600,15.97
"2007-12-27",63.79,65.05,62.85,64.04,3504000,16.01
"2007-12-28",64.45,64.77,63.63,64.4,2335600,16.1
"2007-12-31",64.4,64.4,62.45,62.69,3516800,15.67
"2008-01-02",63.05,63.55,59.87,60.28,4980000,15.07
"2008-01-03",60,61.83,60,60.98,3689200,15.24
"2008-01-04",60.01,60.61,58.08,58.86,6438000,14.72
"2008-01-07",57.92,58.02,54.86,57.76,13106800,14.44
"2008-01-08",57.76,59.29,54.51,54.7,6574000,13.68
"2008-01-09",54.42,55.25,52.22,54.33,9061600,13.58
"2008-01-10",53.98,56.35,53.09,55.58,8768000,13.9
"2008-01-11",55.56,57.09,53.97,54.47,6540000,13.62
"2008-01-14",55.27,55.82,53.8,55.65,4768400,13.91
"2008-01-15",54.38,55.17,54.09,54.21,5776800,13.55
"2008-01-16",53.73,55.1,52.31,54.35,5812800,13.59
"2008-01-17",54.98,55.62,53.18,53.52,9381600,13.38
"2008-01-18",54.47,54.47,50.99,51.84,11254000,12.96
"2008-01-22",48.73,53,48.16,52.28,8191600,13.07
"2008-01-23",50.26,55.43,49.6,55.26,9315200,13.81
"2008-01-24",55.33,56.74,53.98,56.45,6432400,14.11
"2008-01-25",56.17,57.59,52.35,52.94,7706400,13.23
"2008-01-28",51.3,53.7,51.3,53.54,4459200,13.39
"2008-01-29",53.4,54.09,51.39,52.03,4907600,13.01
"2008-01-30",51.46,52.45,50.3,50.36,5839600,12.59
"2008-01-31",49.7,53.29,48.79,51.91,12019600,12.98
"2008-02-01",52.5,53.89,51.09,51.72,8316000,12.93
"2008-02-04",51.71,52.69,50.31,51.77,5088000,12.94
"2008-02-05",51.18,53.8,50.28,52.78,8284800,13.19
"2008-02-06",53.22,53.22,47.55,47.88,10376400,11.97
"2008-02-07",47.06,51.94,47.06,50.84,10952800,12.71
